,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,John F. Kennedy,35,42,34,29
1,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,Jackie Kennedy Onassis,38,37,38,40
2,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,Caroline Kennedy,9,6,6,17
3,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,John F. Kennedy Jr,3,3,4,2
4,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,Ted Kennedy,14,11,18,12
5,1,1A,Favorability of Kennedys — John F. Kennedy,Do you have a favorable or unfavorable opinion of the following person?,Patrick J. Kennedy II,99,99,100,100
6,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,John F. Kennedy,29,37,22,30
7,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,Jackie Kennedy Onassis,35,35,36,35
8,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,Caroline Kennedy,8,8,6,11
9,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,John F. Kennedy Jr,3,3,4,1
10,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,Ted Kennedy,25,16,33,23
11,2,1B,Favorability of Kennedys — Jackie Kennedy Onassis,How familiar are you with the following person?,Patrick J. Kennedy II,100,99,101,100
12,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,Jackie Kennedy Onassis,19,32,13,13
13,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,Caroline Kennedy,28,27,25,31
14,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,John F. Kennedy Jr,9,7,8,12
15,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,Ted Kennedy,2,1,3,2
16,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,Patrick J. Kennedy II,42,32,51,41
17,3,1C,Favorability of Kennedys — Caroline Kennedy,JFK Family Members,Joseph P. Kennedy II,100,99,100,99
18,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Very favorable,23,27,21,19
19,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Somewhat favorable,33,38,29,35
20,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Somewhat unfavorable,9,8,7,11
21,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Very unfavorable,2,2,4,1
22,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Don’t know,33,25,40,34
23,4,1D,Favorability of Kennedys — John F. Kennedy Jr.,Do you have a favorable or unfavorable opinion of the following person?,Totals,100,100,101,100
24,5,1E,Favorability of Kennedys — Ted Kennedy,Do you have a favorable or unfavorable opinion of the following person?,Very favorable,11,21,7,5
