,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Know LGBT Acronyms — LGBT,Do you believe you know what all of the letters in each of the following terms stand for?,LGBT,79,86,77,76
1,1,1A,Know LGBT Acronyms — LGBT,Do you believe you know what all of the letters in each of the following terms stand for?,LGBTQ,21,14,23,24
2,1,1A,Know LGBT Acronyms — LGBT,Do you believe you know what all of the letters in each of the following terms stand for?,LGBTQIA,100,100,100,100
3,2,1B,Know LGBT Acronyms — LGBTQ,"Do you believe that using the word ""queer"" to refer to someone else is... ?",Acceptable for anyone,74,87,71,66
4,2,1B,Know LGBT Acronyms — LGBTQ,"Do you believe that using the word ""queer"" to refer to someone else is... ?",Only acceptable for certain people,26,13,29,34
5,2,1B,Know LGBT Acronyms — LGBTQ,"Do you believe that using the word ""queer"" to refer to someone else is... ?",Never acceptable,100,100,100,100
6,3,1C,Know LGBT Acronyms — LGBTQIA,How much discrimination do the following people face in America today?,Transgender women,26,40,26,14
7,3,1C,Know LGBT Acronyms — LGBTQIA,How much discrimination do the following people face in America today?,Transgender men,74,60,74,86
8,3,1C,Know LGBT Acronyms — LGBTQIA,How much discrimination do the following people face in America today?,Black Americans,100,100,100,100
9,4,1D,Know LGBT Acronyms — LGBTQIAPK+,How likely or unlikely do you believe it is that the United States will have a president within the next 50 years,Gay man,6,8,6,5
10,4,1D,Know LGBT Acronyms — LGBTQIAPK+,How likely or unlikely do you believe it is that the United States will have a president within the next 50 years,Lesbian woman,94,92,94,95
11,4,1D,Know LGBT Acronyms — LGBTQIAPK+,How likely or unlikely do you believe it is that the United States will have a president within the next 50 years,Transgender woman,100,100,100,100
12,5,2,Word Queer Acceptable,How likely or unlikely do you believe it is that the United States will have a Supreme Court justice within the,Gay man,18,13,17,25
13,5,2,Word Queer Acceptable,How likely or unlikely do you believe it is that the United States will have a Supreme Court justice within the,Lesbian woman,34,43,35,24
14,5,2,Word Queer Acceptable,How likely or unlikely do you believe it is that the United States will have a Supreme Court justice within the,Transgender woman,25,27,24,25
15,5,2,Word Queer Acceptable,How likely or unlikely do you believe it is that the United States will have a Supreme Court justice within the,Transgender man,22,17,24,26
16,5,2,Word Queer Acceptable,How likely or unlikely do you believe it is that the United States will have a Supreme Court justice within the,Totals,99,100,100,100
17,6,3A,Level of discrimination — Transgender women,"Compared to one year ago, do you think things have generally gotten easier or harder for most LGBTQ+",Gotten easier,41,66,38,20
18,6,3A,Level of discrimination — Transgender women,"Compared to one year ago, do you think things have generally gotten easier or harder for most LGBTQ+",Stayed the same,34,26,41,33
19,6,3A,Level of discrimination — Transgender women,"Compared to one year ago, do you think things have generally gotten easier or harder for most LGBTQ+",Gotten harder,17,7,12,32
20,6,3A,Level of discrimination — Transgender women,"Compared to one year ago, do you think things have generally gotten easier or harder for most LGBTQ+",Not sure,8,1,9,15
21,6,3A,Level of discrimination — Transgender women,"Compared to one year ago, do you think things have generally gotten easier or harder for most LGBTQ+",Totals,100,100,100,100
22,7,3B,Level of discrimination — Transgender men,"Thinking about one year from now, do you think things will generally have gotten easier or harder for most",Gotten easier,40,63,36,22
23,7,3B,Level of discrimination — Transgender men,"Thinking about one year from now, do you think things will generally have gotten easier or harder for most",Stayed the same,35,28,42,32
