,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,American economy,3,4,2,2
1,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,Global economy,13,22,10,6
2,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,European economy,33,39,29,30
3,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,UK economy,45,31,47,59
4,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,Don’t know,6,3,11,2
5,1,1A,Comparing State of the Economy — American economy,How would you describe the current state of the...?,Totals,100,99,99,99
6,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Very important,2,5,1,1
7,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Somewhat important,13,21,10,8
8,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Not very important,35,39,33,33
9,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Unimportant,28,18,29,38
10,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Don’t know,22,17,28,20
11,2,1B,Comparing State of the Economy — Global economy,How important is the issue of inﬂation/prices to you?,Totals,100,100,101,100
12,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Mostly just the U.S,3,6,2,1
13,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Many parts of the world,17,27,13,13
14,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Neither,24,22,24,28
15,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Not sure,17,10,17,23
16,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Don’t know,39,35,44,35
17,3,1C,Comparing State of the Economy — European economy,Do you think the problem of inﬂation is currently affecting...?,Totals,100,100,100,100
18,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Very well,3,4,1,2
19,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Somewhat well,12,19,10,7
20,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Not very well,26,25,25,28
21,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Not at all,19,17,16,24
22,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Don’t know,41,36,47,38
23,4,1D,Comparing State of the Economy — UK economy,How well do you personally understand the causes of inﬂation in the U.S. today?,Totals,101,101,99,99
24,5,2,Issue importance - Inﬂation/Prices,How well do you personally understand the solutions to inﬂation in the U.S. today?,Very well,69,54,70,82
25,5,2,Issue importance - Inﬂation/Prices,How well do you personally understand the solutions to inﬂation in the U.S. today?,Somewhat well,26,39,23,14
26,5,2,Issue importance - Inﬂation/Prices,How well do you personally understand the solutions to inﬂation in the U.S. today?,Not very well,5,6,4,4
27,5,2,Issue importance - Inﬂation/Prices,How well do you personally understand the solutions to inﬂation in the U.S. today?,Not at all,1,1,2,0
28,5,2,Issue importance - Inﬂation/Prices,How well do you personally understand the solutions to inﬂation in the U.S. today?,Totals,101,100,99,100
29,6,3,Inﬂation U.S. vs. Global,Would you say that the cost of each of the following has increased or decreased over the past 20 years?,Hospital services,20,15,22,24
