,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Been Married,Have you ever been married?,Yes,62,57,54,76
1,1,1,Been Married,Have you ever been married?,No,38,43,46,24
2,1,1,Been Married,Have you ever been married?,Totals,100,100,100,100
3,2,2,Had Wedding,Have you ever had a wedding?,Yes,54,51,45,69
4,2,2,Had Wedding,Have you ever had a wedding?,No,46,49,55,31
5,2,2,Had Wedding,Have you ever had a wedding?,Totals,100,100,100,100
6,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Within the past month,9,9,8,12
7,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Within the past year,18,23,15,17
8,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Within the past 5 years,26,28,26,24
9,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Within the past 10 years,12,10,13,13
10,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,More than 10 years ago,22,21,18,28
11,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Never,8,7,14,3
12,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Not sure,5,3,6,4
13,3,3,Last Attended a Wedding,When was the last time you attended a wedding?,Totals,100,101,100,101
14,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,Less than 1 month,101,101,100,99
15,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,1 - 3 months,1,0,1,0
16,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,4 - 6 months,2,1,2,2
17,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,7 - 12 months,6,6,5,7
18,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,1 - 2 years,12,12,12,12
19,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,3 - 5 years,37,39,36,37
20,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,6 - 10 years,17,17,22,10
21,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,More than 10 years,2,2,1,3
22,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,Not sure,1,1,1,0
23,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,Not sure,23,21,20,29
24,4,4,Time Before Engagement,How long do you think couples should ideally be together before getting engaged?,Totals,101,99,100,100
25,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,Less than 1 month,99,99,98,98
26,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,1 - 3 months,0,1,0,0
27,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,4 - 6 months,4,2,3,7
28,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,7 - 12 months,13,13,12,15
29,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,1 - 2 years,24,22,23,26
30,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,3 - 5 years,29,33,30,24
31,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,6 - 10 years,5,6,5,5
32,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,More than 10 years,1,1,1,1
33,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,Not sure,1,0,2,1
34,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,Not sure,22,22,24,20
35,5,5,Time Before Wedding,How long do you think couples should ideally be engaged before getting married?,Totals,99,100,100,99
36,6,6,Amount of Time Spent on Weddings,Do you think couples getting married today generally spend too much or not enough time planning their,Too much,37,37,34,43
37,6,6,Amount of Time Spent on Weddings,Do you think couples getting married today generally spend too much or not enough time planning their,About the right amount,28,33,28,22
38,6,6,Amount of Time Spent on Weddings,Do you think couples getting married today generally spend too much or not enough time planning their,Not enough,6,6,5,8
