,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Interventionist - prefer extensive involvement,12,17,9,9
1,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Isolationist - prefer minimal involvement,24,18,23,30
2,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Somewhere in between,46,52,40,47
3,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Not sure,18,13,27,13
4,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Totals,100,100,99,99
5,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Entirely successful,5,9,2,3
6,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Mostly successful,34,37,28,37
7,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Mostly unsuccessful,29,26,30,31
8,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Entirely unsuccessful,7,5,8,7
9,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Not sure,26,22,33,22
10,2,2,Success of U.S. Foreign Military Interventions,Would you say that most U.S. foreign military interventions in the past 50 years have been...?,Totals,101,99,101,100
11,3,3,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Improve,24,34,11,31
12,3,3,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Worsen,28,25,31,28
13,3,3,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Neither improve nor worsen,25,22,28,26
14,3,3,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Not sure,22,20,30,15
15,3,3,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Totals,99,101,100,100
16,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,globally,11,15,6,13
17,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,Preventing terrorism,12,15,6,17
18,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,potential rivals to the U.S,22,23,17,28
19,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,communism,19,17,20,18
20,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,destruction,20,17,26,18
21,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,governance,16,13,25,7
22,4,4A,U.S. Military Intervention Justifications — Increasing U.S. power globally,How often does the following goal justify U.S. military intervention in foreign countries?,interests,100,100,100,101
23,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",World War I (1914-1918),32,29,25,45
24,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",World War II (1939-1945),21,23,19,21
25,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",Korean War (1950-1953),19,20,23,13
26,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",Vietnam War (1955-1975),11,15,9,9
27,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",Bay of Pigs Invasion (1961),5,4,6,6
28,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",Cambodian campaign (1970),11,9,18,5
29,5,4B,U.S. Military Intervention Justifications — Preventing terrorism,"Given what you know now, do you think it was the right or wrong decision for the U.S. military to intervene in",Invasion of Panama (1989),99,100,100,99
30,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,World War I (1914-1918),15,16,8,22
31,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,World War II (1939-1945),15,16,10,19
32,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,Korean War (1950-1953),28,30,27,29
33,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,Vietnam War (1955-1975),15,14,17,12
34,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,Bay of Pigs Invasion (1961),12,12,14,10
35,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,Cambodian campaign (1970),16,12,25,9
36,6,4C,U.S. Military Intervention Justifications — Preventing the rise of potential rivals to the U.S.,Would you consider U.S. military intervention in the following to be...?,Invasion of Panama (1989),101,100,101,101
37,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,George Marshall,15,13,9,26
38,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,Henry Kissinger,18,22,11,23
39,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,James Baker,22,24,21,21
40,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,Madeleine Albright,14,14,16,9
41,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,Colin Powell,13,13,15,10
42,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,Condoleezza Rice,18,13,27,12
43,7,4D,U.S. Military Intervention Justifications — Preventing the spread of communism,Do you have a favorable or unfavorable opinion of the following people?,Hillary Clinton,100,99,99,101
44,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Always justifies,27,29,20,33
45,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Usually justifies,23,20,21,29
46,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Sometimes justifies,22,26,20,19
47,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Rarely justifies,10,10,10,9
48,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Never justifies,5,3,7,5
49,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Not sure,13,11,21,6
50,8,4E,U.S. Military Intervention Justifications — Preventing the spread of weapons of mass destruction,How often does the following goal justify U.S. military intervention in foreign countries?,Totals,100,99,99,101
51,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Always justifies,10,15,6,8
52,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Usually justifies,15,24,7,14
53,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Sometimes justifies,26,28,24,28
54,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Rarely justifies,16,14,18,18
55,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Never justifies,13,6,15,18
56,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Not sure,20,15,30,14
57,9,4F,U.S. Military Intervention Justifications — Promoting democratic governance,How often does the following goal justify U.S. military intervention in foreign countries?,Totals,100,102,100,100
58,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Always justifies,8,10,4,11
59,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Usually justifies,12,17,6,14
60,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Sometimes justifies,21,19,21,21
61,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Rarely justifies,20,20,18,24
62,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Never justifies,21,19,27,17
63,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Not sure,18,14,24,14
64,10,4G,U.S. Military Intervention Justifications — Promoting U.S. business interests,How often does the following goal justify U.S. military intervention in foreign countries?,Totals,100,99,100,101
65,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Always justifies,20,24,14,21
66,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Usually justifies,26,27,20,31
67,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Sometimes justifies,28,30,30,25
68,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Rarely justifies,9,6,9,12
69,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Never justifies,5,3,7,5
70,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Not sure,12,10,19,6
71,11,4H,U.S. Military Intervention Justifications — Protecting and aiding local civilians,How often does the following goal justify U.S. military intervention in foreign countries?,Totals,100,100,99,100
72,12,4I,U.S. Military Intervention Justifications — Protecting U.S. access to strategic resources,How often does the following goal justify U.S. military intervention in foreign countries?,Always justifies,16,17,10,22
73,12,4I,U.S. Military Intervention Justifications — Protecting U.S. access to strategic resources,How often does the following goal justify U.S. military intervention in foreign countries?,Usually justifies,18,22,14,19
74,12,4I,U.S. Military Intervention Justifications — Protecting U.S. access to strategic resources,How often does the following goal justify U.S. military intervention in foreign countries?,Sometimes justifies,27,25,26,30
