qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1A,Budget of Government Departments and Agencies — The Internal Revenue Service (IRS),Do you think that spending on the following should be...?,The Internal Revenue Service (IRS),17,27.0,16.0,6.0
1,1A,Budget of Government Departments and Agencies — The Internal Revenue Service (IRS),Do you think that spending on the following should be...?,The U.S. Census Bureau,32,48.0,27.0,20.0
1,1A,Budget of Government Departments and Agencies — The Internal Revenue Service (IRS),Do you think that spending on the following should be...?,The Bureau of Labor Statistics (BLS),39,14.0,39.0,66.0
1,1A,Budget of Government Departments and Agencies — The Internal Revenue Service (IRS),Do you think that spending on the following should be...?,The Central Intelligence Agency (CIA),12,11.0,17.0,8.0
1,1A,Budget of Government Departments and Agencies — The Internal Revenue Service (IRS),Do you think that spending on the following should be...?,The Environmental Protection Agency (EPA),100,100.0,99.0,100.0
2,1B,Budget of Government Departments and Agencies — The U.S. Census Bureau,Do you think that spending on the following should be...?,The Department of Education,15,25.0,13.0,6.0
2,1B,Budget of Government Departments and Agencies — The U.S. Census Bureau,Do you think that spending on the following should be...?,The Department of Homeland Security (DHS),49,55.0,46.0,44.0
2,1B,Budget of Government Departments and Agencies — The U.S. Census Bureau,Do you think that spending on the following should be...?,The National Security Agency (NSA),21,10.0,20.0,37.0
2,1B,Budget of Government Departments and Agencies — The U.S. Census Bureau,Do you think that spending on the following should be...?,The Environmental Protection Agency (EPA),15,11.0,22.0,12.0
2,1B,Budget of Government Departments and Agencies — The U.S. Census Bureau,Do you think that spending on the following should be...?,The Central Intelligence Agency (CIA),100,101.0,101.0,99.0
3,1C,Budget of Government Departments and Agencies — The Bureau of Labor Statistics (BLS),Do you have a favorable or an unfavorable opinion of employees of the following?,Local government,15,23.0,11.0,9.0
3,1C,Budget of Government Departments and Agencies — The Bureau of Labor Statistics (BLS),Do you have a favorable or an unfavorable opinion of employees of the following?,State government,44,56.0,34.0,42.0
3,1C,Budget of Government Departments and Agencies — The Bureau of Labor Statistics (BLS),Do you have a favorable or an unfavorable opinion of employees of the following?,Federal government,20,6.0,23.0,35.0
3,1C,Budget of Government Departments and Agencies — The Bureau of Labor Statistics (BLS),Do you have a favorable or an unfavorable opinion of employees of the following?,Not sure,21,16.0,32.0,13.0
3,1C,Budget of Government Departments and Agencies — The Bureau of Labor Statistics (BLS),Do you have a favorable or an unfavorable opinion of employees of the following?,Totals,100,101.0,100.0,99.0
4,1D,Budget of Government Departments and Agencies — The Central Intelligence Agency (CIA),Do you know anyone who currently is an employee of the following? Select all that apply.,"Yes, me",20,28.0,18.0,14.0
