,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Interest in Sports,How interested are you in following sports?,Very interested,19,20,15,23
1,1,1,Interest in Sports,How interested are you in following sports?,Somewhat interested,29,32,26,29
2,1,1,Interest in Sports,How interested are you in following sports?,Not very interested,20,17,23,19
3,1,1,Interest in Sports,How interested are you in following sports?,Not at all interested,32,31,35,28
4,1,1,Interest in Sports,How interested are you in following sports?,Totals,100,100,99,99
5,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Football,8,10,7,18
6,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Baseball,32,23,40,34
7,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Basketball,48,48,42,56
8,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Soccer,29,32,25,31
9,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Ice hockey,29,36,26,25
10,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Golf,12,17,12,8
11,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Auto racing,12,10,10,15
12,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Tennis,11,8,6,19
13,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Mixed Martial Arts,10,6,10,13
14,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",Wrestling,9,16,6,6
15,2,2,Sports Followed,"Which, if any, of the following sports do you follow? Select all that apply.",None of the above,8,10,8,8
16,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,(MLB),28,42,15,29
17,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,(NFL),21,27,15,23
18,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,Association (NBA),32,35,30,33
19,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,Association (NCAA),15,13,13,18
20,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,(NHL),12,6,18,10
21,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,(WNBA),20,19,24,17
22,3,3A,Favorability of Sports Organizations — Major League Baseball (MLB),Do you have a favorable or an unfavorable opinion of the following?,Tour),100,100,100,101
23,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Unfavorable,27,45,5,34
24,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Very favorable,28,33,18,34
25,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Somewhat favorable,28,33,24,27
26,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Somewhat unfavorable,14,10,17,14
27,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Very unfavorable,15,11,21,12
28,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Don’t know,16,14,21,13
29,4,3B,Favorability of Sports Organizations — National Football League (NFL),Do you have a favorable or an unfavorable opinion of the following?,Totals,101,101,101,100
30,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Unfavorable,18,58,5,47
31,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Very favorable,18,29,13,15
32,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Somewhat favorable,30,43,25,24
33,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Somewhat unfavorable,14,9,14,18
34,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Very unfavorable,17,5,19,24
35,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Don’t know,21,14,28,19
36,5,3C,Favorability of Sports Organizations — National Basketball Association (NBA),Do you have a favorable or an unfavorable opinion of the following?,Totals,100,100,99,100
37,6,3D,Favorability of Sports Organizations — National Collegiate Athletic Association (NCAA),Do you have a favorable or an unfavorable opinion of the following?,Unfavorable,13,31,17,22
