qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Kamala Harris,25,62,13,2
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Joe Biden,18,26,25,2
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,JD Vance,8,4,12,8
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Sarah Palin,41,6,34,86
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Mike Pence,7,3,15,2
1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Joe Lieberman,99,101,99,100
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,19,42,12,3
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,19,35,20,2
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,12,11,15,10
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Very unfavorable,44,9,40,83
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,6,2,13,2
2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,99,100,100
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,16,1,8,39
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,18,7,12,35
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,6,7,7,4
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Very unfavorable,37,70,36,6
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,23,14,36,15
3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,99,99,99
4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,8,4,3,18
4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,21,8,15,43
4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,17,17,17,15
