,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,2,Supreme Court on College Admissions,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an applicant’s race as part of their admissions",Allowed to consider race,30,50,10,45
1,1,2,Supreme Court on College Admissions,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an applicant’s race as part of their admissions",Not allowed to consider race,70,50,90,55
2,1,2,Supreme Court on College Admissions,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an applicant’s race as part of their admissions",Totals,100,100,100,100
3,2,3,Afﬁrmative Action in General,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an",Allowed to consider race,53,72,21,75
4,2,3,Afﬁrmative Action in General,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an",Not allowed to consider race,47,28,79,25
5,2,3,Afﬁrmative Action in General,"As you may know, the U.S. Supreme Court may soon decide whether colleges can continue to consider an",Totals,100,100,100,100
6,3,4,Racism a Problem Today,"In general, do you think afﬁrmative action programs in hiring, promoting, and college admissions should be",Continued,53,78,25,74
7,3,4,Racism a Problem Today,"In general, do you think afﬁrmative action programs in hiring, promoting, and college admissions should be",Abolished,37,20,55,22
8,3,4,Racism a Problem Today,"In general, do you think afﬁrmative action programs in hiring, promoting, and college admissions should be",Not a problem,10,2,20,3
9,3,4,Racism a Problem Today,"In general, do you think afﬁrmative action programs in hiring, promoting, and college admissions should be",Totals,100,100,100,99
10,4,5,Racism a Problem in History,Do you think racism in America today is...,A major problem,73,87,58,85
11,4,5,Racism a Problem in History,Do you think racism in America today is...,A minor problem,23,12,36,12
12,4,5,Racism a Problem in History,Do you think racism in America today is...,Not a problem,4,1,5,2
13,4,5,Racism a Problem in History,Do you think racism in America today is...,Totals,100,100,99,99
14,5,6A,Discrimination of Groups — White people,"Looking back over the history of America, do you think racism has been...",A major problem,17,5,34,7
15,5,6A,Discrimination of Groups — White people,"Looking back over the history of America, do you think racism has been...",A minor problem,29,18,43,15
16,5,6A,Discrimination of Groups — White people,"Looking back over the history of America, do you think racism has been...",Not a problem,28,38,15,38
17,5,6A,Discrimination of Groups — White people,"Looking back over the history of America, do you think racism has been...",None Not at all,26,39,8,40
18,5,6A,Discrimination of Groups — White people,"Looking back over the history of America, do you think racism has been...",Totals,100,100,100,100
19,6,6B,Discrimination of Groups — Black people,"In America today, how much discrimination do you think there is against the following groups?",White people,48,72,19,68
20,6,6B,Discrimination of Groups — Black people,"In America today, how much discrimination do you think there is against the following groups?",Black people,35,23,50,25
21,6,6B,Discrimination of Groups — Black people,"In America today, how much discrimination do you think there is against the following groups?",Hispanic people,13,5,23,5
22,6,6B,Discrimination of Groups — Black people,"In America today, how much discrimination do you think there is against the following groups?",Asian people,4,0,8,1
23,6,6B,Discrimination of Groups — Black people,"In America today, how much discrimination do you think there is against the following groups?",Women,100,100,100,99
24,7,6C,Discrimination of Groups — Hispanic people,"In America today, how much discrimination do you think there is against the following groups?",A lot,28,43,12,39
25,7,6C,Discrimination of Groups — Hispanic people,"In America today, how much discrimination do you think there is against the following groups?",Some,47,43,51,43
26,7,6C,Discrimination of Groups — Hispanic people,"In America today, how much discrimination do you think there is against the following groups?",Not much,20,12,29,15
27,7,6C,Discrimination of Groups — Hispanic people,"In America today, how much discrimination do you think there is against the following groups?",None Not at all,5,2,8,3
28,7,6C,Discrimination of Groups — Hispanic people,"In America today, how much discrimination do you think there is against the following groups?",Totals,100,100,100,100
29,8,6D,Discrimination of Groups — Asian people,"In America today, how much discrimination do you think there is against the following groups?",A lot,25,33,17,33
30,8,6D,Discrimination of Groups — Asian people,"In America today, how much discrimination do you think there is against the following groups?",Some,51,53,51,49
31,8,6D,Discrimination of Groups — Asian people,"In America today, how much discrimination do you think there is against the following groups?",Not much,19,12,25,14
32,8,6D,Discrimination of Groups — Asian people,"In America today, how much discrimination do you think there is against the following groups?",None Not at all,5,2,6,3
33,8,6D,Discrimination of Groups — Asian people,"In America today, how much discrimination do you think there is against the following groups?",Totals,100,100,99,99
34,9,6E,Discrimination of Groups — Women,"In America today, how much discrimination do you think there is against the following groups?",A lot,23,29,15,26
35,9,6E,Discrimination of Groups — Women,"In America today, how much discrimination do you think there is against the following groups?",Some,45,50,44,49
36,9,6E,Discrimination of Groups — Women,"In America today, how much discrimination do you think there is against the following groups?",Not much,22,15,28,16
37,9,6E,Discrimination of Groups — Women,"In America today, how much discrimination do you think there is against the following groups?",None Not at all,9,5,13,8
38,9,6E,Discrimination of Groups — Women,"In America today, how much discrimination do you think there is against the following groups?",Totals,99,99,100,99
39,10,6F,Discrimination of Groups — Men,"In America today, how much discrimination do you think there is against the following groups?",A lot,12,5,21,5
40,10,6F,Discrimination of Groups — Men,"In America today, how much discrimination do you think there is against the following groups?",Some,29,20,37,19
41,10,6F,Discrimination of Groups — Men,"In America today, how much discrimination do you think there is against the following groups?",Not much,35,41,30,40
42,10,6F,Discrimination of Groups — Men,"In America today, how much discrimination do you think there is against the following groups?",None Not at all,24,34,11,36
43,10,6F,Discrimination of Groups — Men,"In America today, how much discrimination do you think there is against the following groups?",Totals,100,100,99,100
