,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,2,Roper/Human Rights USA 1997: Would the Founders Approve,Suppose America’s Founding Fathers came back to the present day. Do you think that they would generally approve of the way things are going in the,Would approve,6,11,3,4
1,1,2,Roper/Human Rights USA 1997: Would the Founders Approve,Suppose America’s Founding Fathers came back to the present day. Do you think that they would generally approve of the way things are going in the,Would be disappointed,65,50,63,83
2,1,2,Roper/Human Rights USA 1997: Would the Founders Approve,Suppose America’s Founding Fathers came back to the present day. Do you think that they would generally approve of the way things are going in the,Mixed,19,31,20,5
3,1,2,Roper/Human Rights USA 1997: Would the Founders Approve,Suppose America’s Founding Fathers came back to the present day. Do you think that they would generally approve of the way things are going in the,Not sure,10,8,14,7
4,1,2,Roper/Human Rights USA 1997: Would the Founders Approve,Suppose America’s Founding Fathers came back to the present day. Do you think that they would generally approve of the way things are going in the,Totals,100,100,100,99
5,2,3A,"Bill of Rights importance — I - Freedom of speech, peaceful assembly, religion",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,83,81,83,86
6,2,3A,"Bill of Rights importance — I - Freedom of speech, peaceful assembly, religion",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Somewhat important,13,14,13,10
7,2,3A,"Bill of Rights importance — I - Freedom of speech, peaceful assembly, religion",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Not very important,2,3,3,1
8,2,3A,"Bill of Rights importance — I - Freedom of speech, peaceful assembly, religion",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Unimportant,2,2,1,2
9,2,3A,"Bill of Rights importance — I - Freedom of speech, peaceful assembly, religion",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Totals,100,100,100,99
10,3,3B,Bill of Rights importance — II - Right to bear arms,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,49,23,49,79
11,3,3B,Bill of Rights importance — II - Right to bear arms,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Somewhat important,26,32,28,14
12,3,3B,Bill of Rights importance — II - Right to bear arms,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Not very important,18,28,18,5
13,3,3B,Bill of Rights importance — II - Right to bear arms,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Unimportant,8,17,4,2
14,3,3B,Bill of Rights importance — II - Right to bear arms,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Totals,101,100,99,100
15,4,3C,Bill of Rights importance — III - No quartering of soldiers during peacetime without consent,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,49,35,52,60
16,4,3C,Bill of Rights importance — III - No quartering of soldiers during peacetime without consent,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Somewhat important,30,35,28,28
17,4,3C,Bill of Rights importance — III - No quartering of soldiers during peacetime without consent,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Not very important,15,22,14,8
18,4,3C,Bill of Rights importance — III - No quartering of soldiers during peacetime without consent,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Unimportant,6,7,7,4
19,4,3C,Bill of Rights importance — III - No quartering of soldiers during peacetime without consent,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Totals,100,99,101,100
20,5,3D,Bill of Rights importance — IV - Protection from unreasonable search and seizure,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,76,71,74,83
21,5,3D,Bill of Rights importance — IV - Protection from unreasonable search and seizure,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Somewhat important,18,23,18,14
22,5,3D,Bill of Rights importance — IV - Protection from unreasonable search and seizure,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Not very important,4,5,6,1
23,5,3D,Bill of Rights importance — IV - Protection from unreasonable search and seizure,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Unimportant,2,1,2,2
24,5,3D,Bill of Rights importance — IV - Protection from unreasonable search and seizure,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Totals,100,100,100,100
25,6,3E,"Bill of Rights importance — V - Protection from incriminating yourself, double jeopardy",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,69,63,68,78
26,6,3E,"Bill of Rights importance — V - Protection from incriminating yourself, double jeopardy",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Somewhat important,23,26,25,18
27,6,3E,"Bill of Rights importance — V - Protection from incriminating yourself, double jeopardy",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Not very important,5,7,5,3
28,6,3E,"Bill of Rights importance — V - Protection from incriminating yourself, double jeopardy",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Unimportant,2,3,2,1
29,6,3E,"Bill of Rights importance — V - Protection from incriminating yourself, double jeopardy",The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Totals,99,99,100,100
30,7,3F,Bill of Rights importance — VI - Right to a speedy trial,The Bill of Rights is the ﬁrst 10 amendments to the U.S. Constitution. How important are the following amendments from the Bill of Rights?,Very important,70,70,66,74
