,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,Elementary School,81,79,83,82
1,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,Middle School,4,7,2,2
2,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,High School,14,12,13,16
3,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,Home school,1,1,2,0
4,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,No school,0,1,0,0
5,1,1A,Type of School Attended — Elementary School,Which type of school did you attend for most of the following?,Totals,100,100,100,100
6,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,Riding in a carpool,82,80,85,82
7,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,Being driven by a household member,4,6,4,3
8,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,Riding a school bus,12,13,9,14
9,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,Riding on public transportation,1,1,2,1
10,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,Walking,0,0,0,1
11,2,1B,Type of School Attended — Middle School,Which methods of transportation did you regularly take to and from elementary school? Select all that apply.,"Riding a bike, skateboard, or scooter",99,100,100,101
12,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,Riding in a carpool,86,83,87,89
13,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,Being driven by a household member,4,5,5,2
14,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,Riding a school bus,7,8,5,9
15,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,Riding on public transportation,2,3,2,0
16,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,Walking,1,2,0,0
17,3,1C,Type of School Attended — High School,Which method of transportation did you take most often to and from elementary school?,"Riding a bike, skateboard, or scooter",100,101,99,100
18,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Riding in a carpool,1,1,0,1
19,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Being driven by a household member,1,1,1,2
20,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Riding a school bus,1,1,2,4
21,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Riding on public transportation,4,3,5,3
22,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Walking,31,28,34,31
23,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,"Riding a bike, skateboard, or scooter",43,42,44,44
24,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Other,7,8,7,7
25,4,2,Elementary School Transportation,Which methods of transportation did you regularly take to and from middle school? Select all that apply.,Not sure,49,53,46,47
26,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,Riding in a carpool,0,0,0,0
27,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,Being driven by a household member,2,3,1,3
28,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,Riding a school bus,1,1,2,4
29,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,Riding on public transportation,99,99,100,99
30,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,Walking,1,0,1,1
31,5,3,Most-Used Elementary School Transportation,Which method of transportation did you take most often to and from middle school?,"Riding a bike, skateboard, or scooter",19,18,22,17
