,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Rights Expanded or Restricted Under Trump — Immigrant rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Immigrant rights,6,8,5,6
1,1,1A,Rights Expanded or Restricted Under Trump — Immigrant rights,"Under Donald Trump’s presidency, do you think the following rights will...?",LGBTQ+ rights,14,8,15,18
2,1,1A,Rights Expanded or Restricted Under Trump — Immigrant rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Reproductive rights,71,80,66,68
3,1,1A,Rights Expanded or Restricted Under Trump — Immigrant rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Environmental protection rights,9,4,15,8
4,1,1A,Rights Expanded or Restricted Under Trump — Immigrant rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Women’s rights,100,100,101,100
5,2,1B,Rights Expanded or Restricted Under Trump — LGBTQ+ rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,4,5,3,4
6,2,1B,Rights Expanded or Restricted Under Trump — LGBTQ+ rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,21,8,17,38
7,2,1B,Rights Expanded or Restricted Under Trump — LGBTQ+ rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,63,81,61,46
8,2,1B,Rights Expanded or Restricted Under Trump — LGBTQ+ rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,12,6,18,12
9,2,1B,Rights Expanded or Restricted Under Trump — LGBTQ+ rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,100,100,99,100
10,3,1C,Rights Expanded or Restricted Under Trump — Reproductive rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,13,11,10,19
11,3,1C,Rights Expanded or Restricted Under Trump — Reproductive rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,28,13,30,40
12,3,1C,Rights Expanded or Restricted Under Trump — Reproductive rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,45,67,42,28
13,3,1C,Rights Expanded or Restricted Under Trump — Reproductive rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,13,8,18,13
14,3,1C,Rights Expanded or Restricted Under Trump — Reproductive rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,99,99,100,100
15,4,1D,Rights Expanded or Restricted Under Trump — Environmental protection rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,13,12,12,15
16,4,1D,Rights Expanded or Restricted Under Trump — Environmental protection rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,28,12,28,44
17,4,1D,Rights Expanded or Restricted Under Trump — Environmental protection rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,45,69,41,26
18,4,1D,Rights Expanded or Restricted Under Trump — Environmental protection rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,14,8,18,15
19,4,1D,Rights Expanded or Restricted Under Trump — Environmental protection rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,100,101,99,100
20,5,1E,Rights Expanded or Restricted Under Trump — Women’s rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,16,11,12,24
21,5,1E,Rights Expanded or Restricted Under Trump — Women’s rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,35,15,34,57
22,5,1E,Rights Expanded or Restricted Under Trump — Women’s rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,39,68,37,11
23,5,1E,Rights Expanded or Restricted Under Trump — Women’s rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,10,6,16,8
24,5,1E,Rights Expanded or Restricted Under Trump — Women’s rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,100,100,99,100
25,6,1F,Rights Expanded or Restricted Under Trump — Freedom of the press,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,16,11,14,23
26,6,1F,Rights Expanded or Restricted Under Trump — Freedom of the press,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,34,17,32,52
27,6,1F,Rights Expanded or Restricted Under Trump — Freedom of the press,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,39,63,38,16
28,6,1F,Rights Expanded or Restricted Under Trump — Freedom of the press,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,11,9,16,8
29,6,1F,Rights Expanded or Restricted Under Trump — Freedom of the press,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,100,100,100,99
30,7,1G,Rights Expanded or Restricted Under Trump — Voting rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,15,10,12,25
31,7,1G,Rights Expanded or Restricted Under Trump — Voting rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,36,20,34,54
32,7,1G,Rights Expanded or Restricted Under Trump — Voting rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,38,62,36,17
33,7,1G,Rights Expanded or Restricted Under Trump — Voting rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,10,8,18,4
34,7,1G,Rights Expanded or Restricted Under Trump — Voting rights,"Under Donald Trump’s presidency, do you think the following rights will...?",Totals,99,100,100,100
35,8,1H,Rights Expanded or Restricted Under Trump — Right to protest,"Under Donald Trump’s presidency, do you think the following rights will...?",Be expanded,9,10,7,10
36,8,1H,Rights Expanded or Restricted Under Trump — Right to protest,"Under Donald Trump’s presidency, do you think the following rights will...?",Stay the same,43,20,40,68
37,8,1H,Rights Expanded or Restricted Under Trump — Right to protest,"Under Donald Trump’s presidency, do you think the following rights will...?",Be restricted,37,62,36,16
38,8,1H,Rights Expanded or Restricted Under Trump — Right to protest,"Under Donald Trump’s presidency, do you think the following rights will...?",Not sure,11,8,18,6
