,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Direction of Country,Would you say things in this country today are...,Generally headed in the right direction,30,7,61,21
1,1,1,Direction of Country,Would you say things in this country today are...,Off on the wrong track,60,90,29,66
2,1,1,Direction of Country,Would you say things in this country today are...,Not sure,10,3,10,13
3,1,1,Direction of Country,Would you say things in this country today are...,Totals,100,100,100,100
4,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Strongly approve,21,2,49,12
5,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Somewhat approve,20,4,37,16
6,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Approve,41,6,86,28
7,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Somewhat disapprove,10,7,7,14
8,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Strongly disapprove,45,84,6,51
9,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Disapprove,55,91,13,65
10,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Not sure,4,3,1,6
11,2,2,President Trump Job Approval,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Totals,100,100,100,99
12,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,Donald Trump,24,1,57,13
13,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,Jimmy Kimmel,20,6,32,19
14,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,The Democratic Party,43,7,89,32
15,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,The Republican Party,9,7,5,12
16,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,(ICE),45,85,5,52
17,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,"Robert F. Kennedy, Jr",54,93,10,64
18,3,3A,Favorability — Donald Trump,Do you have a favorable or an unfavorable opinion of the following?,Don’t know,3,1,1,4
