,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Impact of News on Daily Life,Which better describes how you feel about news and current events?,News and current events matter a lot in my daily life,58,70,45,61
1,1,1,Impact of News on Daily Life,Which better describes how you feel about news and current events?,News and current events don’t have much to do with my daily life,30,23,35,32
2,1,1,Impact of News on Daily Life,Which better describes how you feel about news and current events?,Not sure,12,7,20,7
3,1,1,Impact of News on Daily Life,Which better describes how you feel about news and current events?,Totals,100,100,100,100
4,2,2,Attention to News,How much attention would you say you paid to what happened in the news this week?,A lot,36,47,27,35
5,2,2,Attention to News,How much attention would you say you paid to what happened in the news this week?,Some,41,39,41,44
6,2,2,Attention to News,How much attention would you say you paid to what happened in the news this week?,Not very much,16,10,22,17
7,2,2,Attention to News,How much attention would you say you paid to what happened in the news this week?,None at all,6,5,10,4
8,2,2,Attention to News,How much attention would you say you paid to what happened in the news this week?,Totals,99,101,100,100
9,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",Much busier than average,10,10,11,16
10,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",A little busier than average,99,100,100,100
11,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",About average,40,53,36,32
12,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",A little slower than average,23,21,19,31
13,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",Much slower than average,23,18,24,29
14,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",Not sure,2,2,1,2
15,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",average,1,0,2,1
16,3,3,Busyness of News This Week,"Thinking about this week compared to an average week, would you say that the news was:",Not sure,10,7,18,6
17,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,Social media,34,36,32,14
18,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,An online news source,32,31,33,24
19,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,"Talking with a friend, family member, or co-worker",19,22,16,13
20,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,"National television news on a cable network such as CNN, Fox, or MSNBC",10,12,7,6
21,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,Local television news,8,7,9,9
22,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,"National television news on a broadcast network such as ABC, CBS, or NBC",2,3,1,3
23,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,Radio,6,7,5,6
24,4,4,News Sources Used This Week,Please select all the sources that you got news from this week. Select all that apply.,A print newspaper or magazine,52,52,54,49
25,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,All of it,5,6,4,5
26,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,Most of it,35,41,28,37
27,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,About half of it,23,27,23,19
28,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,Some of it,25,19,25,32
29,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,None of it,7,6,11,4
30,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,Not sure,4,0,9,2
31,5,5,Political and Election News Consumed,How much of the news you consume is related to politics and elections?,Totals,99,99,100,99
32,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Very trustworthy,5,8,4,4
33,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Trustworthy,29,43,21,23
34,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Neither trustworthy nor untrustworthy,32,33,33,30
35,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Untrustworthy,17,9,17,27
36,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Very untrustworthy,11,3,16,14
37,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Don’t know,5,4,10,2
38,6,6,Trust in News Overall,How trustworthy do you rate the news in general?,Totals,99,100,101,100
39,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Liberal,34,17,29,58
40,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Moderate,23,37,19,12
41,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Conservative,12,15,12,10
42,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Not political,4,5,3,3
43,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Not sure,27,26,37,17
44,7,7,Ideology of News Overall,Do you think that news sources generally are...?,Totals,100,100,100,100
45,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Daily,41,45,40,39
46,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Weekly,22,22,20,25
47,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Monthly,9,7,8,13
48,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Less often than monthly,8,10,8,7
49,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Never,1,1,1,3
50,8,8,Frequency of Seeing False Information,How often do you see what you think is false or misleading information online?,Not sure,17,14,23,14
