,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Things in California,"Generally speaking, do you feel things in California today are going...",Very well,8,11,6,7
1,1,1,Things in California,"Generally speaking, do you feel things in California today are going...",Somewhat well,37,47,36,18
2,1,1,Things in California,"Generally speaking, do you feel things in California today are going...",Somewhat badly,29,30,29,28
3,1,1,Things in California,"Generally speaking, do you feel things in California today are going...",Very badly,26,12,29,46
4,1,1,Things in California,"Generally speaking, do you feel things in California today are going...",Totals,100,100,100,99
5,2,2,Following News about Special Election,"How closely are you following news about the special election being held on November 4, 2025 when Propo-",Very closely,34,40,28,34
6,2,2,Following News about Special Election,"How closely are you following news about the special election being held on November 4, 2025 when Propo-",Somewhat closely,39,39,36,44
7,2,2,Following News about Special Election,"How closely are you following news about the special election being held on November 4, 2025 when Propo-",Not very closely,18,15,21,18
8,2,2,Following News about Special Election,"How closely are you following news about the special election being held on November 4, 2025 when Propo-",Not closely at all,9,6,15,4
9,2,2,Following News about Special Election,"How closely are you following news about the special election being held on November 4, 2025 when Propo-",Totals,100,100,100,100
10,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Already voted,15,19,9,18
11,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Definitely will vote,50,56,43,49
12,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Probably will vote,14,12,16,17
13,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Maybe will vote,8,6,8,8
14,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Probably will not vote,4,1,8,3
15,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Definitely will not vote,5,2,8,4
16,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Don’t know,4,4,8,0
17,3,3,Likely to Vote in Special Election,How likely is it that you will vote in the special election on November 4th on Proposition 50?,Totals,100,100,100,99
18,4,4,Proposition 50 Vote Choice,"If the election were held today, how would you vote on Proposition 50, which ""authorizes temporary changes",Would vote yes,62,85,60,22
19,4,4,Proposition 50 Vote Choice,"If the election were held today, how would you vote on Proposition 50, which ""authorizes temporary changes",Would vote no,38,15,40,78
20,4,4,Proposition 50 Vote Choice,"If the election were held today, how would you vote on Proposition 50, which ""authorizes temporary changes",Totals,100,100,100,100
21,5,5,Vote on Prop 50 in Support or Opposition to Trump,Is a reason for your vote on Proposition 50...?,To support Donald Trump,11,2,4,31
22,5,5,Vote on Prop 50 in Support or Opposition to Trump,Is a reason for your vote on Proposition 50...?,To oppose Donald Trump,51,80,46,5
23,5,5,Vote on Prop 50 in Support or Opposition to Trump,Is a reason for your vote on Proposition 50...?,Trump not a reason either way,38,18,50,64
24,5,5,Vote on Prop 50 in Support or Opposition to Trump,Is a reason for your vote on Proposition 50...?,Totals,100,100,100,100
25,6,6,Vote on Prop 50 in Support or Opposition to Newsom,Is a reason for your vote on Proposition 50...?,To support Gavin Newsom,27,47,15,2
26,6,6,Vote on Prop 50 in Support or Opposition to Newsom,Is a reason for your vote on Proposition 50...?,To oppose Gavin Newsom,23,2,23,59
27,6,6,Vote on Prop 50 in Support or Opposition to Newsom,Is a reason for your vote on Proposition 50...?,Newsom not a reason either way,50,51,62,39
28,6,6,Vote on Prop 50 in Support or Opposition to Newsom,Is a reason for your vote on Proposition 50...?,Totals,100,100,100,100
29,7,7,"Vote on Prop 50 about Local, State, or National Politics",Is your vote on Proposition 50 mostly about...?,Local issues and politics,5,4,7,6
30,7,7,"Vote on Prop 50 about Local, State, or National Politics",Is your vote on Proposition 50 mostly about...?,California issues and politics,45,32,40,69
31,7,7,"Vote on Prop 50 about Local, State, or National Politics",Is your vote on Proposition 50 mostly about...?,National issues and politics,50,64,53,24
32,7,7,"Vote on Prop 50 about Local, State, or National Politics",Is your vote on Proposition 50 mostly about...?,Totals,100,100,100,99
33,8,8,Vote on Prop 50 to Support or Oppose National Democrats,Is a reason for your vote on Proposition 50...?,To support national Democrats,42,75,19,3
34,8,8,Vote on Prop 50 to Support or Oppose National Democrats,Is a reason for your vote on Proposition 50...?,To oppose national Democrats,16,1,14,44
35,8,8,Vote on Prop 50 to Support or Oppose National Democrats,Is a reason for your vote on Proposition 50...?,Not a reason either way,42,24,67,53
36,8,8,Vote on Prop 50 to Support or Oppose National Democrats,Is a reason for your vote on Proposition 50...?,Totals,100,100,100,100
37,9,9,Vote on Prop 50 to Support or Oppose National Republicans,Is a reason for your vote on Proposition 50...?,To support national Republicans,15,1,5,45
38,9,9,Vote on Prop 50 to Support or Oppose National Republicans,Is a reason for your vote on Proposition 50...?,To oppose national Republicans,45,76,33,5
39,9,9,Vote on Prop 50 to Support or Oppose National Republicans,Is a reason for your vote on Proposition 50...?,Not a reason either way,40,22,62,50
40,9,9,Vote on Prop 50 to Support or Oppose National Republicans,Is a reason for your vote on Proposition 50...?,Totals,100,99,100,100
41,10,10A,Gain or Lose Power if Prop 50 Approved — Cities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political",Cities,45,49,43,43
42,10,10A,Gain or Lose Power if Prop 50 Approved — Cities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political",Suburbs,14,7,12,30
43,10,10A,Gain or Lose Power if Prop 50 Approved — Cities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political",Rural areas,41,44,45,27
44,10,10A,Gain or Lose Power if Prop 50 Approved — Cities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political",White communities,100,100,100,100
45,11,10B,Gain or Lose Power if Prop 50 Approved — Suburbs,"If Proposition 50 is approved, do you think it will...",Cost the state of California money,28,36,27,18
46,11,10B,Gain or Lose Power if Prop 50 Approved — Suburbs,"If Proposition 50 is approved, do you think it will...",Save the state of California money,22,13,22,40
47,11,10B,Gain or Lose Power if Prop 50 Approved — Suburbs,"If Proposition 50 is approved, do you think it will...",Not impact either way,50,51,51,42
48,11,10B,Gain or Lose Power if Prop 50 Approved — Suburbs,"If Proposition 50 is approved, do you think it will...",Totals,100,100,100,100
49,12,10C,Gain or Lose Power if Prop 50 Approved — Rural areas,How would you rate the condition of the economy in California today?,Very good,21,28,16,15
50,12,10C,Gain or Lose Power if Prop 50 Approved — Rural areas,How would you rate the condition of the economy in California today?,Fairly good,38,27,40,57
51,12,10C,Gain or Lose Power if Prop 50 Approved — Rural areas,How would you rate the condition of the economy in California today?,Fairly bad,41,45,44,28
52,12,10C,Gain or Lose Power if Prop 50 Approved — Rural areas,How would you rate the condition of the economy in California today?,Very bad,100,100,100,100
53,13,10D,Gain or Lose Power if Prop 50 Approved — White communities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political power, or not change either way?",Gain power,23,27,18,21
54,13,10D,Gain or Lose Power if Prop 50 Approved — White communities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political power, or not change either way?",Lose power,26,19,26,41
55,13,10D,Gain or Lose Power if Prop 50 Approved — White communities,"If Proposition 50 is approved, which of these do you think will gain political power in California, lose political power, or not change either way?",Not change,51,54,56,38
