,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Donald Trump Immigration,Do you think Donald Trump’s approach to immigration policy is...?,Too harsh,53,92,56,11
1,1,1,Donald Trump Immigration,Do you think Donald Trump’s approach to immigration policy is...?,About right,36,4,27,76
2,1,1,Donald Trump Immigration,Do you think Donald Trump’s approach to immigration policy is...?,Too soft,6,1,6,10
3,1,1,Donald Trump Immigration,Do you think Donald Trump’s approach to immigration policy is...?,Not sure,6,3,11,3
4,1,1,Donald Trump Immigration,Do you think Donald Trump’s approach to immigration policy is...?,Totals,101,100,100,100
5,2,2,Citizens Detained in Immigration Detention Centers,Do you think the Trump administration has wrongfully detained any U.S. citizens in immigration detention,"Yes, many",40,76,39,6
6,2,2,Citizens Detained in Immigration Detention Centers,Do you think the Trump administration has wrongfully detained any U.S. citizens in immigration detention,"Yes, a few",24,16,26,29
7,2,2,Citizens Detained in Immigration Detention Centers,Do you think the Trump administration has wrongfully detained any U.S. citizens in immigration detention,"No, none",18,2,12,41
8,2,2,Citizens Detained in Immigration Detention Centers,Do you think the Trump administration has wrongfully detained any U.S. citizens in immigration detention,Not sure,18,6,23,24
9,2,2,Citizens Detained in Immigration Detention Centers,Do you think the Trump administration has wrongfully detained any U.S. citizens in immigration detention,Totals,100,100,100,100
10,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Strongly approve,22,4,18,46
11,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Somewhat approve,13,4,12,22
12,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Somewhat disapprove,10,7,11,11
13,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Strongly disapprove,44,79,44,8
14,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Not sure,12,7,15,13
15,3,3,Approve of Florida Detention Center,"Do you approve or disapprove of the opening of a migrant detention center in the Florida Everglades, that is",Totals,101,101,100,100
16,4,4,Treatment of Detained Migrants in U.S.,Do you think that people in migrant detention centers in the U.S. are generally treated...?,Too harshly,48,82,53,10
17,4,4,Treatment of Detained Migrants in U.S.,Do you think that people in migrant detention centers in the U.S. are generally treated...?,About right,29,6,20,59
18,4,4,Treatment of Detained Migrants in U.S.,Do you think that people in migrant detention centers in the U.S. are generally treated...?,Not harshly enough,3,0,3,7
19,4,4,Treatment of Detained Migrants in U.S.,Do you think that people in migrant detention centers in the U.S. are generally treated...?,Not sure,20,11,24,23
20,4,4,Treatment of Detained Migrants in U.S.,Do you think that people in migrant detention centers in the U.S. are generally treated...?,Totals,100,99,100,99
21,5,5,Comparison to Prisons,"Compared to U.S. prisons, do you think conditions in immigration detention centers are generally...?",Better,18,3,12,38
22,5,5,Comparison to Prisons,"Compared to U.S. prisons, do you think conditions in immigration detention centers are generally...?",About the same,24,18,23,33
23,5,5,Comparison to Prisons,"Compared to U.S. prisons, do you think conditions in immigration detention centers are generally...?",Worse,39,65,41,11
24,5,5,Comparison to Prisons,"Compared to U.S. prisons, do you think conditions in immigration detention centers are generally...?",Not sure,19,13,24,19
25,5,5,Comparison to Prisons,"Compared to U.S. prisons, do you think conditions in immigration detention centers are generally...?",Totals,100,99,100,101
26,6,6,Detention Priority,"When the Trump administration makes decisions about immigration detention centers, do you think it cares",Effectively enforcing immigration law,21,7,17,39
27,6,6,Detention Priority,"When the Trump administration makes decisions about immigration detention centers, do you think it cares",Appearing tough on immigration,42,72,43,13
28,6,6,Detention Priority,"When the Trump administration makes decisions about immigration detention centers, do you think it cares",Both equally,28,16,26,42
29,6,6,Detention Priority,"When the Trump administration makes decisions about immigration detention centers, do you think it cares",Not sure,9,5,14,6
30,6,6,Detention Priority,"When the Trump administration makes decisions about immigration detention centers, do you think it cares",Totals,100,100,100,100
31,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,By the government only,1,1,1,1
32,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,By the government in most circumstances,25,17,34,33
33,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,Equally by the government and private companies,99,100,100,99
34,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,By private companies in most circumstances,39,45,36,36
35,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,By private companies only,18,16,15,25
36,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,Not sure,11,7,11,16
37,7,7,Who Should Own and Operate Immigrant Detention Centers,Do you think that immigration detention centers in the U.S. should be owned and operated...?,most circumstances,5,6,3,6
38,8,8A,Immigrant Detainee Access — Clean drinking water,Do you think people in U.S. immigration detention centers should or should not have access to the following?,Clean drinking water,97,98,96,97
39,8,8A,Immigrant Detainee Access — Clean drinking water,Do you think people in U.S. immigration detention centers should or should not have access to the following?,Running water for showers,1,1,1,1
40,8,8A,Immigrant Detainee Access — Clean drinking water,Do you think people in U.S. immigration detention centers should or should not have access to the following?,Working toilets that flush,2,1,3,2
41,8,8A,Immigrant Detainee Access — Clean drinking water,Do you think people in U.S. immigration detention centers should or should not have access to the following?,Beds to sleep on,100,100,100,100
