,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,Very urban,19,26,13,16
1,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,Somewhat urban,24,28,22,20
2,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,More urban than rural,23,22,24,23
3,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,More rural than urban,13,11,14,15
4,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,Somewhat rural,14,9,18,15
5,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,Very rural,7,4,8,10
6,1,1,Currently Live in Urban or Rural Area,Would you say that you currently live in an area that is...?,Totals,100,100,99,99
7,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",Very urban,22,24,19,21
8,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",Somewhat urban,20,25,20,14
9,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",More urban than rural,21,20,20,23
10,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",More rural than urban,16,15,20,12
11,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",Somewhat rural,10,9,12,10
12,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",Very rural,12,7,10,20
13,2,2,Grew Up in Urban or Rural Area,"When you were growing up, was most of your time spent living in an area that was...?",Totals,101,100,101,100
14,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",Very urban,15,22,12,12
15,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",Somewhat urban,15,23,13,10
16,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",More urban than rural,18,19,19,14
17,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",More rural than urban,19,17,19,21
18,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",Somewhat rural,18,13,21,20
19,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",Very rural,14,6,16,23
20,3,3,Prefer to Live in Urban or Rural Area,"If you had a choice, would you prefer to live in an area that is...?",Totals,99,100,100,100
21,4,4,More in Common - Urban or Rural Areas,"Regardless of where you live, would you say that you personally have more in common with...?",People in urban areas,25,41,17,17
22,4,4,More in Common - Urban or Rural Areas,"Regardless of where you live, would you say that you personally have more in common with...?",People in rural areas,21,12,20,34
23,4,4,More in Common - Urban or Rural Areas,"Regardless of where you live, would you say that you personally have more in common with...?",Both equally,38,38,38,40
24,4,4,More in Common - Urban or Rural Areas,"Regardless of where you live, would you say that you personally have more in common with...?",Not sure,15,9,25,10
25,4,4,More in Common - Urban or Rural Areas,"Regardless of where you live, would you say that you personally have more in common with...?",Totals,99,100,100,101
26,5,5,Gap in Urban and Rural Areas,Do you think that Americans living in urban and rural areas are...?,Very similar to one another,100,99,100,100
