,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Planned Parenthood,33,59,29,12
1,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,All Lives Matter,21,24,22,16
2,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Liberties Union (ACLU),17,14,20,18
3,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Colored People (NAACP),7,1,6,13
4,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,AARP,19,1,17,37
5,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Black Lives Matter,4,2,5,4
6,1,1A,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Blue Lives Matter,101,101,99,100
7,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,29,29,22,36
8,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat favorable,18,16,17,19
9,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,unfavorable,21,13,25,22
10,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat unfavorable,5,9,5,3
11,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very unfavorable,15,23,18,6
12,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,I’m not familiar with this,12,10,12,14
13,2,1B,Favorability of Groups — All Lives Matter,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,100,100,99,100
14,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,25,49,20,10
15,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat favorable,15,21,14,11
16,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,unfavorable,20,13,21,26
17,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat unfavorable,8,3,9,12
18,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very unfavorable,14,2,14,26
19,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,I’m not familiar with this,17,13,22,16
20,3,1C,Favorability of Groups — The American Civil Liberties Union (ACLU),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,99,101,100,101
21,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,25,52,19,6
22,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat favorable,23,25,26,16
23,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,unfavorable,22,12,22,30
24,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat unfavorable,9,3,7,16
25,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very unfavorable,12,4,12,19
26,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,I’m not familiar with this,11,4,14,14
27,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,102,100,100,101
28,5,1E,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,24,38,17,18
