qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",All,5,6,4,4
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",Most,17,25,14,11
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",Few,47,47,44,52
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",None,21,15,22,26
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",Don’t know,11,7,16,7
1,1,Success Due to Luck,"How many, if any at all, of your successes in life have been a result of luck or chance?",Totals,101,100,100,100
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",criticize me,53,49,57,54
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",Don’t know,18,16,19,14
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",Totals,100,100,99,100
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",myself,11,17,9,8
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",myself,18,18,17,19
2,2,Criticism,"Do you think that other people criticize you more or less than you criticize yourself, or is it about the same?",criticize me,53,49,53,59
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Very high,27,30,28,23
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Somewhat high,43,41,41,49
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Somewhat low,17,19,14,18
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Very low,5,5,5,4
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Don’t know,8,5,12,6
3,3,Expectations,"Generally speaking, do you have high or low expectations of yourself?",Totals,100,100,100,100
4,4,Exaggeration of Achievements,"When talking to others, do you tend to exaggerate your achievements or downplay them?",achievements,10,13,7,11
4,4,Exaggeration of Achievements,"When talking to others, do you tend to exaggerate your achievements or downplay them?",achievements,38,37,36,43
4,4,Exaggeration of Achievements,"When talking to others, do you tend to exaggerate your achievements or downplay them?",Neither,44,44,46,41
4,4,Exaggeration of Achievements,"When talking to others, do you tend to exaggerate your achievements or downplay them?",Don’t know,8,6,12,5
4,4,Exaggeration of Achievements,"When talking to others, do you tend to exaggerate your achievements or downplay them?",Totals,100,100,101,100
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Very dif cult,10,9,12,8
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Somewhat dif cult,38,40,35,42
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Somewhat easy,31,33,29,29
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Very easy,13,13,11,15
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Don’t know,8,4,13,6
5,5,Accepting Compliments,Do you ﬁnd it difﬁcult or easy to accept compliments and praise from other people?,Totals,100,99,100,100
