,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Librarians,45,60,39,36
1,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Public libraries,34,26,36,42
2,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Your nearest public library,6,6,5,8
3,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Bookstores,4,2,4,6
4,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Your nearest bookstore,10,6,16,9
5,1,1A,Favorability — Librarians,Do you have a favorable or an unfavorable opinion of...?,Totals,99,100,100,101
6,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Be increased,54,65,51,46
7,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Stay the same,31,24,32,39
8,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Be decreased,7,6,7,7
9,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Not sure,3,2,3,4
10,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Don’t know,5,3,8,4
11,2,1B,Favorability — Public libraries,Do you think that funding for public libraries in the United States should...?,Totals,100,100,101,100
12,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,Local government,48,57,44,42
13,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,State government,32,27,33,37
14,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,Federal government,7,6,6,9
15,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,None of the above,3,3,3,3
16,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,Not sure,10,7,14,9
17,3,1C,Favorability — Your nearest public library,Which levels of government do you think should be responsible for funding public libraries? Select all that,Totals,100,100,100,100
18,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,Local government,46,56,43,38
19,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,State government,39,30,39,49
20,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,Federal government,5,5,5,4
21,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,None of the above,3,2,3,3
22,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,Not sure,8,6,10,6
23,4,1D,Favorability — Bookstores,Which level of government do you think should be most responsible for funding public libraries?,Totals,101,99,100,100
24,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Increased a lot,34,40,32,30
25,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Increased a little,36,33,34,41
26,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Not changed,6,6,4,7
27,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Decreased a little,3,3,3,3
28,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Decreased a lot,21,18,26,19
29,5,1E,Favorability — Your nearest bookstore,"Compared to 20 years ago, do you think that the number of public libraries in the United States has...?",Not sure,100,100,99,100
30,6,2,Funding of Public Libraries in the U.S.,"Twenty years from now, do you think that the number of public libraries in the United States will have...?",Increased a lot,47,64,45,31
31,6,2,Funding of Public Libraries in the U.S.,"Twenty years from now, do you think that the number of public libraries in the United States will have...?",Increased a little,39,28,37,52
32,6,2,Funding of Public Libraries in the U.S.,"Twenty years from now, do you think that the number of public libraries in the United States will have...?",Not changed,4,2,4,5
33,6,2,Funding of Public Libraries in the U.S.,"Twenty years from now, do you think that the number of public libraries in the United States will have...?",Decreased a little,10,5,14,12
34,6,2,Funding of Public Libraries in the U.S.,"Twenty years from now, do you think that the number of public libraries in the United States will have...?",Decreased a lot,100,99,100,100
35,7,3,Responsibility for Funding Public Libraries,"In public library collections, do you think that materials containing the following should...?",Antisemitic content,53,53,51,55
36,7,3,Responsibility for Funding Public Libraries,"In public library collections, do you think that materials containing the following should...?",Bomb-building instructions,55,64,52,50
37,7,3,Responsibility for Funding Public Libraries,"In public library collections, do you think that materials containing the following should...?",Critical race theory,33,45,32,20
38,7,3,Responsibility for Funding Public Libraries,"In public library collections, do you think that materials containing the following should...?",Graphic violence,2,1,3,3
39,7,3,Responsibility for Funding Public Libraries,"In public library collections, do you think that materials containing the following should...?",Hate speech,14,11,18,12
40,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Harmful content being made available in public libraries,31,24,29,42
41,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Valuable content being $remove_ban_exper from public libraries,34,37,33,33
42,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Neither,17,26,15,10
43,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Not sure,2,1,3,3
44,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Not sure,15,12,20,13
45,8,4,Most Responsibility for Funding Public Libraries,Which of the following are you more concerned about?,Totals,99,100,100,101
46,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",New laws shielding public libraries from political influence,6,7,5,5
47,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",public libraries,13,16,11,14
48,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",Not changed,15,15,13,18
49,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",Decreased a little,31,30,31,32
50,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",Decreased a lot,19,18,20,18
51,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",Not sure,16,14,20,14
52,9,5,Past Change in Number of Public Libraries,"Tothebestofyourknowledge,havethefollowingbeenimplementedinyourstateorlocalcommunityinrecent",Totals,100,100,100,101
53,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Motivated by sincere concerns about free speech and equal protection,4,6,3,2
54,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Politically motivated,11,14,9,9
55,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Not sure,13,15,11,13
56,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Decreased a little,27,28,26,29
57,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Decreased a lot,32,27,32,37
58,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Not sure,13,10,19,10
59,10,6,Change in Number of Public Libraries,Do you think that recent efforts to shield librarians and public libraries from political influence are more,Totals,100,100,100,100
60,11,7A,Content Allowed in Public Libraries — Antisemitic content,Do you think that recent efforts to remove certain materials from public libraries are more often...?,Motivated by sincere concerns about the availability of harmful material,16,15,17,16
61,11,7A,Content Allowed in Public Libraries — Antisemitic content,Do you think that recent efforts to remove certain materials from public libraries are more often...?,Politically motivated,30,33,30,25
62,11,7A,Content Allowed in Public Libraries — Antisemitic content,Do you think that recent efforts to remove certain materials from public libraries are more often...?,Not sure,41,40,36,46
63,11,7A,Content Allowed in Public Libraries — Antisemitic content,Do you think that recent efforts to remove certain materials from public libraries are more often...?,Not sure,14,12,18,13
64,11,7A,Content Allowed in Public Libraries — Antisemitic content,Do you think that recent efforts to remove certain materials from public libraries are more often...?,Totals,101,100,101,100
65,12,7B,Content Allowed in Public Libraries — Bomb-building instructions,Would you support or oppose a law in your state that...?,collections,9,6,10,9
66,12,7B,Content Allowed in Public Libraries — Bomb-building instructions,Would you support or oppose a law in your state that...?,impartiality toward content and authors,20,23,20,16
67,12,7B,Content Allowed in Public Libraries — Bomb-building instructions,Would you support or oppose a law in your state that...?,number of public librarians,63,64,58,69
68,12,7B,Content Allowed in Public Libraries — Bomb-building instructions,Would you support or oppose a law in your state that...?,"race, religion, or sexual orientation",8,7,12,6
69,12,7B,Content Allowed in Public Libraries — Bomb-building instructions,Would you support or oppose a law in your state that...?,state officials,100,100,100,100
70,13,7C,Content Allowed in Public Libraries — Critical race theory,Would you say that librarians are generally...?,Very liberal,32,46,33,14
71,13,7C,Content Allowed in Public Libraries — Critical race theory,Would you say that librarians are generally...?,Somewhat liberal,25,23,24,27
72,13,7C,Content Allowed in Public Libraries — Critical race theory,Would you say that librarians are generally...?,Moderate,31,18,29,48
73,13,7C,Content Allowed in Public Libraries — Critical race theory,Would you say that librarians are generally...?,Somewhat conservative,13,12,15,11
74,13,7C,Content Allowed in Public Libraries — Critical race theory,Would you say that librarians are generally...?,Very conservative,101,99,101,100
75,14,7D,Content Allowed in Public Libraries — Graphic violence,Should public libraries charge late fees for library books that are returned after their due date?,Yes,19,20,20,17
76,14,7D,Content Allowed in Public Libraries — Graphic violence,Should public libraries charge late fees for library books that are returned after their due date?,No,40,41,43,36
77,14,7D,Content Allowed in Public Libraries — Graphic violence,Should public libraries charge late fees for library books that are returned after their due date?,Not sure,34,33,27,41
78,14,7D,Content Allowed in Public Libraries — Graphic violence,Should public libraries charge late fees for library books that are returned after their due date?,Not sure,7,6,10,6
79,14,7D,Content Allowed in Public Libraries — Graphic violence,Should public libraries charge late fees for library books that are returned after their due date?,Totals,100,100,100,100
80,15,7E,Content Allowed in Public Libraries — Hate speech,"Which, ifany, ofthefollowingpenaltiesdoyouthinkareappropriateforapersonnotreturningapubliclibrary",Late fees,15,11,17,16
81,15,7E,Content Allowed in Public Libraries — Hate speech,"Which, ifany, ofthefollowingpenaltiesdoyouthinkareappropriateforapersonnotreturningapubliclibrary",Replacement costs,27,29,27,25
82,15,7E,Content Allowed in Public Libraries — Hate speech,"Which, ifany, ofthefollowingpenaltiesdoyouthinkareappropriateforapersonnotreturningapubliclibrary",Loss of borrowing privileges,50,54,46,49
83,15,7E,Content Allowed in Public Libraries — Hate speech,"Which, ifany, ofthefollowingpenaltiesdoyouthinkareappropriateforapersonnotreturningapubliclibrary",Credit impact,9,6,11,10
84,15,7E,Content Allowed in Public Libraries — Hate speech,"Which, ifany, ofthefollowingpenaltiesdoyouthinkareappropriateforapersonnotreturningapubliclibrary",Something else,101,100,101,100
85,16,7F,Content Allowed in Public Libraries — LGBTQ topics,How important do you think public libraries are to your community as a whole?,Very important,40,57,40,22
86,16,7F,Content Allowed in Public Libraries — LGBTQ topics,How important do you think public libraries are to your community as a whole?,Somewhat important,30,23,31,37
87,16,7F,Content Allowed in Public Libraries — LGBTQ topics,How important do you think public libraries are to your community as a whole?,Not very important,21,12,19,33
88,16,7F,Content Allowed in Public Libraries — LGBTQ topics,How important do you think public libraries are to your community as a whole?,Not at all important,9,8,10,9
89,16,7F,Content Allowed in Public Libraries — LGBTQ topics,How important do you think public libraries are to your community as a whole?,Not sure,100,100,100,101
90,17,7G,Content Allowed in Public Libraries — Political misinformation,How far away is the nearest public library from where you currently live?,Within 1 mile,16,15,16,17
91,17,7G,Content Allowed in Public Libraries — Political misinformation,How far away is the nearest public library from where you currently live?,Within 5 miles,21,21,23,20
92,17,7G,Content Allowed in Public Libraries — Political misinformation,How far away is the nearest public library from where you currently live?,Within 10 miles,52,56,47,52
93,17,7G,Content Allowed in Public Libraries — Political misinformation,How far away is the nearest public library from where you currently live?,Within 20 miles,11,8,14,10
94,17,7G,Content Allowed in Public Libraries — Political misinformation,How far away is the nearest public library from where you currently live?,Within 30 miles,100,100,100,99
95,18,7H,Content Allowed in Public Libraries — Racist content,How far away is the nearest bookstore from where you currently live?,Within 1 mile,16,15,17,17
96,18,7H,Content Allowed in Public Libraries — Racist content,How far away is the nearest bookstore from where you currently live?,Within 5 miles,36,37,37,33
97,18,7H,Content Allowed in Public Libraries — Racist content,How far away is the nearest bookstore from where you currently live?,Within 10 miles,40,42,37,40
98,18,7H,Content Allowed in Public Libraries — Racist content,How far away is the nearest bookstore from where you currently live?,Within 20 miles,9,6,10,10
99,18,7H,Content Allowed in Public Libraries — Racist content,How far away is the nearest bookstore from where you currently live?,Within 30 miles,101,100,101,100
100,19,7I,Content Allowed in Public Libraries — Religious extremism,How often do you visit a public library?,Daily,21,20,24,20
101,19,7I,Content Allowed in Public Libraries — Religious extremism,How often do you visit a public library?,Weekly,36,37,36,36
102,19,7I,Content Allowed in Public Libraries — Religious extremism,How often do you visit a public library?,Monthly,31,33,26,33
103,19,7I,Content Allowed in Public Libraries — Religious extremism,How often do you visit a public library?,A few times a year,11,10,14,10
104,19,7I,Content Allowed in Public Libraries — Religious extremism,How often do you visit a public library?,Rarely,99,100,100,99
105,20,7J,Content Allowed in Public Libraries — Sex education,How often did you visit a public library when you were growing up?,Daily,47,62,46,32
106,20,7J,Content Allowed in Public Libraries — Sex education,How often did you visit a public library when you were growing up?,Weekly,38,27,38,49
107,20,7J,Content Allowed in Public Libraries — Sex education,How often did you visit a public library when you were growing up?,Monthly,9,7,8,14
108,20,7J,Content Allowed in Public Libraries — Sex education,How often did you visit a public library when you were growing up?,A few times a year,6,4,8,5
109,20,7J,Content Allowed in Public Libraries — Sex education,How often did you visit a public library when you were growing up?,Rarely,100,100,100,100
110,21,7K,Content Allowed in Public Libraries — Sexually explicit content,"In the past five years, have you used a public library to do the following? Select all that apply.",Browse or borrow books,18,23,18,12
111,21,7K,Content Allowed in Public Libraries — Sexually explicit content,"In the past five years, have you used a public library to do the following? Select all that apply.","Browse or borrow magazines, films, or other media",41,45,43,34
112,21,7K,Content Allowed in Public Libraries — Sexually explicit content,"In the past five years, have you used a public library to do the following? Select all that apply.",Use computers or the internet,36,28,30,49
113,21,7K,Content Allowed in Public Libraries — Sexually explicit content,"In the past five years, have you used a public library to do the following? Select all that apply.",Attend a class or lecture,6,4,9,5
114,21,7K,Content Allowed in Public Libraries — Sexually explicit content,"In the past five years, have you used a public library to do the following? Select all that apply.",Use workspaces,101,100,100,100
115,22,8,Bigger Concern - Public Libraries,"Doyoucurrentlyhavealibrarycardforapubliclibrary,whichallowsyoutoborrowbooksandothermaterials?",Yes,99,100,100,100
116,22,8,Bigger Concern - Public Libraries,"Doyoucurrentlyhavealibrarycardforapubliclibrary,whichallowsyoutoborrowbooksandothermaterials?",No,29,22,27,40
117,22,8,Bigger Concern - Public Libraries,"Doyoucurrentlyhavealibrarycardforapubliclibrary,whichallowsyoutoborrowbooksandothermaterials?",Not sure,53,65,52,43
