,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Too much,13,3,13,22
1,1,1,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,About the right amount,23,10,24,35
2,1,1,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Not enough,53,83,49,29
3,1,1,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Not sure,11,4,14,15
4,1,1,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Totals,100,100,100,101
5,2,2,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Easier,22,13,18,38
6,2,2,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",About the same,22,20,20,27
7,2,2,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Harder,41,59,42,23
8,2,2,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Not sure,14,9,20,12
9,2,2,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Totals,99,101,100,100
10,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,families with children,69,84,56,69
11,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,after-school programs,50,64,43,43
12,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,children,31,25,29,39
13,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,services,7,4,10,8
14,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,families,5,2,7,5
15,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,family-friendly benefits,7,5,11,5
16,3,3A,Support for Family-Friendly Policies — Offering tax credits for families with children,Would you support or oppose Congress doing the following?,6,100,100,100,100
17,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",0 weeks,66,94,54,51
18,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",2 weeks,50,77,41,31
19,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",4 weeks,29,19,29,40
20,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",8 weeks,8,1,9,15
21,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",10 weeks,4,1,7,5
22,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",12 weeks,8,2,14,8
23,4,3B,Support for Family-Friendly Policies — Increasing funding for after-school programs,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",14 weeks,99,100,100,99
24,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",0 weeks,65,91,51,56
25,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",2 weeks,51,78,44,31
26,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",4 weeks,27,17,25,41
27,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",8 weeks,8,2,9,12
28,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",10 weeks,5,1,9,4
29,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",12 weeks,9,2,13,12
30,5,3C,Support for Family-Friendly Policies — Increasing funding for health care for families with children,"Inyouropinion,underfederallaw,howmanyweeksofunpaidleaveshouldafull-timeworkerintheU.S.qualify",14 weeks,100,100,100,100
31,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",0 weeks,65,83,51,64
32,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",2 weeks,48,67,36,41
33,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",4 weeks,30,22,32,36
34,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",8 weeks,8,3,10,9
35,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",10 weeks,5,3,7,4
36,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",12 weeks,10,5,15,10
37,6,3D,Support for Family-Friendly Policies — Increasing funding for adoption and foster care services,"To your knowledge, under federal law, how many weeks of paid leave does an eligible full-time worker in the",14 weeks,101,100,100,100
38,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",0 weeks,65,87,58,49
39,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",2 weeks,48,76,44,23
40,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",4 weeks,31,17,28,47
41,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",8 weeks,8,4,7,13
42,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",10 weeks,6,2,8,9
43,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",12 weeks,8,2,12,9
44,7,3E,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"In your opinion, under federal law, how many weeks of paid leave should a full-time worker in the U.S. qualify",14 weeks,101,101,99,101
45,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Many more,64,80,52,62
46,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Somewhat more,41,57,32,34
47,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",About the same,35,29,36,41
48,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Somewhat fewer,7,4,10,8
49,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Many fewer,5,2,6,5
50,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Not sure,12,7,15,12
51,8,3F,Support for Family-Friendly Policies — Providing tax incentives for companies that offer family-friendly benefits,"Comparedtotheworldwideaverage,doyouthinktheU.S.offersmoreorfewerweeksofpaidleaveforparents",Totals,100,99,99,100
52,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Much more,60,83,51,47
53,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Somewhat more,52,76,44,36
54,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",About the same,23,14,25,31
55,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Somewhat less,8,3,7,13
56,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Much less,8,4,11,7
57,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Not sure,10,3,13,13
58,9,3G,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working mothers,"Compared to the worldwide average, do you think that it costs more or less for parents to send an infant to a",Totals,101,100,100,100
59,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Much more,56,88,51,30
60,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Somewhat more,46,73,40,25
61,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",About the same,28,19,29,34
62,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Somewhat less,11,3,9,22
63,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Much less,6,1,10,7
64,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Not sure,9,4,12,11
65,10,3H,Support for Family-Friendly Policies — Increasing funding for affordable housing for families with children,"Compared to the worldwide average, do you think that tuition for attending a public college is more or less in",Totals,100,100,100,99
66,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,Elementary school,55,69,44,52
67,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,Middle school,40,52,36,35
68,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,Kindergarten,31,30,27,36
69,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,High school,8,8,9,6
70,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,Preschool for children from 3 to 5 years old,9,4,9,13
71,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,Community college,12,7,19,10
72,11,3I,Support for Family-Friendly Policies — Offering tax credits for families with stay-at-home parents,DoyouthinkallAmericansshouldhaveaccesstooptionsforthefollowingthatarefundedbythegovernment?,After-school care for K-12 students,100,101,100,100
73,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Democrats,54,89,48,26
74,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Republicans,46,76,38,24
75,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Both equally,27,17,28,34
76,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Not sure,11,2,10,21
77,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Strongly oppose,7,2,9,11
78,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Not sure,10,3,16,9
79,12,3J,Support for Family-Friendly Policies — Expanding publicly funded pre-kindergarten programs,Which party do you think does a better job helping families with children in the U.S.?,Totals,101,100,101,99
80,13,3K,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,Net Support - Oppose,51,81,44,30
