,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,U.S. Wealth Significantly Tied to Slavery,Do you think the current wealth of the United States is significantly tied to work done in the past by slaves or,Significantly tied to work done in the past by slaves,33,50,32,15
1,1,1,U.S. Wealth Significantly Tied to Slavery,Do you think the current wealth of the United States is significantly tied to work done in the past by slaves or,Not significantly tied to work done in the past by slaves,45,25,43,72
2,1,1,U.S. Wealth Significantly Tied to Slavery,Do you think the current wealth of the United States is significantly tied to work done in the past by slaves or,Not sure,21,25,25,12
3,1,1,U.S. Wealth Significantly Tied to Slavery,Do you think the current wealth of the United States is significantly tied to work done in the past by slaves or,Totals,99,100,100,99
4,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,A great deal,21,35,18,10
5,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,A fair amount,31,42,30,19
6,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,Not much,25,15,26,35
7,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,Not at all,13,3,12,27
8,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,Not sure,10,6,14,10
9,2,2,Influence of Slavery Today,To what extent do you believe that the legacy of slavery in the U.S. still influences society today?,Totals,100,101,100,101
10,3,3,Which Black Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,All Black Americans,49,76,42,27
11,3,3,Which Black Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Only Black Americans who are descendants of slaves,14,9,14,20
12,3,3,Which Black Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,No Black Americans,17,4,18,30
13,3,3,Which Black Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Not sure,20,11,26,24
14,3,3,Which Black Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Totals,100,100,100,101
15,4,4,Which White Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,All white Americans,30,38,30,22
16,4,4,Which White Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Only white Americans who are descendants of slave owners,13,17,9,14
17,4,4,Which White Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,No white Americans,27,18,28,38
18,4,4,Which White Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Not sure,29,27,33,27
19,4,4,Which White Americans Affected by Slavery,Do you think that the legacy of slavery currently affects...?,Totals,99,100,100,101
20,5,5,Government Apologize for Slavery,Do you think the U.S. government should or should not apologize to Black Americans for the slavery that once,Should,43,70,38,19
21,5,5,Government Apologize for Slavery,Do you think the U.S. government should or should not apologize to Black Americans for the slavery that once,Should not,42,17,43,69
22,5,5,Government Apologize for Slavery,Do you think the U.S. government should or should not apologize to Black Americans for the slavery that once,Not sure,15,12,19,12
23,5,5,Government Apologize for Slavery,Do you think the U.S. government should or should not apologize to Black Americans for the slavery that once,Totals,100,99,100,100
