,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Often,26,30,23,27
1,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Sometimes,48,46,52,45
2,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Rarely,15,12,14,19
3,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Never,5,6,5,5
4,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Not sure,5,6,6,3
5,1,1,Imagine Historical Action,"When learning about history, how often, if ever, do you imagine what you would have done if you had lived",Totals,99,100,100,99
6,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Often,31,34,33,27
7,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Sometimes,47,49,46,47
8,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Rarely,15,15,13,16
9,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Never,5,2,4,8
10,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Not sure,2,0,5,2
11,2,2,Frequency of Learning About History,"How often, if ever, do you read, watch, or listen to content about historical events?",Totals,100,100,101,100
12,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1607–1776),2,1,1,3
13,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1775–1783),9,7,10,10
14,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1812–1861),26,27,25,27
15,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,The Civil War (1861–1865),30,33,29,28
16,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1865–1877),16,13,18,15
17,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1870s–1900),18,19,18,17
18,3,3A,Rating of Periods in American History — The Colonial Period (1607–1776),How would you rate the overall quality of life for Americans during the following period in U.S. history?,(1890s–1920s),101,100,101,100
19,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Colonial Period (1607–1776),1,1,1,2
20,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The American Revolution (1775–1783),9,11,10,7
21,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Antebellum Period (1812–1861),23,19,24,27
22,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Civil War (1861–1865),33,36,29,36
23,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Reconstruction Era (1865–1877),17,17,19,14
24,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Gilded Age (1870s–1900),16,16,17,14
25,4,3B,Rating of Periods in American History — The American Revolution (1775–1783),"Which, if any, of the following periods in U.S. history do you think are similar to the present? Select all that",The Progressive Era (1890s–1920s),99,100,100,100
26,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Excellent,2,0,2,3
27,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Good,12,10,10,17
28,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Fair,26,25,25,27
29,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Poor,22,26,20,20
30,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Terrible,14,15,16,11
31,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Not sure,24,24,26,22
32,5,3C,Rating of Periods in American History — The Antebellum Period (1812–1861),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Totals,100,100,99,100
33,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Excellent,1,2,1,1
34,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Good,4,4,4,3
35,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Fair,12,8,12,17
36,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Poor,32,36,27,34
37,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Terrible,39,38,43,36
38,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Not sure,12,12,14,9
39,6,3D,Rating of Periods in American History — The Civil War (1861–1865),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Totals,100,100,101,100
40,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Excellent,2,1,2,3
41,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Good,13,10,12,17
42,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Fair,31,30,32,31
43,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Poor,22,27,21,19
44,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Terrible,11,9,12,12
45,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Not sure,21,24,21,19
46,7,3E,Rating of Periods in American History — The Reconstruction Era (1865–1877),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Totals,100,101,100,101
47,8,3F,Rating of Periods in American History — The Gilded Age (1870s–1900),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Excellent,4,3,4,4
48,8,3F,Rating of Periods in American History — The Gilded Age (1870s–1900),How would you rate the overall quality of life for Americans during the following period in U.S. history?,Good,20,15,20,25
