,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Owns a Computer Now,"Currently, does anyone in your household own a computer?",Yes,86,86,82,90
1,1,1,Owns a Computer Now,"Currently, does anyone in your household own a computer?",No,13,14,15,10
2,1,1,Owns a Computer Now,"Currently, does anyone in your household own a computer?",Not sure,1,1,3,0
3,1,1,Owns a Computer Now,"Currently, does anyone in your household own a computer?",Totals,100,101,100,100
4,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Very often,59,65,52,62
5,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Somewhat often,17,12,21,18
6,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Not very often,14,13,17,14
7,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Never,8,10,8,7
8,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Not sure,1,0,2,0
9,2,2,Current Frequency of Computer Use,"Currently, how often do you use a computer?",Totals,99,100,100,101
10,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Very often,4,5,4,2
11,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Somewhat often,12,12,12,12
12,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Not very often,62,60,58,70
13,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Never,9,10,11,7
14,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Not sure,4,2,7,4
15,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Not asked - never uses a computer,8,10,8,7
16,3,3,Current Experiences With Computer Problems,"Currently, how often do you experience computer problems?",Totals,99,99,100,102
17,4,4,Owned Computer in 1999,"In 1999, did anyone in your household own a computer?",Yes,71,70,69,75
18,4,4,Owned Computer in 1999,"In 1999, did anyone in your household own a computer?",No,20,23,18,19
19,4,4,Owned Computer in 1999,"In 1999, did anyone in your household own a computer?",Not sure,9,7,13,6
20,4,4,Owned Computer in 1999,"In 1999, did anyone in your household own a computer?",Totals,100,100,100,100
21,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Very often,36,40,31,38
22,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Somewhat often,26,22,30,25
23,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Not very often,20,23,17,20
24,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Never,12,9,15,12
25,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Not sure,6,6,7,5
26,5,5,Frequency of Computer Use in 1999,"In 1999, how often did you use a computer?",Totals,100,100,100,100
27,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Very often,9,8,6,12
28,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Somewhat often,25,24,23,27
29,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Not very often,34,36,33,33
30,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Never,5,7,5,2
31,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Not sure,16,17,18,14
32,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Not asked - never used a computer,12,9,15,12
33,6,6,Experiences With Computer Problems in 1999,"In 1999, how often did you experience computer problems?",Totals,101,101,100,100
34,7,7,Memory of Y2K Problem,"In the period leading up to the year 2000, there was a belief that many computer problems would occur as a",A lot,47,54,45,43
35,7,7,Memory of Y2K Problem,"In the period leading up to the year 2000, there was a belief that many computer problems would occur as a",A fair amount,33,27,36,37
36,7,7,Memory of Y2K Problem,"In the period leading up to the year 2000, there was a belief that many computer problems would occur as a",Not much,12,11,11,14
37,7,7,Memory of Y2K Problem,"In the period leading up to the year 2000, there was a belief that many computer problems would occur as a",Nothing at all,8,9,8,6
38,7,7,Memory of Y2K Problem,"In the period leading up to the year 2000, there was a belief that many computer problems would occur as a",Totals,100,101,100,100
39,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Very concerned,7,8,6,7
40,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Somewhat concerned,25,31,20,25
41,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Not very concerned,35,30,39,36
42,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Not at all concerned,28,26,28,28
43,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Not sure,6,5,7,4
44,8,8,Own Concern Over Y2K Problem,"Leading up to the year 2000, how concerned were you personally about the potential impacts of the Y2K",Totals,101,100,100,100
45,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Very concerned,32,39,28,30
46,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Somewhat concerned,40,35,45,39
47,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Not very concerned,13,12,12,16
48,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Not at all concerned,8,7,7,8
49,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Not sure,7,7,8,7
50,9,9,Others’ Concern Over Y2K Problem,"Leadinguptotheyear2000,howconcerneddoyourememberotherpeoplebeingaboutthepotentialimpacts",Totals,100,100,100,100
51,11,11,Disruptions to Country from Y2K Problem,"For the country in general, would you say that the Y2K problem ultimately caused...?",Major disruptions,4,3,5,3
52,11,11,Disruptions to Country from Y2K Problem,"For the country in general, would you say that the Y2K problem ultimately caused...?",Minor disruptions,29,32,26,30
53,11,11,Disruptions to Country from Y2K Problem,"For the country in general, would you say that the Y2K problem ultimately caused...?",No disruptions,52,51,50,55
54,11,11,Disruptions to Country from Y2K Problem,"For the country in general, would you say that the Y2K problem ultimately caused...?",Not sure,15,14,18,11
55,11,11,Disruptions to Country from Y2K Problem,"For the country in general, would you say that the Y2K problem ultimately caused...?",Totals,100,100,99,99
56,12,12,Disruptions to Self from Y2K Problem,"For you personally, would you say that the Y2K problem ultimately caused...?",Major disruptions,2,3,3,1
57,12,12,Disruptions to Self from Y2K Problem,"For you personally, would you say that the Y2K problem ultimately caused...?",Minor disruptions,10,10,11,9
58,12,12,Disruptions to Self from Y2K Problem,"For you personally, would you say that the Y2K problem ultimately caused...?",No disruptions,78,78,75,82
59,12,12,Disruptions to Self from Y2K Problem,"For you personally, would you say that the Y2K problem ultimately caused...?",Not sure,10,9,12,8
60,12,12,Disruptions to Self from Y2K Problem,"For you personally, would you say that the Y2K problem ultimately caused...?",Totals,100,100,101,100
61,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,The government,14,25,12,6
62,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,Congress,27,28,25,30
63,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,President Bill Clinton,10,7,10,12
64,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,Vice President Al Gore,8,2,6,15
65,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,Computer companies,41,39,46,37
66,13,13A,Approval of Handling of Y2K Problem — The government,Do you approve or disapprove of how the following handled the Y2K problem?,Banks,100,101,99,100
67,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",Too much concern about the Y2K problem,10,16,9,5
68,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",The right amount of concern about the Y2K problem,26,26,21,32
69,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",Too little concern about the Y2K problem,9,9,8,9
70,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",Not sure,8,3,7,13
71,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",Not sure,47,46,54,41
72,14,13B,Approval of Handling of Y2K Problem — Congress,"Looking back, do you think that leading up to the year 2000, people expressed...?",Totals,100,100,99,100
73,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",A serious problem which was effectively managed,17,34,12,7
74,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",An exaggerated problem that wasted time and resources,24,22,27,23
75,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",Not sure,6,4,6,9
76,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",Strongly disapprove,10,1,8,21
77,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",Not sure,43,40,47,40
78,15,13C,Approval of Handling of Y2K Problem — President Bill Clinton,"Looking back, how do you view the Y2K problem now?",Totals,100,101,100,100
79,16,13D,Approval of Handling of Y2K Problem — Vice President Al Gore,Do you approve or disapprove of how the following handled the Y2K problem?,Strongly approve,14,27,11,6
80,16,13D,Approval of Handling of Y2K Problem — Vice President Al Gore,Do you approve or disapprove of how the following handled the Y2K problem?,Somewhat approve,19,22,16,19
81,16,13D,Approval of Handling of Y2K Problem — Vice President Al Gore,Do you approve or disapprove of how the following handled the Y2K problem?,Somewhat disapprove,6,4,5,9
