,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",I smoke every day,17,14,20,15
1,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",every day,8,10,7,7
2,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",have given up now,26,30,25,22
3,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",I have never smoked,43,42,37,54
4,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",Prefer not to say,7,4,11,2
5,1,1,Smoker/non-smoker,"Which, if any, of the following statements BEST applies to you, when it comes to smoking?",Totals,101,100,100,100
6,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Trust a lot,25,51,14,8
7,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Trust somewhat,26,26,23,30
8,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Neither trust nor distrust,16,11,21,14
9,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Distrust somewhat,11,4,12,18
10,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Distrust a lot,16,3,19,29
11,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Not sure,7,5,11,2
12,2,2A,Trust in medical advice — Centers for Disease Control and Prevention (CDC),How much do you trust medical advice from each of the following people or organizations?,Totals,101,100,100,101
13,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Trust a lot,18,31,11,12
14,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Trust somewhat,34,43,28,33
15,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Neither trust nor distrust,16,11,20,17
16,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Distrust somewhat,12,4,14,20
17,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Distrust a lot,12,5,16,16
18,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Not sure,7,5,10,2
19,3,2B,Trust in medical advice — The U.S. Food and Drug Administration (FDA),How much do you trust medical advice from each of the following people or organizations?,Totals,99,99,99,100
20,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Trust a lot,4,7,4,2
21,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Trust somewhat,8,9,5,11
22,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Neither trust nor distrust,20,19,22,18
23,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Distrust somewhat,4,4,6,3
24,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Distrust a lot,8,5,8,12
25,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Not sure,55,56,55,54
26,4,2C,Trust in medical advice — Robert Califf,How much do you trust medical advice from each of the following people or organizations?,Totals,99,100,100,100
27,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Trust a lot,7,15,4,2
28,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Trust somewhat,9,12,7,11
29,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Neither trust nor distrust,17,20,15,16
30,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Distrust somewhat,6,5,6,9
31,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Distrust a lot,11,5,14,15
32,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Not sure,48,43,55,45
33,5,2D,Trust in medical advice — Rochelle Walensky,How much do you trust medical advice from each of the following people or organizations?,Totals,98,100,101,98
34,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,I have never done this,19,18,20,15
35,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,Totals,100,100,100,101
36,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,Every day,32,37,27,36
37,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,A few times a week,17,24,13,14
38,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,A few times a month,6,6,7,3
39,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,A few times a year,4,2,5,3
40,6,3A,Smoking Frequency — Smoke menthol cigarettes,Which one of the following best describes how often you do each of the following? Please select one option on each row.,Once a year or less,4,5,6,0
