,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I’m actively on the lookout to buy new technology devices and services,41,41,42,41
1,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I’m always keen to use new technology products as soon as they enter the market,49,52,47,48
2,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I like to get new technology products after they’ve been out for a while,10,7,11,11
3,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I sometimes buy new technology products but only when I really like them,100,100,100,100
4,2,2B,Heard About Technologies — Virtual reality (VR),How much have you heard about the following technology?,Artificial intelligence (AI),36,35,37,37
5,2,2B,Heard About Technologies — Virtual reality (VR),How much have you heard about the following technology?,Virtual reality (VR),53,58,51,50
6,2,2B,Heard About Technologies — Virtual reality (VR),How much have you heard about the following technology?,Self-driving cars,10,6,12,13
7,2,2B,Heard About Technologies — Virtual reality (VR),How much have you heard about the following technology?,Cryptocurrency,99,99,100,100
8,3,2C,Heard About Technologies — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Artificial intelligence (AI),33,36,33,31
9,3,2C,Heard About Technologies — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Virtual reality (VR),57,56,56,59
10,3,2C,Heard About Technologies — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Self-driving cars,10,9,11,10
11,3,2C,Heard About Technologies — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Cryptocurrency,100,101,100,100
12,4,2D,Heard About Technologies — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Artificial intelligence (AI),36,36,35,38
13,4,2D,Heard About Technologies — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Virtual reality (VR),51,51,52,50
14,4,2D,Heard About Technologies — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Self-driving cars,13,14,14,12
15,4,2D,Heard About Technologies — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Cryptocurrency,100,101,101,100
16,5,2E,Heard About Technologies — Non-fungible tokens (NFTs),How important do you think it is for the U.S. government to invest in the following technology?,Artificial intelligence (AI),16,21,16,12
17,5,2E,Heard About Technologies — Non-fungible tokens (NFTs),How important do you think it is for the U.S. government to invest in the following technology?,Virtual reality (VR),39,44,36,38
18,5,2E,Heard About Technologies — Non-fungible tokens (NFTs),How important do you think it is for the U.S. government to invest in the following technology?,Self-driving cars,44,35,48,50
19,5,2E,Heard About Technologies — Non-fungible tokens (NFTs),How important do you think it is for the U.S. government to invest in the following technology?,Cryptocurrency,99,100,100,100
20,6,2F,Heard About Technologies — Quantum computing,"By when, if ever, would you expect computers to become more intelligent than people?",Computers are already more intelligent than people,15,19,12,14
21,6,2F,Heard About Technologies — Quantum computing,"By when, if ever, would you expect computers to become more intelligent than people?",Before 2025,34,31,35,37
22,6,2F,Heard About Technologies — Quantum computing,"By when, if ever, would you expect computers to become more intelligent than people?",2025-2049,51,50,53,49
23,6,2F,Heard About Technologies — Quantum computing,"By when, if ever, would you expect computers to become more intelligent than people?",2050-2099,100,100,100,100
24,7,2G,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How concerned are you about the possibility of computers that are more intelligent than people attacking,Very concerned,10,13,8,11
25,7,2G,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How concerned are you about the possibility of computers that are more intelligent than people attacking,Somewhat concerned,29,32,28,26
26,7,2G,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How concerned are you about the possibility of computers that are more intelligent than people attacking,Not very concerned,61,55,64,63
27,7,2G,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How concerned are you about the possibility of computers that are more intelligent than people attacking,Not concerned at all,100,100,100,100
28,8,2H,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,A lot,13,17,10,13
29,8,2H,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,A little,46,47,45,46
30,8,2H,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,Nothing at all,41,36,45,42
31,8,2H,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,Totals,100,100,100,101
32,9,2I,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,A lot,17,19,14,18
33,9,2I,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,A little,52,50,55,49
34,9,2I,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,Nothing at all,32,31,31,33
35,9,2I,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,Totals,101,100,100,100
36,10,2J,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,A lot,15,21,11,12
37,10,2J,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,A little,43,40,44,44
38,10,2J,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,Nothing at all,43,38,45,44
39,10,2J,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,Totals,101,99,100,100
40,11,2K,Heard About Technologies — 3D printing,How much have you heard about the following technology?,A lot,38,45,36,35
41,11,2K,Heard About Technologies — 3D printing,How much have you heard about the following technology?,A little,49,45,49,52
42,11,2K,Heard About Technologies — 3D printing,How much have you heard about the following technology?,Nothing at all,13,10,15,13
43,11,2K,Heard About Technologies — 3D printing,How much have you heard about the following technology?,Totals,100,100,100,100
44,12,2L,Heard About Technologies — Blockchain,How much have you heard about the following technology?,A lot,19,21,19,18
45,12,2L,Heard About Technologies — Blockchain,How much have you heard about the following technology?,A little,31,35,28,30
46,12,2L,Heard About Technologies — Blockchain,How much have you heard about the following technology?,Nothing at all,50,44,53,52
47,12,2L,Heard About Technologies — Blockchain,How much have you heard about the following technology?,Totals,100,100,100,100
48,13,2M,Heard About Technologies — Metaverse,How much have you heard about the following technology?,A lot,26,29,24,24
49,13,2M,Heard About Technologies — Metaverse,How much have you heard about the following technology?,A little,50,53,48,48
50,13,2M,Heard About Technologies — Metaverse,How much have you heard about the following technology?,Nothing at all,25,18,28,27
51,13,2M,Heard About Technologies — Metaverse,How much have you heard about the following technology?,Totals,101,100,100,99
52,14,2N,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,A lot,22,28,20,18
53,14,2N,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,A little,43,45,43,42
54,14,2N,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,Nothing at all,35,27,37,40
55,14,2N,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,Totals,100,100,100,100
56,15,2O,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,A lot,7,10,3,7
57,15,2O,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,A little,21,24,18,22
58,15,2O,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,Nothing at all,73,66,79,71
59,15,2O,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,Totals,101,100,100,100
60,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,A lot,15,19,13,11
61,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,A little,51,48,51,54
62,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,Nothing at all,35,33,36,36
63,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,Totals,101,100,100,101
64,17,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,77,82,74,76
65,17,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,10,8,10,14
66,17,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,12,10,16,10
67,17,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,100,100,100
68,18,3B,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,73,76,68,77
69,18,3B,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,12,11,12,12
70,18,3B,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,16,13,20,11
71,18,3B,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,101,100,100,100
72,19,3C,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,63,64,63,64
73,19,3C,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,22,22,20,25
74,19,3C,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,14,14,17,11
75,19,3C,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,100,100,100
76,20,3D,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,50,51,46,54
77,20,3D,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,29,32,30,25
78,20,3D,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,21,17,24,21
79,20,3D,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,100
80,21,3E,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,41,43,32,52
81,21,3E,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,39,40,44,31
82,21,3E,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,20,17,25,17
83,21,3E,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,101,100
84,22,3F,Likelihood of Technologies Becoming Widespread — Quantum computing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,70,71,70,70
85,22,3F,Likelihood of Technologies Becoming Widespread — Quantum computing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,15,15,17,14
86,22,3F,Likelihood of Technologies Becoming Widespread — Quantum computing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,14,14,13,16
87,22,3F,Likelihood of Technologies Becoming Widespread — Quantum computing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,100,100,100
88,24,3H,Likelihood of Technologies Becoming Widespread — Personal space travel,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,50,48,41,64
89,24,3H,Likelihood of Technologies Becoming Widespread — Personal space travel,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,35,34,43,26
90,24,3H,Likelihood of Technologies Becoming Widespread — Personal space travel,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,15,18,16,10
91,24,3H,Likelihood of Technologies Becoming Widespread — Personal space travel,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,100
92,25,3I,Likelihood of Technologies Becoming Widespread — Lab-grown meat,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,49,51,47,50
93,25,3I,Likelihood of Technologies Becoming Widespread — Lab-grown meat,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,32,29,31,36
94,25,3I,Likelihood of Technologies Becoming Widespread — Lab-grown meat,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,19,20,22,14
95,25,3I,Likelihood of Technologies Becoming Widespread — Lab-grown meat,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,100
96,26,3J,Likelihood of Technologies Becoming Widespread — Gene editing technology,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,66,67,64,65
97,26,3J,Likelihood of Technologies Becoming Widespread — Gene editing technology,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,19,17,17,23
98,26,3J,Likelihood of Technologies Becoming Widespread — Gene editing technology,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,16,15,18,12
99,26,3J,Likelihood of Technologies Becoming Widespread — Gene editing technology,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,101,99,99,100
100,27,3K,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,82,83,81,83
101,27,3K,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,9,10,9,8
102,27,3K,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,9,7,10,9
103,27,3K,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,100
104,28,3L,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,58,57,53,66
105,28,3L,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,22,27,20,20
106,28,3L,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,20,16,27,14
107,28,3L,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,100
108,29,3M,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,51,57,43,54
109,29,3M,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,24,17,28,26
110,29,3M,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,26,26,29,20
111,29,3M,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,101,100,100,100
112,30,3N,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,62,63,57,68
113,30,3N,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,17,18,18,14
114,30,3N,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,21,18,25,18
115,30,3N,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,99,100,100
116,32,3P,Likelihood of Technologies Becoming Widespread — Artificial organs,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,67,73,62,69
117,32,3P,Likelihood of Technologies Becoming Widespread — Artificial organs,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,15,11,16,20
118,32,3P,Likelihood of Technologies Becoming Widespread — Artificial organs,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,17,17,22,11
119,32,3P,Likelihood of Technologies Becoming Widespread — Artificial organs,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,101,100,100
120,33,4A,Technologies Are Good or Bad — Artificial intelligence (AI),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Good,37,47,29,36
121,33,4A,Technologies Are Good or Bad — Artificial intelligence (AI),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Bad,33,23,37,39
122,33,4A,Technologies Are Good or Bad — Artificial intelligence (AI),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Not sure,30,30,34,24
123,33,4A,Technologies Are Good or Bad — Artificial intelligence (AI),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Totals,100,100,100,99
124,34,4B,Technologies Are Good or Bad — Virtual reality (VR),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Good,46,59,36,46
125,34,4B,Technologies Are Good or Bad — Virtual reality (VR),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Bad,20,12,23,27
126,34,4B,Technologies Are Good or Bad — Virtual reality (VR),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Not sure,34,29,41,28
127,34,4B,Technologies Are Good or Bad — Virtual reality (VR),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Totals,100,100,100,101
128,35,4C,Technologies Are Good or Bad — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Good,42,46,38,41
129,35,4C,Technologies Are Good or Bad — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Bad,34,31,34,40
130,35,4C,Technologies Are Good or Bad — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Not sure,24,23,28,19
131,35,4C,Technologies Are Good or Bad — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Totals,100,100,100,100
132,36,4D,Technologies Are Good or Bad — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Good,31,34,27,35
133,36,4D,Technologies Are Good or Bad — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Bad,43,45,39,47
134,36,4D,Technologies Are Good or Bad — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Not sure,25,21,34,18
135,36,4D,Technologies Are Good or Bad — Cryptocurrency,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Totals,99,100,100,100
136,37,4E,Technologies Are Good or Bad — Non-fungible tokens (NFTs),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Good,32,37,22,42
137,37,4E,Technologies Are Good or Bad — Non-fungible tokens (NFTs),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Bad,36,36,36,34
138,37,4E,Technologies Are Good or Bad — Non-fungible tokens (NFTs),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Not sure,32,27,42,24
139,37,4E,Technologies Are Good or Bad — Non-fungible tokens (NFTs),"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Totals,100,100,100,100
