qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,news,51,57,48,51
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,podcasts),23,23,21,25
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,Play games,9,9,9,8
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,Watch streaming services,3,1,4,4
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,Do crossword puzzles,9,6,11,9
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,Never,5,4,6,4
1,1A,"Frequency of Consuming Content — Watch, read, or listen to the news",How often do you do the following online or using apps?,Totals,100,100,99,101
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you",Watch a streaming service,41,43,40,40
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you","Watch, read, or listen to the news",25,26,23,26
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you","as videos, blogs, or podcasts)",9,10,10,8
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you",Play a game,4,3,4,3
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you",Do a crossword puzzle,11,8,12,14
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you",Never,10,10,10,10
2,1B,"Frequency of Consuming Content — Watch, read, or listen to content from individual creators (such as YouTube or TikTok videos, blogs, or","Have you ever encountered a paywall — that is, a barrier to accessing content with a message indicating you",Totals,100,100,99,101
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,Watch a streaming service,40,40,42,37
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,"Watch, read, or listening to the news",20,22,19,21
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,Play a game,8,6,9,8
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,"as videos, blogs, or podcasts)",4,4,4,5
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,Do a crossword puzzle,12,9,12,16
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,Never,15,18,15,12
3,1C,Frequency of Consuming Content — Play games,Have you ever started a paid subscription after encountering a paywall while attempting to...?,Totals,99,99,101,99
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Streaming services,40,43,38,39
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,News sources,29,29,31,26
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Online games,12,11,12,12
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Memberships),4,2,5,5
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Crossword puzzles,8,8,7,11
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Never,7,7,8,7
4,1D,Frequency of Consuming Content — Watch streaming services,Do you currently have any paid subscriptions to...?,Totals,100,100,101,100
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,Pornography,5,8,3,5
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,Multiplayer online games,9,13,7,8
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,receive new content,11,14,7,15
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,National news,10,10,13,7
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,Local news,28,24,29,30
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,than 5 minutes),36,31,41,35
5,1E,Frequency of Consuming Content — Do crossword puzzles,How often do you think it is acceptable for apps and websites to require a paid subscription for...?,30 minutes),99,100,100,100
6,2A,Encountered Paywall — Watch a streaming service,"Which, if any, of the following New York Times games do you ever play? Select all that apply.",Wordle,65,67,65,65
