,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,View on Climate Change,"Thinking about the global environment...In general, which of the following statements, if any, best describes",The climate is changing and human activity is mainly responsible,8,10,7,5
1,1,1,View on Climate Change,"Thinking about the global environment...In general, which of the following statements, if any, best describes",,3,4,2,2
2,1,1,View on Climate Change,"Thinking about the global environment...In general, which of the following statements, if any, best describes",The climate is changing but human activity is not responsible at all,5,3,7,8
3,1,1,View on Climate Change,"Thinking about the global environment...In general, which of the following statements, if any, best describes",The climate is not changing,100,100,100,99
4,1,1,View on Climate Change,"Thinking about the global environment...In general, which of the following statements, if any, best describes",Not sure,36,57,39,15
5,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",Could be doing more,55,81,57,29
6,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",Doing as much as it reasonably can,23,14,19,36
7,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",Doing too much,9,1,7,18
8,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",The climate is not changing,3,1,2,5
9,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",Not sure,10,3,15,12
10,2,2,Country Tackling Climate Change,"Do you think that your country could be doing more to tackle climate change, is it already doing as much as it",Totals,100,100,100,100
11,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",Could be doing more,37,55,32,26
12,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",Doing as much as I reasonably can,46,40,47,52
13,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",Doing too much,2,2,1,3
14,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",The climate is not changing,3,1,2,5
15,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",Not sure,12,2,18,14
16,3,3,Self Tackling Climate Change,"And do you think that you personally could be doing more to tackle climate change, are you already doing as",Totals,100,100,100,100
17,4,5,Climate Change Approach,Which of the following comes closest to your view?,It is already too late to avoid the worst effects of climate change,32,40,25,34
18,4,5,Climate Change Approach,Which of the following comes closest to your view?,in the steps taken to tackle it,3,4,2,2
19,4,5,Climate Change Approach,Which of the following comes closest to your view?,currently being taken to tackle it,22,19,24,17
20,4,5,Climate Change Approach,Which of the following comes closest to your view?,,100,101,100,100
21,4,5,Climate Change Approach,Which of the following comes closest to your view?,The climate is not changing,43,56,41,35
22,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",of climate change,46,66,47,26
23,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",climate change,26,23,24,31
24,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",The climate is not changing,14,5,12,24
25,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",Not sure,4,0,4,7
26,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",Don’t know,7,4,11,7
27,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",changing,3,1,2,5
28,5,6A,Climate Change Harm Levels — The world,"If you had to choose one, which approach would you prefer governments and societies to focus on more to",Totals,100,99,100,100
29,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",The world,36,53,39,18
30,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",People in the United States,32,33,30,32
31,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",Your local community,16,8,14,27
32,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",You personally,5,1,6,9
33,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",Don’t know,7,3,9,9
34,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",changing,3,1,2,5
35,6,6B,Climate Change Harm Levels — People in the United States,"Howmuchharm,ifany,doyouthinkclimatechangewillhaveonthefollowingpeopleandplacesoverthenext",Totals,99,99,100,100
36,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",Yes,23,33,24,14
37,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",No,35,47,33,25
38,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",The climate is not changing,23,13,21,33
39,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",None at all,8,1,8,14
40,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",Don’t know,9,5,12,9
41,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",changing,3,1,2,5
42,7,6C,Climate Change Harm Levels — Your local community,"Do you experience anxiety, grief, or other distress because of concerns over climate change?",Totals,101,100,100,100
43,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,"Lifestyle choices (including, diet, transportation, and travel)",17,26,18,8
44,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,Decisions about where to live,31,42,29,24
45,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,Decisions to have children,24,23,24,26
46,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,None at all,15,2,14,26
47,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,Don’t know,10,6,12,10
48,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,changing,3,1,2,5
49,8,6D,Climate Change Harm Levels — You personally,Has climate change caused you to reconsider major life decisions such as...?,Totals,100,100,99,99
50,9,7,Experiencing Distress due to Climate Change,Do you engage in advocacy related to climate change?,Yes,28,41,28,17
