,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Direction of country,Would you say things in this country today are...,Generally headed in the right direction,25,52,7,17
1,1,1,Direction of country,Would you say things in this country today are...,Off on the wrong track,63,32,89,71
2,1,1,Direction of country,Would you say things in this country today are...,Not sure,12,16,4,12
3,1,1,Direction of country,Would you say things in this country today are...,Totals,100,100,100,100
4,1,1,Direction of country,Would you say things in this country today are...,Generally headed in the right direc,25,51,4,12
5,1,1,Direction of country,Would you say things in this country today are...,Off on the wrong track,63,33,93,83
6,1,1,Direction of country,Would you say things in this country today are...,Not sure,12,16,3,5
7,1,1,Direction of country,Would you say things in this country today are...,Totals,100,100,100,100
8,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Joe Biden,18,43,1,9
9,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Donald Trump,24,40,5,23
10,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Kamala Harris,41,84,6,32
11,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,JD Vance,13,9,9,22
12,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Tim Walz,42,6,84,42
13,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Unfavorable,56,14,93,65
14,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,3,2,1,4
15,2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,100,100,100
16,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,A lot,23,1,58,13
17,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Some,19,7,31,21
18,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Total a lot / some,42,8,89,35
19,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Only a little,10,9,7,15
20,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,None,45,82,4,48
21,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Total a lttle / none,56,90,11,63
22,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Don’t know,3,2,0,2
23,3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Totals,100,101,100,99
24,4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Definitely will vote,28,65,2,19
25,4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Probably will vote,21,28,4,29
26,4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Total definitely / probably will vote,49,92,6,47
27,4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Maybe will vote,10,4,10,14
