,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Time Online,How often do you read online news and social media?,Very often,40,44,32,47
1,1,1,Time Online,How often do you read online news and social media?,Somewhat often,33,36,35,28
2,1,1,Time Online,How often do you read online news and social media?,Not very often,14,15,15,12
3,1,1,Time Online,How often do you read online news and social media?,Not at all often,12,5,17,12
4,1,1,Time Online,How often do you read online news and social media?,Not sure,1,0,1,0
5,1,1,Time Online,How often do you read online news and social media?,Totals,100,100,100,99
6,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,attention to detail,23,24,22,25
7,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,else,42,42,44,41
8,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,overwhelming,30,30,29,31
9,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,one thing at a time,3,4,3,3
10,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,Never,1,0,1,1
11,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,Not sure,1,1,2,0
12,2,2A,Neurodivergent Behaviors — You pay very close attention to detail,How often does the following apply to you?,Totals,100,101,101,101
13,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Games on a mobile device,17,14,20,15
14,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Games on a computer,21,23,22,17
15,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Games on a console,33,31,34,33
16,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Card games,15,19,9,17
17,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Tabletop roleplaying games,10,9,7,13
18,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Board games,6,3,8,5
19,3,2B,Neurodivergent Behaviors — You feel your brain works different from everyone else,"How often do you play each of the following types of games, if at all?",Totals,102,99,100,100
20,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",0 - Completely masculine,12,10,14,11
21,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",1,13,13,13,12
22,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",2,39,43,41,32
23,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",3,26,25,20,32
24,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",4,10,8,10,11
25,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",5,1,1,1,2
26,4,2C,Neurodivergent Behaviors — You find social situations overwhelming,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is",6 - Completely feminine,101,100,99,100
27,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",0 - Completely heterosexual,7,5,10,6
28,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",1,12,11,16,10
29,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",2,35,38,33,35
30,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",3,31,29,29,36
31,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",4,12,14,9,14
32,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",5,2,3,3,0
33,5,2D,Neurodivergent Behaviors — You find it hard to focus on one thing at a time,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely",6 - Completely homosexual (i.e. gay or lesbian),99,100,100,101
34,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the","Yes, always",37,38,36,38
35,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the","Yes, sometimes",15,18,15,14
36,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the","No, I don’t do this",8,7,10,6
37,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the",Not sure,14,16,13,13
38,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the",I never stay at hotels that offer this,24,19,23,29
39,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the",Not sure,2,2,3,0
40,6,3A,Frequency Playing Types of Games — Games on a mobile device,"When staying at a hotel that offers toiletries, do you take the unused toiletries with you when you leave the",Totals,100,100,100,100
41,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Daily,15,14,16,14
42,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Weekly,14,12,17,13
43,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Monthly,5,5,6,5
44,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Rarely,22,29,21,18
45,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Never,42,40,37,50
46,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Not sure,2,1,4,0
47,7,3B,Frequency Playing Types of Games — Games on a computer,"How often do you play each of the following types of games, if at all?",Totals,100,101,101,100
48,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Daily,8,10,8,7
49,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Weekly,12,12,14,10
50,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Monthly,7,7,7,7
51,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Rarely,20,19,19,22
52,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Never,51,49,49,54
53,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Not sure,2,2,3,0
54,8,3C,Frequency Playing Types of Games — Games on a console,"How often do you play each of the following types of games, if at all?",Totals,100,99,100,100
55,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Daily,4,2,4,7
56,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Weekly,10,9,10,10
57,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Monthly,17,18,14,20
58,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Rarely,43,45,44,40
59,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Never,24,23,26,23
60,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Not sure,2,3,2,0
61,9,3D,Frequency Playing Types of Games — Card games,"How often do you play each of the following types of games, if at all?",Totals,100,100,100,100
62,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Daily,1,1,1,1
63,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Weekly,4,8,2,4
64,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Monthly,5,4,5,7
65,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Rarely,18,19,15,19
66,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Never,68,65,71,67
67,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Not sure,4,3,6,1
68,10,3E,Frequency Playing Types of Games — Tabletop roleplaying games,"How often do you play each of the following types of games, if at all?",Totals,100,100,100,99
69,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Daily,1,0,1,1
70,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Weekly,8,8,6,10
71,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Monthly,22,23,21,21
72,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Rarely,44,42,45,44
73,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Never,24,23,23,25
74,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Not sure,2,2,4,1
75,11,3F,Frequency Playing Types of Games — Board games,"How often do you play each of the following types of games, if at all?",Totals,101,98,100,102
76,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",Totals,100,101,99,102
77,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",- Completely masculine,33,23,32,44
78,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",- Completely feminine,36,38,31,41
79,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",Something else,1,1,1,1
80,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",Don’t know,3,3,5,0
81,12,4,Masculinity and Femininity,"Please try to place your gender identity on a scale of 0 to 6, where 0 is completely masculine and 6 is completely feminine",Totals,100,100,100,100
82,13,5,Sexuality scale,"Please try to place your sexuality on a scale of 0 to 6, where 0 is completely heterosexual and 6 is completely homosexual (i.e. gay or lesbian).",lesbian,5,6,4,3
