,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Direction of Country,Would you say things in this country today are...,Generally headed in the right direction,33,9,69,25
1,1,1,Direction of Country,Would you say things in this country today are...,Off on the wrong track,53,84,17,59
2,1,1,Direction of Country,Would you say things in this country today are...,Not sure,14,6,14,16
3,1,1,Direction of Country,Would you say things in this country today are...,Totals,100,99,100,100
4,2,2,Country Under Control,Do you feel that things in this country these days are:,Under control,25,8,50,21
5,2,2,Country Under Control,Do you feel that things in this country these days are:,Out of control,60,85,33,63
6,2,2,Country Under Control,Do you feel that things in this country these days are:,Not sure,14,7,16,16
7,2,2,Country Under Control,Do you feel that things in this country these days are:,Totals,99,100,99,100
8,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Very worried,37,71,9,38
9,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Somewhat worried,31,21,35,34
10,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Total very/somewhat worried,68,91,43,71
11,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Not very worried,19,6,33,16
12,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Not worried,13,3,23,13
13,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Total not very/not worried,32,9,57,29
14,3,3,Future of U.S. Democracy,How worried are you about the future of U.S. democracy?,Totals,100,101,100,101
15,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Donald Trump,27,2,62,17
16,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,JD Vance,16,3,26,17
17,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,"Robert F. Kennedy, Jr",43,5,88,34
18,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Hegseth,9,7,4,14
19,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Elon Musk,45,87,6,48
20,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Unfavorable,53,94,10,61
21,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Don’t know,4,1,1,5
22,4,4A,Favorability of Politicians — Donald Trump,Favorability of Politicians,Totals,101,100,99,101
23,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,The Democratic Party,22,1,53,15
24,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,The Republican Party,15,2,24,21
25,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,colleges,37,4,76,35
26,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,Harvard University,11,14,9,12
27,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,Very unfavorable,38,76,8,38
28,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,Unfavorable,50,89,17,50
29,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,Don’t know,13,7,6,15
30,5,4B,Favorability of Politicians — JD Vance,Do you have a favorable or an unfavorable opinion of...?,Totals,99,100,100,101
31,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Strongly approve,16,4,32,13
32,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Somewhat approve,24,9,39,24
33,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Approve,40,13,71,37
34,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Somewhat disapprove,13,14,13,16
35,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Strongly disapprove,32,65,8,33
36,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Disapprove,46,79,20,49
37,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Not sure,14,9,9,15
38,6,4C,"Favorability of Politicians — Robert F. Kennedy, Jr.",Do you approve or disapprove of the way Donald Trump is handling his job as President?,Totals,99,101,101,101
39,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Focused on America’s most important issues,12,2,26,9
40,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Focused on issues that aren’t very important,17,6,30,17
41,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Not sure,29,8,56,26
42,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Somewhat unfavorable,9,8,11,9
43,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Very unfavorable,33,68,7,35
44,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Unfavorable,43,75,18,44
45,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Don’t know,29,17,26,31
46,7,4D,Favorability of Politicians — Defense Secretary Pete Hegseth,"In general, do you think Donald Trump has spent the first 100 days of his second term...",Totals,100,101,100,101
47,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,Cost of living,21,4,47,13
48,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,Government spending,18,5,28,20
49,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,The economy,39,9,74,34
50,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,Immigration,12,11,12,14
51,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,inclusion (DEI),42,77,10,44
52,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,Democracy,54,89,22,58
53,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,and Ukraine,7,3,3,9
54,8,4E,Favorability of Politicians — Elon Musk,Do you approve or disapprove of the way Donald Trump is handling each of the following issues?,Totals,100,100,100,100
55,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Better,14,38,3,2
56,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Worse,25,46,6,30
57,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",About the same,39,84,10,32
58,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Not sure,21,12,25,28
59,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Very unfavorable,31,3,62,27
60,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Unfavorable,52,15,87,55
61,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Don’t know,9,1,3,13
62,9,5A,Favorability of Organizations — The Democratic Party,"Looking back on his first 100 days back in office, has Donald Trump been a better or worse president than you",Totals,100,100,99,100
63,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",cancel federal contracts,17,1,48,4
64,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Imposed,24,5,42,26
65,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Imposed,41,6,91,29
66,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Imposed,15,18,7,23
67,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Imposed,35,73,2,37
68,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Changed the name of the Gulf of Mexico to the Gulf of America,50,91,9,60
69,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",unauthorized immigrants without court hearings,9,3,1,11
70,10,5B,Favorability of Organizations — The Republican Party,"Here is a list of some things Donald Trump has done so far during his second term. For each, say whether",Totals,100,100,100,101
71,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Bigger challenges than Biden,23,43,12,19
72,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,About the same,35,43,27,37
73,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Smaller challenges than Biden,57,85,38,55
74,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Not sure,17,5,31,16
75,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Very unfavorable,12,3,21,13
76,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Unfavorable,29,8,51,29
77,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Don’t know,14,7,10,16
78,11,5C,Favorability of Organizations — U.S. universities and colleges,Has Donald Trump faced bigger or smaller challenges during his first 100 days back in office than Joe Biden,Totals,101,101,101,101
79,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Trump better,28,51,12,25
80,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,About the same,24,32,19,23
81,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Trump worse,52,83,31,48
82,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Not sure,11,4,17,13
83,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Very unfavorable,18,3,37,16
84,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Unfavorable,29,7,54,28
85,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Don’t know,19,10,15,23
86,12,5D,Favorability of Organizations — Harvard University,How does Donald Trump’s performance during his first 100 days back in office compare with Joe Biden’s,Totals,100,100,100,100
87,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Cost of living,24,2,58,13
88,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",China,18,4,29,19
89,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Tariffs,42,6,87,33
90,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Donald Trump,10,9,8,14
91,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Climate change,43,83,3,47
92,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Billionaires,53,92,12,61
93,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Artificial intelligence,5,2,1,7
94,13,6,President Trump Job Approval,"Which of the following, if any, do you see as a threat to the future of the United States? Select all that apply",Immigration,100,100,99,100
95,14,7,Trump Focus,"Which of the following, if any, do you see as the BIGGEST threat to the future of the United States? Select",Donald Trump,39,5,78,34
96,14,7,Trump Focus,"Which of the following, if any, do you see as the BIGGEST threat to the future of the United States? Select",Democrats,48,85,12,53
97,14,7,Trump Focus,"Which of the following, if any, do you see as the BIGGEST threat to the future of the United States? Select",Republicans,14,10,10,13
98,14,7,Trump Focus,"Which of the following, if any, do you see as the BIGGEST threat to the future of the United States? Select",Artificial intelligence,101,100,100,100
99,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Arresting and deporting immigrants,12,2,28,8
100,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Raising tariffs on imported goods,19,3,39,15
101,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",programs,31,5,67,23
102,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Somewhat disapprove,15,11,14,18
103,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Strongly disapprove,44,81,8,46
104,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Disapprove,59,92,23,64
105,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Not sure,11,3,10,13
106,15,8A,Trump Approval on Issues — Cost of living,"Here are some policies Donald Trump has prioritized during his first 100 days back in office. For each, do",Totals,101,100,99,100
107,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Approve,24,1,55,18
108,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Disapprove,18,7,27,20
109,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Not sure,42,8,82,39
110,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Somewhat disapprove,12,13,7,16
111,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Strongly disapprove,36,74,4,33
112,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Disapprove,48,87,12,49
113,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Not sure,10,5,6,12
114,16,8B,Trump Approval on Issues — Government spending,"Donald Trump recently refused to rule out the possibility of running for a third term as president, which is",Totals,100,100,99,99
115,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,A lot,17,2,40,10
116,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,A little,19,4,37,18
117,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Total heard about,36,6,77,28
118,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Nothing at all,12,11,9,17
119,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Strongly disapprove,43,81,7,47
120,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Disapprove,56,92,16,64
121,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Not sure,8,3,7,8
122,17,8C,Trump Approval on Issues — The economy,How much have you heard or read about recent controversies involving Defense Secretary Pete Hegseth?,Totals,99,101,100,100
123,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Hegseth should continue to serve as defense secretary,32,4,68,27
124,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Hegseth should be replaced,16,8,22,16
125,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Not sure,48,13,90,43
126,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Somewhat disapprove,10,13,4,11
127,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Strongly disapprove,36,73,4,38
128,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Disapprove,46,86,7,49
129,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Not sure,6,2,3,8
130,18,8D,Trump Approval on Issues — Immigration,Do you think Pete Hegseth should continue to serve as defense secretary or be replaced?,Totals,100,100,101,100
131,19,8E,"Trump Approval on Issues — Diversity, equity and inclusion (DEI)",Defense Secretary Pete Hegseth reportedly used the Signal messaging app on his personal smartphone,Hegseth should continue to serve as defense secretary,25,3,52,22
132,19,8E,"Trump Approval on Issues — Diversity, equity and inclusion (DEI)",Defense Secretary Pete Hegseth reportedly used the Signal messaging app on his personal smartphone,Hegseth should be replaced,14,5,25,13
