,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Religion in Public Schools,Do you believe religion plays too much or not enough of a role in public schools today?,Too much of a role,26,48,24,6
1,1,1,Religion in Public Schools,Do you believe religion plays too much or not enough of a role in public schools today?,About the right amount,26,25,29,24
2,1,1,Religion in Public Schools,Do you believe religion plays too much or not enough of a role in public schools today?,Not enough of a role,34,15,29,60
3,1,1,Religion in Public Schools,Do you believe religion plays too much or not enough of a role in public schools today?,Not sure,14,12,18,11
4,1,1,Religion in Public Schools,Do you believe religion plays too much or not enough of a role in public schools today?,Totals,100,100,100,101
5,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,Only teach about Christianity,13,12,13,7
6,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,"Teach about all religions, but give more emphasis to Christianity",100,100,100,99
7,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,Teach about all religions equally,9,4,8,15
8,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,Not teach about any religions,12,5,8,24
9,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,Not sure,38,47,38,28
10,2,2,Emphasis of Religion in Public Schools,Do you think public schools should...?,religions,28,38,29,17
11,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,education classes,61,81,42,60
12,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,religious symbols,53,73,41,43
13,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,social studies curricula,22,14,20,32
14,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,religious holidays,7,3,10,7
15,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,science classes,7,3,10,8
16,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,school property,12,8,19,10
17,3,3A,Support or Oppose Religion in Schools — Teaching about contraception in sex education classes,Do you support or oppose the following in public schools?,topics on religious grounds,101,101,100,100
18,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,people should live today,54,53,48,63
19,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,my daily life,37,38,32,42
20,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,how people should behave,33,32,32,34
21,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,God to Moses,9,10,8,8
22,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,"people, not given by God -",7,8,8,4
23,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,certain religions -,15,12,19,12
24,4,3B,Support or Oppose Religion in Schools — Allowing students to wear clothing or jewelry with religious symbols,Do you agree or disagree with the following regarding the Ten Commandments?,society -,101,100,99,100
