,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,State of the Economy,How would you describe the current state of the American economy?,Excellent,5,10,3,2
1,1,1,State of the Economy,How would you describe the current state of the American economy?,Good,20,38,13,7
2,1,1,State of the Economy,How would you describe the current state of the American economy?,Fair,29,32,26,28
3,1,1,State of the Economy,How would you describe the current state of the American economy?,Poor,43,17,52,62
4,1,1,State of the Economy,How would you describe the current state of the American economy?,Don’t know,3,3,6,1
5,1,1,State of the Economy,How would you describe the current state of the American economy?,Totals,100,100,100,100
6,2,2,Monopolies Good or Bad,Do you generally think it is a good or bad thing for a single company to dominate a market?,Good,6,10,3,5
7,2,2,Monopolies Good or Bad,Do you generally think it is a good or bad thing for a single company to dominate a market?,Neutral,16,13,14,20
8,2,2,Monopolies Good or Bad,Do you generally think it is a good or bad thing for a single company to dominate a market?,Bad,67,71,66,64
9,2,2,Monopolies Good or Bad,Do you generally think it is a good or bad thing for a single company to dominate a market?,Not sure,11,6,17,11
10,2,2,Monopolies Good or Bad,Do you generally think it is a good or bad thing for a single company to dominate a market?,Totals,100,100,100,100
11,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,A lot of competition,23,24,19,25
12,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,Some competition,42,44,39,44
13,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,Not much competition,20,22,23,16
14,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,No competition,2,1,4,2
15,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,Not sure,12,8,16,13
16,3,3,Amount of Competition Within Industries in U.S.,How much competition would you say there is between companies within industries in the U.S.?,Totals,99,99,101,100
17,4,4,Prefer More or Less Competition Within Industries in U.S.,"Generally speaking, do you think that between companies within industries in the U.S. there is...?",Too much competition,15,17,15,13
18,4,4,Prefer More or Less Competition Within Industries in U.S.,"Generally speaking, do you think that between companies within industries in the U.S. there is...?",About the right amount of competition,28,28,21,37
19,4,4,Prefer More or Less Competition Within Industries in U.S.,"Generally speaking, do you think that between companies within industries in the U.S. there is...?",Not enough competition,37,40,39,32
20,4,4,Prefer More or Less Competition Within Industries in U.S.,"Generally speaking, do you think that between companies within industries in the U.S. there is...?",Not sure,19,15,25,18
21,4,4,Prefer More or Less Competition Within Industries in U.S.,"Generally speaking, do you think that between companies within industries in the U.S. there is...?",Totals,99,100,100,100
22,5,5A,Contributions from Companies — Contribute more to the economy,Which type of companies in the U.S. do you think...?,Contribute more to the economy,27,25,21,37
23,5,5A,Contributions from Companies — Contribute more to the economy,Which type of companies in the U.S. do you think...?,Charge lower prices,28,28,30,24
24,5,5A,Contributions from Companies — Contribute more to the economy,Which type of companies in the U.S. do you think...?,Make higher quality products,29,35,27,24
25,5,5A,Contributions from Companies — Contribute more to the economy,Which type of companies in the U.S. do you think...?,Treat employees better,16,12,22,14
26,5,5A,Contributions from Companies — Contribute more to the economy,Which type of companies in the U.S. do you think...?,Behave more ethically,100,100,100,99
27,6,5B,Contributions from Companies — Charge lower prices,How much competition would you say there is between companies within the following industries in the U.S.?,Airlines,44,49,36,48
28,6,5B,Contributions from Companies — Charge lower prices,How much competition would you say there is between companies within the following industries in the U.S.?,Consumer electronics,19,20,18,19
29,6,5B,Contributions from Companies — Charge lower prices,How much competition would you say there is between companies within the following industries in the U.S.?,News media,17,16,21,14
30,6,5B,Contributions from Companies — Charge lower prices,How much competition would you say there is between companies within the following industries in the U.S.?,Oil and gas,20,15,26,19
