,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Pornography,11,11,12,16
1,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Artificial intelligence (AI),100,100,100,99
2,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Firearms,44,46,30,56
3,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Cryptocurrency,12,13,10,12
4,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Pharmaceutical,15,11,26,7
5,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Gambling,9,8,9,9
6,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Health care,9,6,12,10
7,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Social media,11,16,13,6
8,1,1A,Industry Regulation — Pornography,"Overall, do you think the following industry should...?",Health insurance,100,100,100,100
9,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Tariffs on foreign imports,14,9,18,14
10,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Taxes on the middle class,100,101,100,101
11,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Government spending,50,55,52,44
12,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Government regulation,21,21,20,23
13,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Worker protections,8,6,12,5
14,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",The minimum wage,3,3,2,6
15,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Taxes on corporations,4,3,3,5
16,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Taxes on the wealthy,14,11,13,18
17,2,1B,Industry Regulation — Artificial intelligence (AI),"As far as you know, does Donald Trump want to increase, decrease, or not change...?",Totals,100,99,102,101
18,3,1C,Industry Regulation — Firearms,"As far as you know, do most Democratic politicians want to increase, decrease, or not change...?",The minimum wage,6,6,6,6
