,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Ever Seen Pronoun Display,"Have you come across someone saying or displaying their pronouns, e.g. saying they go by “she/her” on their social media description?",Yes I have,49,56,46,45
1,1,1,Ever Seen Pronoun Display,"Have you come across someone saying or displaying their pronouns, e.g. saying they go by “she/her” on their social media description?",No I have not,35,30,34,41
2,1,1,Ever Seen Pronoun Display,"Have you come across someone saying or displaying their pronouns, e.g. saying they go by “she/her” on their social media description?",Don’t know Can’t recall,17,14,20,14
3,1,1,Ever Seen Pronoun Display,"Have you come across someone saying or displaying their pronouns, e.g. saying they go by “she/her” on their social media description?",Totals,101,100,100,100
4,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",pronouns unless asked,23,28,18,19
5,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",Don’t know,22,22,22,14
6,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",Totals,101,100,101,100
7,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",their pronouns,13,16,10,15
8,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",their pronouns,43,56,40,29
9,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",pronouns unless asked,23,10,23,40
10,2,2,View of Pronouns,"Many people use pronouns like “he/him” or “she/her”. Some people use non-gendered pronouns such as ""they/them"" or ""ze/zir"" or other terms. Thinking",Don’t know,22,18,27,17
11,3,3A,Leaving Space for Pronouns — Personal social media proﬁles,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",Good idea,30,48,24,18
12,3,3A,Leaving Space for Pronouns — Personal social media proﬁles,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",idea,37,36,40,35
13,3,3A,Leaving Space for Pronouns — Personal social media proﬁles,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",Bad idea,19,7,18,37
14,3,3A,Leaving Space for Pronouns — Personal social media proﬁles,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",Don’t know,14,10,18,10
15,3,3A,Leaving Space for Pronouns — Personal social media proﬁles,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",Totals,100,101,100,100
16,4,3B,Leaving Space for Pronouns — Workers’ name-badges,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",Good idea,25,36,22,17
17,4,3B,Leaving Space for Pronouns — Workers’ name-badges,"Do you think it is a good idea or bad idea for the following to have space so that people can show their chosen pronouns, should they want to?",idea,31,36,30,26
