,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Very happy,15,24,12,10
1,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Somewhat happy,25,25,23,27
2,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Neither happy nor sad,19,17,20,21
3,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Somewhat sad,22,19,21,26
4,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Very sad,14,9,18,13
5,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",I didn’t attend school,2,2,3,2
6,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Not sure,3,3,4,1
7,1,1,Memory of Back to School,"When you were a child and summer ended, how did you usually feel about going back to school in the fall?",Totals,100,99,101,100
8,2,2,Parent K-12 School Age,Are you the parent or guardian of one or more children in grades K-12?,Yes,23,24,26,19
9,2,2,Parent K-12 School Age,Are you the parent or guardian of one or more children in grades K-12?,No,77,76,74,81
10,2,2,Parent K-12 School Age,Are you the parent or guardian of one or more children in grades K-12?,Totals,100,100,100,100
11,3,3,Parent Feelings Back to School,"As a parent, how do you usually feel when summer ends and your children return to school in the fall?",Totals,102,101,100,100
12,3,3,Parent Feelings Back to School,"As a parent, how do you usually feel when summer ends and your children return to school in the fall?",Very happy,24,19,29,17
13,3,3,Parent Feelings Back to School,"As a parent, how do you usually feel when summer ends and your children return to school in the fall?",Somewhat happy,23,27,16,31
14,3,3,Parent Feelings Back to School,"As a parent, how do you usually feel when summer ends and your children return to school in the fall?",Neither happy nor sad,26,24,27,25
15,3,3,Parent Feelings Back to School,"As a parent, how do you usually feel when summer ends and your children return to school in the fall?",Somewhat sad,14,19,13,10
