,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",Other,3,3,4,4
1,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",Don’t know,2,3,2,6
2,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",Prefer not to say,2,2,2,6
3,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",Totals,99,100,100,99
4,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",Mobile home,10,11,9,11
5,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",house,53,48,52,59
6,1,1,House type lived in,"Which, if any, of the following types of home best describes where you currently live?",house townhouse,7,10,7,4
7,2,2,House Tenure,Do you own or rent the home in which you live?,rent to them,6,8,5,13
8,2,2,House Tenure,Do you own or rent the home in which you live?,or friends,8,10,6,20
9,2,2,House Tenure,Do you own or rent the home in which you live?,Other,3,2,3,5
10,2,2,House Tenure,Do you own or rent the home in which you live?,Prefer not to say,3,3,3,7
11,2,2,House Tenure,Do you own or rent the home in which you live?,Totals,100,99,100,99
12,2,2,House Tenure,Do you own or rent the home in which you live?,loan mortgage,29,26,29,31
13,3,3,Ever Owned a Home,Have you ever owned a home?,Yes,32,34,24,46
14,3,3,Ever Owned a Home,Have you ever owned a home?,No,68,66,76,54
15,3,3,Ever Owned a Home,Have you ever owned a home?,Totals,100,100,100,100
16,4,5,Length of Time Living in Home,How long have you lived at your present address?,Totals,99,100,101,102
17,4,5,Length of Time Living in Home,How long have you lived at your present address?,Less than month,2,2,1,4
18,4,5,Length of Time Living in Home,How long have you lived at your present address?,to months,5,7,5,4
19,4,5,Length of Time Living in Home,How long have you lived at your present address?,to months,6,7,4,8
20,4,5,Length of Time Living in Home,How long have you lived at your present address?,to years,16,12,21,15
21,4,5,Length of Time Living in Home,How long have you lived at your present address?,to years,12,14,9,14
22,4,5,Length of Time Living in Home,How long have you lived at your present address?,to years,13,11,14,11
23,4,5,Length of Time Living in Home,How long have you lived at your present address?,or more years,42,46,39,43
24,4,5,Length of Time Living in Home,How long have you lived at your present address?,Not sure,3,1,7,1
25,4,5,Length of Time Living in Home,How long have you lived at your present address?,Totals,99,100,100,100
26,5,7,"Prefer Urban, Suburban, or Rural","If you had to choose a place to live, would you rather it be in an urban, suburban, or rural area?",Urban area,24,34,21,16
27,5,7,"Prefer Urban, Suburban, or Rural","If you had to choose a place to live, would you rather it be in an urban, suburban, or rural area?",Suburban area,41,40,39,45
28,5,7,"Prefer Urban, Suburban, or Rural","If you had to choose a place to live, would you rather it be in an urban, suburban, or rural area?",Rural area,29,22,30,37
29,5,7,"Prefer Urban, Suburban, or Rural","If you had to choose a place to live, would you rather it be in an urban, suburban, or rural area?",Not sure,6,4,10,2
30,5,7,"Prefer Urban, Suburban, or Rural","If you had to choose a place to live, would you rather it be in an urban, suburban, or rural area?",Totals,100,100,100,100
31,6,8,Largest Monthly Expense,What is your largest single monthly expense?,loans,9,11,8,5
32,6,8,Largest Monthly Expense,What is your largest single monthly expense?,payments,2,3,1,2
