,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,Yes,63,69,60,60
1,1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,No,37,31,40,40
2,1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,Totals,100,100,100,100
3,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,0,2,3,1,1
4,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,1,5,5,1,7
5,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,2,5,6,3,3
6,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,3,17,19,12,18
7,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,4,72,66,81,70
8,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,5,1,1,1,0
9,2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,6,102,100,99,99
10,3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,All of them,49,52,48,46
11,3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,Most of them,26,33,21,26
12,3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,About half of them,26,32,24,23
13,3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,Some of them,37,31,40,40
14,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Physical books,3,2,4,3
15,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Digital books,79,79,77,80
16,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Audiobooks,25,27,22,27
17,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Didn’t read or listen to any books,33,34,33,33
18,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,through a subscription,6,7,5,8
19,4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Other,3,3,3,2
20,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you own,10,11,9,18
21,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed from someone you know,61,56,67,63
22,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed through a library,10,13,8,7
23,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed through a subscription,30,31,32,27
24,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,Other,30,28,26,36
25,5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,Other,10,12,10,7
26,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you own,9,11,6,10
27,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed from someone you know,51,52,51,51
28,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed through a library,12,15,9,11
29,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed through a subscription,26,27,25,25
30,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,Other,30,33,26,32
31,6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,Other,9,6,9,12
32,7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you own,53,57,50,52
33,7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you borrowed from someone you know,44,38,46,46
34,7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you borrowed through a library,4,4,4,2
35,7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you borrowed through a subscription,101,99,100,100
36,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Mystery and crime,1,2,0,2
37,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,History,11,13,8,12
38,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Thrillers,27,31,25,25
39,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Romance,44,37,50,46
40,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Science fiction,15,15,16,13
41,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Historical fiction,2,2,2,1
42,8,10A,Library Use — Checking out physical books,Which of the following types of books have you read or listened to in 2024? Select all that apply.,Biographies and memoirs,100,100,101,99
43,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Yes,1,2,1,1
44,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,No,8,12,4,7
45,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Not sure,13,16,10,15
46,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Rarely,24,25,27,18
47,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Never,52,43,57,58
48,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Not sure,2,3,1,1
49,9,10B,Library Use — Checking out electronic books,Do you have a library card from a local public library?,Totals,100,101,100,100
50,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,books,2,2,0,2
51,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,books,7,11,3,7
52,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,Checking out audiobooks,10,12,8,11
53,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,Rarely,22,24,21,20
54,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,Never,58,50,65,58
55,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,Not sure,2,2,2,2
56,10,10C,Library Use — Checking out audiobooks,How much do you use the following services from a local public library?,Totals,101,101,99,100
57,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,time,3,4,2,4
58,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,other technology,11,15,8,11
59,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,children,17,19,19,13
60,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,adults,33,32,38,27
61,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,Never,35,29,32,43
62,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,Not sure,1,0,1,1
63,11,11A,Library Use (1) — A physical space to spend time,How much do you use the following services from a local public library?,Totals,100,99,100,99
64,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,None,4,4,2,5
65,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,1 - 4,8,10,7,8
66,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,5 - 9,12,15,12,10
67,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,10 - 24,31,29,37,26
68,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,26 - 49,44,41,40,50
69,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,50 - 99,1,2,2,0
70,12,11B,Library Use (1) — Accessing computers or other technology,About how many physical books do you own?,100 - 199,100,101,100,99
71,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,None,1,2,0,2
72,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,1 - 4,4,6,2,5
73,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,5 - 9,9,12,9,7
74,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,10 - 24,21,17,22,24
75,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,26 - 49,62,61,65,60
76,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,50 - 99,2,2,3,2
77,13,11C,Library Use (1) — Programs and events for children,About how many electronic books do you own?,100 - 199,99,100,101,100
78,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,None,2,2,0,3
79,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,1 - 4,4,6,1,5
80,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,5 - 9,12,16,10,10
81,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,10 - 24,32,32,37,27
82,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,26 - 49,48,40,49,54
83,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,50 - 99,2,3,2,1
84,14,11D,Library Use (1) — Programs and events for adults,About how many audiobooks do you own?,100 - 199,100,99,99,100
85,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,None,2,2,1,0
86,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,1 - 4,5,4,5,5
87,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,5 - 9,100,100,100,99
88,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,10 - 24,7,6,10,6
89,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,26 - 49,14,14,13,15
90,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,50 - 99,12,13,11,13
91,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,100 - 199,18,19,16,19
92,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,200 - 499,12,11,13,12
93,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,500 - 999,11,11,9,12
94,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,"1,000 or more",10,10,10,9
95,15,12,Physical Books Owned,About how many physical books were in your home when you were growing up?,Not sure,7,6,8,6
96,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",None,1,1,1,1
97,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",1 - 9,4,4,5,7
98,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",10 - 49,100,100,101,100
99,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",50 - 99,51,43,53,56
100,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",100 - 999,13,13,13,13
101,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?","1,000 or more",7,10,7,6
102,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",Not sure,9,13,7,7
103,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",-,5,6,5,5
104,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",-,4,4,4,3
105,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",-,3,3,3,3
106,16,13,Electronic Books Owned,"How many physical books, on average, do you think the people you know own?",-,2,2,2,2
107,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",None,0,0,0,0
108,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",1 - 9,4,3,5,7
109,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",10 - 49,100,100,101,99
110,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",50 - 99,64,56,68,68
111,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",100 - 999,14,17,13,12
112,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?","1,000 or more",7,9,5,6
113,17,14,Audio Books Owned,"How many physical books, on average, do you think American adults own?",Not sure,5,7,4,5
