,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Very favorable,25,36,25,10
1,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Somewhat favorable,33,41,27,32
2,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Somewhat unfavorable,14,4,16,24
3,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Very unfavorable,12,4,10,23
4,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Don’t know,17,15,21,12
5,1,1,Favorability of Unions,Do you have a favorable or an unfavorable opinion of labor unions?,Totals,101,100,99,101
6,2,2,Union Household,Are you or is someone in your household a member of a labor union?,"Yes, I am",7,11,5,6
7,2,2,Union Household,Are you or is someone in your household a member of a labor union?,"Yes, household member is",8,7,8,8
8,2,2,Union Household,Are you or is someone in your household a member of a labor union?,No,86,83,87,87
9,3,3,Influence of Unions Now Versus 10 Years Ago,Consider the amount of influence labor unions hold in this country. How would you say this influence level has,Unions have more influence,25,23,24,29
10,3,3,Influence of Unions Now Versus 10 Years Ago,Consider the amount of influence labor unions hold in this country. How would you say this influence level has,Not much change,22,24,18,25
11,3,3,Influence of Unions Now Versus 10 Years Ago,Consider the amount of influence labor unions hold in this country. How would you say this influence level has,Unions have less influence,28,30,27,26
12,3,3,Influence of Unions Now Versus 10 Years Ago,Consider the amount of influence labor unions hold in this country. How would you say this influence level has,Not sure,25,23,31,20
13,3,3,Influence of Unions Now Versus 10 Years Ago,Consider the amount of influence labor unions hold in this country. How would you say this influence level has,Totals,100,100,100,100
14,4,4,Strength of Labor Unions in the Future,Do you see changes in the level of influence of labor unions in the future?,Yes and I think the level of influence wielded by labor unions will go up,100,100,99,100
15,4,4,Strength of Labor Unions in the Future,Do you see changes in the level of influence of labor unions in the future?,"Yes and I think this change will be a loss of influence held by labor unions, not a gain",31,47,26,20
16,4,4,Strength of Labor Unions in the Future,Do you see changes in the level of influence of labor unions in the future?,"No, I see it staying constant",21,12,20,32
17,4,4,Strength of Labor Unions in the Future,Do you see changes in the level of influence of labor unions in the future?,Not sure,18,15,17,22
18,4,4,Strength of Labor Unions in the Future,Do you see changes in the level of influence of labor unions in the future?,Not sure,30,26,37,26
19,5,5,Desired Influence of Unions,Do you want the amount of influence labor unions hold in this country to increase or decrease?,Increase,37,58,33,19
20,5,5,Desired Influence of Unions,Do you want the amount of influence labor unions hold in this country to increase or decrease?,No change,17,17,16,19
21,5,5,Desired Influence of Unions,Do you want the amount of influence labor unions hold in this country to increase or decrease?,Decrease,23,6,21,44
22,5,5,Desired Influence of Unions,Do you want the amount of influence labor unions hold in this country to increase or decrease?,Not sure,23,19,30,18
23,5,5,Desired Influence of Unions,Do you want the amount of influence labor unions hold in this country to increase or decrease?,Totals,100,100,100,100
24,6,6,Union Membership Declining Good or Bad,The rate of union membership in the U.S. has been declining for the past few decades. Do you think this has,Good,23,11,22,39
25,6,6,Union Membership Declining Good or Bad,The rate of union membership in the U.S. has been declining for the past few decades. Do you think this has,Bad,34,50,33,19
26,6,6,Union Membership Declining Good or Bad,The rate of union membership in the U.S. has been declining for the past few decades. Do you think this has,Neither good nor bad,23,18,25,27
27,6,6,Union Membership Declining Good or Bad,The rate of union membership in the U.S. has been declining for the past few decades. Do you think this has,Not sure,19,21,20,16
28,6,6,Union Membership Declining Good or Bad,The rate of union membership in the U.S. has been declining for the past few decades. Do you think this has,Totals,99,100,100,101
