qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,Their decision-making abilities,89,91,81,96
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,Their leadership skills,8,7,11,3
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,Their vision for the country’s future,1,0,3,0
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,Their mental health,0,1,0,0
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,pressure,2,1,4,0
1,1A,Importance of Presidential Qualities — Their decision-making abilities,How important to you is this trait in a U.S. president?,Their integrity,100,100,99,99
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",A man,86,91,75,93
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",A woman,11,7,17,7
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",No preference,2,1,4,0
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",Not at all important,0,1,0,0
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",Not sure,2,1,4,0
2,1B,Importance of Presidential Qualities — Their leadership skills,"In general, would you prefer a president who is...?",Totals,101,101,100,100
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",Married,86,88,80,93
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",Not married,10,9,15,7
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",No preference,1,1,2,0
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",Not at all important,1,1,1,0
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",Not sure,2,1,3,0
3,1C,Importance of Presidential Qualities — Their vision for the country’s future,"In general, would you prefer a president who is...?",Totals,100,100,101,100
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",A parent,85,87,80,88
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",Not a parent,11,9,14,11
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",No preference,1,2,1,0
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",Not at all important,1,0,1,0
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",Not sure,2,1,4,0
4,1D,Importance of Presidential Qualities — Their mental health,"In general, would you prefer a president who is...?",Totals,100,99,100,99
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",A pet owner,82,88,77,85
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",Not a pet owner,13,10,15,14
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",No preference,2,1,2,1
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",Not at all important,0,0,1,0
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",Not sure,2,1,5,0
5,1E,Importance of Presidential Qualities — Their ability to stay calm under pressure,"In general, would you prefer a president who is...?",Totals,99,100,100,100
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",Northeast,82,89,76,82
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",Midwest,14,8,17,16
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",South,1,0,3,1
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",West,1,1,2,0
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",No preference,2,1,3,1
6,1F,Importance of Presidential Qualities — Their integrity,"In general, would you prefer a president who is from the...?",Totals,100,99,101,100
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",35-49,85,91,79,88
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",50-64,12,8,16,11
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",65-75,1,0,2,0
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",Older than 75,0,0,1,0
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",No preference,1,0,2,0
7,1G,Importance of Presidential Qualities — Their honesty,"In general, would you prefer a president who is...?",Totals,99,99,100,99
8,1H,Importance of Presidential Qualities — Their intelligence,"In general, would you prefer a president who has...?",Never held elected office,83,87,75,88
8,1H,Importance of Presidential Qualities — Their intelligence,"In general, would you prefer a president who has...?",Held elected office for a few years,14,11,18,11
8,1H,Importance of Presidential Qualities — Their intelligence,"In general, would you prefer a president who has...?",Held elected office for many years,1,1,2,1
