,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Very positive,7,8,4,9
1,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Somewhat positive,22,23,19,25
2,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Neither positive nor negative,18,16,23,14
3,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Somewhat negative,24,25,25,23
4,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Very negative,24,22,24,26
5,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Not sure,5,5,6,3
6,1,1,Effect of AI on Society,Do you think that the effects of artificial intelligence (AI) on society will be...?,Totals,100,99,101,100
7,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Much more regulated,40,45,40,36
8,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Somewhat more regulated,34,38,26,40
9,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Have no change in regulation,10,8,12,10
10,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Somewhat less regulated,4,2,5,5
11,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Much less regulated,2,2,2,1
12,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Not sure,10,5,14,10
13,2,2,Regulation of AI,"Overall, do you think that artificial intelligence (AI) should be...?",Totals,100,100,99,102
14,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Strongly approve,5,5,3,6
15,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Somewhat approve,19,15,18,23
16,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Somewhat disapprove,30,29,30,31
17,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Strongly disapprove,32,37,32,27
18,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Not sure,15,15,18,12
19,3,3,AI Video,Do you approve or disapprove of online videos created with artificial intelligence (AI) tools?,Totals,101,101,101,99
20,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",audio deep fakes,73,75,74,70
21,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",The spread of political propaganda,17,17,16,18
22,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",Manipulation of human behavior,3,3,2,4
23,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",decision-making,2,1,2,4
24,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",drive,4,3,6,4
25,4,4A,Concerns of AI Possible Results — The spread of misleading video and audio deep fakes,"How concerned are you, if at all, about the possibility of artificial intelligence (AI) resulting in the following?",problems,99,99,100,100
26,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,Yes,64,71,61,62
27,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,No,21,18,23,22
28,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,Not sure,6,5,6,7
29,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,Not concerned at all,3,2,3,4
30,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,Not sure,6,4,7,5
31,5,4B,Concerns of AI Possible Results — The spread of political propaganda,Do you currently follow Donald Trump on any social media platforms?,Totals,100,100,100,100
32,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Often,61,62,62,57
33,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Sometimes,24,27,21,23
34,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Rarely,8,5,9,11
35,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Never,2,2,2,3
36,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Not sure,5,3,6,5
37,6,4C,Concerns of AI Possible Results — Manipulation of human behavior,How often do you see content posted on social media by Donald Trump?,Totals,100,99,100,99
38,7,4D,Concerns of AI Possible Results — A decline of human oversight in decision-making,Do you consider Donald Trump’s posts on social media to be...?,Always appropriate,58,64,56,56
39,7,4D,Concerns of AI Possible Results — A decline of human oversight in decision-making,Do you consider Donald Trump’s posts on social media to be...?,Usually appropriate,27,25,26,29
40,7,4D,Concerns of AI Possible Results — A decline of human oversight in decision-making,Do you consider Donald Trump’s posts on social media to be...?,Usually inappropriate,7,4,9,8
