,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Kamala Harris,25,62,13,2
1,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Joe Biden,18,26,25,2
2,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,JD Vance,8,4,12,8
3,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Sarah Palin,41,6,34,86
4,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Mike Pence,7,3,15,2
5,1,1A,Favorability of Vice Presidents and Vice Presidential Candidates — Kamala Harris,Do you have a favorable or an unfavorable opinion of the following people?,Joe Lieberman,99,101,99,100
6,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,19,42,12,3
7,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,19,35,20,2
8,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,12,11,15,10
9,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Very unfavorable,44,9,40,83
10,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,6,2,13,2
11,2,1B,Favorability of Vice Presidents and Vice Presidential Candidates — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,99,100,100
12,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,16,1,8,39
13,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,18,7,12,35
14,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,6,7,7,4
15,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Very unfavorable,37,70,36,6
16,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,23,14,36,15
17,3,1C,Favorability of Vice Presidents and Vice Presidential Candidates — JD Vance,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,99,99,99
18,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,8,4,3,18
19,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,21,8,15,43
20,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,17,17,17,15
21,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Very unfavorable,33,55,34,10
22,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,21,16,32,13
23,4,1D,Favorability of Vice Presidents and Vice Presidential Candidates — Sarah Palin,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,100,101,99
24,5,1E,Favorability of Vice Presidents and Vice Presidential Candidates — Mike Pence,Do you have a favorable or an unfavorable opinion of the following people?,Very favorable,6,2,7,11
25,5,1E,Favorability of Vice Presidents and Vice Presidential Candidates — Mike Pence,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat favorable,22,18,16,32
26,5,1E,Favorability of Vice Presidents and Vice Presidential Candidates — Mike Pence,Do you have a favorable or an unfavorable opinion of the following people?,Somewhat unfavorable,24,29,21,23
