,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Tax Exemption Status — Veterans’ organizations,Do you think the following should or should not be exempt from paying taxes?,Veterans’ organizations,71,70,67,77
1,1,1A,Tax Exemption Status — Veterans’ organizations,Do you think the following should or should not be exempt from paying taxes?,Charitable nonprofit organizations,15,15,16,14
2,1,1A,Tax Exemption Status — Veterans’ organizations,Do you think the following should or should not be exempt from paying taxes?,Public K-12 schools,14,15,17,9
3,1,1A,Tax Exemption Status — Veterans’ organizations,Do you think the following should or should not be exempt from paying taxes?,Public universities and colleges,100,100,100,100
4,2,1B,Tax Exemption Status — Charitable nonprofit organizations,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,67,70,64,68
5,2,1B,Tax Exemption Status — Charitable nonprofit organizations,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,18,15,19,20
6,2,1B,Tax Exemption Status — Charitable nonprofit organizations,Do you think the following should or should not be exempt from paying taxes?,Not sure,15,15,17,12
7,2,1B,Tax Exemption Status — Charitable nonprofit organizations,Do you think the following should or should not be exempt from paying taxes?,Totals,100,100,100,100
8,3,1C,Tax Exemption Status — Public K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,60,68,60,53
9,3,1C,Tax Exemption Status — Public K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,25,18,24,33
10,3,1C,Tax Exemption Status — Public K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Not sure,15,14,17,14
11,3,1C,Tax Exemption Status — Public K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Totals,100,100,101,100
12,4,1D,Tax Exemption Status — Public universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,43,55,44,30
13,4,1D,Tax Exemption Status — Public universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,39,29,36,52
14,4,1D,Tax Exemption Status — Public universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Not sure,18,15,20,17
15,4,1D,Tax Exemption Status — Public universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Totals,100,99,100,99
16,5,1E,Tax Exemption Status — Religious organizations,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,41,33,33,57
17,5,1E,Tax Exemption Status — Religious organizations,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,44,52,47,32
18,5,1E,Tax Exemption Status — Religious organizations,Do you think the following should or should not be exempt from paying taxes?,Not sure,15,15,20,11
19,5,1E,Tax Exemption Status — Religious organizations,Do you think the following should or should not be exempt from paying taxes?,Totals,100,100,100,100
20,6,1F,Tax Exemption Status — Environmental organizations,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,38,52,39,24
21,6,1F,Tax Exemption Status — Environmental organizations,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,40,26,36,59
22,6,1F,Tax Exemption Status — Environmental organizations,Do you think the following should or should not be exempt from paying taxes?,Not sure,21,21,25,17
23,6,1F,Tax Exemption Status — Environmental organizations,Do you think the following should or should not be exempt from paying taxes?,Totals,99,99,100,100
24,7,1G,Tax Exemption Status — Private K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,31,32,24,37
25,7,1G,Tax Exemption Status — Private K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,51,54,54,46
26,7,1G,Tax Exemption Status — Private K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Not sure,18,13,22,17
27,7,1G,Tax Exemption Status — Private K-12 schools,Do you think the following should or should not be exempt from paying taxes?,Totals,100,99,100,100
28,8,1H,Tax Exemption Status — Labor unions,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,24,34,25,14
29,8,1H,Tax Exemption Status — Labor unions,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,54,41,51,70
30,8,1H,Tax Exemption Status — Labor unions,Do you think the following should or should not be exempt from paying taxes?,Not sure,22,25,24,16
31,8,1H,Tax Exemption Status — Labor unions,Do you think the following should or should not be exempt from paying taxes?,Totals,100,100,100,100
32,9,1I,Tax Exemption Status — Private universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,22,30,19,19
33,9,1I,Tax Exemption Status — Private universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,61,55,61,68
34,9,1I,Tax Exemption Status — Private universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Not sure,16,15,19,14
35,9,1I,Tax Exemption Status — Private universities and colleges,Do you think the following should or should not be exempt from paying taxes?,Totals,99,100,99,101
36,10,1J,Tax Exemption Status — Political organizations,Do you think the following should or should not be exempt from paying taxes?,Should be tax exempt,11,16,8,10
37,10,1J,Tax Exemption Status — Political organizations,Do you think the following should or should not be exempt from paying taxes?,Should not be tax exempt,73,67,74,79
38,10,1J,Tax Exemption Status — Political organizations,Do you think the following should or should not be exempt from paying taxes?,Not sure,16,18,18,11
39,10,1J,Tax Exemption Status — Political organizations,Do you think the following should or should not be exempt from paying taxes?,Totals,100,101,100,100
