qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Own or Lease Car,Do you own or lease a car?,Yes,74,72.0,69.0,84.0
1,1,Own or Lease Car,Do you own or lease a car?,No,26,28.0,31.0,16.0
1,1,Own or Lease Car,Do you own or lease a car?,Totals,100,100.0,100.0,100.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Walking,1,2.0,0.0,1.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding a bicycle or scooter,2,4.0,1.0,3.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Driving yourself in your car or other vehicle,3,4.0,2.0,4.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding as a passenger in a car,56,64.0,51.0,53.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding on a bus,12,15.0,11.0,11.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding on a train,70,65.0,67.0,77.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding on a ferry or boat,50,50.0,46.0,53.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,Riding on an airplane,17,28.0,14.0,8.0
2,2,Use Transportation at Least Monthly,Which of the following methods of transportation do you use at least once a month? Select all that apply.,None of the above,9,17.0,4.0,7.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Walking,0,0.0,0.0,0.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding a bicycle or scooter,0,0.0,0.0,0.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Driving yourself in your car or other vehicle,4,5.0,4.0,4.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding as a passenger in a car,44,53.0,38.0,40.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding on a bus,7,9.0,6.0,7.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding on a train,65,60.0,62.0,73.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding on a ferry or boat,35,36.0,30.0,40.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,Riding on an airplane,11,21.0,9.0,5.0
3,3,Use Transportation at Least Weekly,Which of the following methods of transportation do you use at least once a week? Select all that apply.,None of the above,6,9.0,3.0,6.0
4,4A,Enjoyment of Transportation Methods — Walking,"Compared to other ways you spend your time, would you describe the time you spend in the following method",Walking,50,50.0,41.0,57.0
4,4A,Enjoyment of Transportation Methods — Walking,"Compared to other ways you spend your time, would you describe the time you spend in the following method",Riding a bicycle or scooter,44,43.0,50.0,37.0
4,4A,Enjoyment of Transportation Methods — Walking,"Compared to other ways you spend your time, would you describe the time you spend in the following method",Driving yourself in your car or other vehicle,6,6.0,7.0,4.0
4,4A,Enjoyment of Transportation Methods — Walking,"Compared to other ways you spend your time, would you describe the time you spend in the following method",Riding as a passenger in a car,1,0.0,2.0,1.0
4,4A,Enjoyment of Transportation Methods — Walking,"Compared to other ways you spend your time, would you describe the time you spend in the following method",Riding on a bus,101,99.0,100.0,99.0
5,4B,Enjoyment of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the safety of the following where you",Walking,63,,,
5,4B,Enjoyment of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the safety of the following where you",Riding a bicycle or scooter,30,,,
5,4B,Enjoyment of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the safety of the following where you",Driving a car,6,,,
5,4B,Enjoyment of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the safety of the following where you",Riding on a bus,1,,,
5,4B,Enjoyment of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the safety of the following where you",Riding on a train,100,,,
6,4C,Enjoyment of Transportation Methods — Driving yourself in your car or other vehicle,"Comparedtoothermethodsoftransportation, howwouldyoudescribetheenvironmentalimpactofthefollow-",Walking,46,47.0,42.0,48.0
6,4C,Enjoyment of Transportation Methods — Driving yourself in your car or other vehicle,"Comparedtoothermethodsoftransportation, howwouldyoudescribetheenvironmentalimpactofthefollow-",Riding a bicycle or scooter,43,40.0,42.0,47.0
6,4C,Enjoyment of Transportation Methods — Driving yourself in your car or other vehicle,"Comparedtoothermethodsoftransportation, howwouldyoudescribetheenvironmentalimpactofthefollow-",Driving a car,9,10.0,13.0,4.0
6,4C,Enjoyment of Transportation Methods — Driving yourself in your car or other vehicle,"Comparedtoothermethodsoftransportation, howwouldyoudescribetheenvironmentalimpactofthefollow-",Riding on a bus,2,3.0,3.0,1.0
6,4C,Enjoyment of Transportation Methods — Driving yourself in your car or other vehicle,"Comparedtoothermethodsoftransportation, howwouldyoudescribetheenvironmentalimpactofthefollow-",Riding on a train,100,100.0,100.0,100.0
7,4D,Enjoyment of Transportation Methods — Riding as a passenger in a car,"Comparedto other methods of transportation, how would you describe the financial costof regularly using the",Walking,35,41.0,24.0,41.0
7,4D,Enjoyment of Transportation Methods — Riding as a passenger in a car,"Comparedto other methods of transportation, how would you describe the financial costof regularly using the",Riding a bicycle or scooter,52,48.0,57.0,52.0
7,4D,Enjoyment of Transportation Methods — Riding as a passenger in a car,"Comparedto other methods of transportation, how would you describe the financial costof regularly using the",Driving a car,11,8.0,18.0,7.0
7,4D,Enjoyment of Transportation Methods — Riding as a passenger in a car,"Comparedto other methods of transportation, how would you describe the financial costof regularly using the",Riding on a bus,2,3.0,1.0,0.0
7,4D,Enjoyment of Transportation Methods — Riding as a passenger in a car,"Comparedto other methods of transportation, how would you describe the financial costof regularly using the",Riding on a train,100,100.0,100.0,100.0
8,4E,Enjoyment of Transportation Methods — Riding on a bus,Whichofthefollowingdoyouregularlydowhileusingthefollowingmethodoftransportationtogosomewhere?,Eat,13,,,
8,4E,Enjoyment of Transportation Methods — Riding on a bus,Whichofthefollowingdoyouregularlydowhileusingthefollowingmethodoftransportationtogosomewhere?,Listen to music,64,,,
8,4E,Enjoyment of Transportation Methods — Riding on a bus,Whichofthefollowingdoyouregularlydowhileusingthefollowingmethodoftransportationtogosomewhere?,"Listen to talk radio, podcasts, or audiobooks",20,,,
8,4E,Enjoyment of Transportation Methods — Riding on a bus,Whichofthefollowingdoyouregularlydowhileusingthefollowingmethodoftransportationtogosomewhere?,Look at a map or GPS,3,,,
8,4E,Enjoyment of Transportation Methods — Riding on a bus,Whichofthefollowingdoyouregularlydowhileusingthefollowingmethodoftransportationtogosomewhere?,Look at apps or websites,100,,,
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Eat,39,44.0,33.0,40.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Listen to music,38,37.0,39.0,37.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,"Listen to talk radio, podcasts, or audiobooks",14,12.0,17.0,14.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Look at a map or GPS,2,1.0,3.0,2.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Look at apps or websites,2,4.0,1.0,1.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Look at your surroundings,5,2.0,7.0,6.0
12,5A,Safety of Transportation Methods — Walking,Which of the following do you regularly do while using the following method of transportation to go some-,Read a book or newspaper,100,100.0,100.0,100.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Applying makeup,16,17.0,14.0,16.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Bringing a bicycle or scooter,35,41.0,35.0,30.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Drinking alcohol,27,23.0,27.0,29.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Eating food with a strong smell,9,9.0,8.0,9.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Playing music without headphones,4,5.0,4.0,5.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Reading over someone’s shoulder,9,5.0,13.0,10.0
13,5B,Safety of Transportation Methods — Riding a bicycle or scooter,Do you personally think it is appropriate or inappropriate for passengers to do the following while riding on,Sleeping,100,100.0,101.0,99.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,Too often,31,31.0,28.0,33.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,About the right amount,43,42.0,43.0,45.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,Not often enough,17,19.0,16.0,18.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,Not sure,2,2.0,3.0,2.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,available where I live,2,3.0,1.0,0.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,Not sure,4,3.0,8.0,2.0
14,5C,Safety of Transportation Methods — Driving a car,Do you think that you personally drive a car...?,Totals,99,100.0,99.0,100.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,Too often,21,26.0,17.0,18.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,About the right amount,36,39.0,34.0,34.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,Not often enough,12,14.0,12.0,11.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,Not sure,3,2.0,3.0,3.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,available where I live,15,10.0,17.0,17.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,Not sure,14,10.0,16.0,16.0
15,5D,Safety of Transportation Methods — Riding on a bus,Do you think that Americans in general drive cars...?,Totals,101,101.0,99.0,99.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Much more often,22,28.0,17.0,22.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Somewhat more often,28,29.0,29.0,27.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",About the same amount,8,10.0,8.0,5.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Somewhat less often,1,1.0,1.0,1.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Much less often,27,24.0,28.0,30.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Not sure,13,8.0,17.0,14.0
16,5E,Safety of Transportation Methods — Riding on a train,"Compared to people in Europe, do you think that Americans generally drive cars...?",Totals,99,100.0,100.0,99.0
17,6A,Environmental Impact of Transportation Methods — Walking,"In your community, is finding a place to park a car...?",Very easy,73,78.0,72.0,70.0
17,6A,Environmental Impact of Transportation Methods — Walking,"In your community, is finding a place to park a car...?",Somewhat easy,16,15.0,14.0,18.0
17,6A,Environmental Impact of Transportation Methods — Walking,"In your community, is finding a place to park a car...?",Somewhat difficult,2,3.0,2.0,3.0
17,6A,Environmental Impact of Transportation Methods — Walking,"In your community, is finding a place to park a car...?",Very difficult,8,4.0,12.0,9.0
17,6A,Environmental Impact of Transportation Methods — Walking,"In your community, is finding a place to park a car...?",Not sure,99,100.0,100.0,100.0
18,6B,Environmental Impact of Transportation Methods — Riding a bicycle or scooter,"In your community, is parking...?",Very expensive,60,63.0,58.0,59.0
18,6B,Environmental Impact of Transportation Methods — Riding a bicycle or scooter,"In your community, is parking...?",Somewhat expensive,21,23.0,18.0,23.0
18,6B,Environmental Impact of Transportation Methods — Riding a bicycle or scooter,"In your community, is parking...?",Somewhat cheap,5,5.0,4.0,6.0
18,6B,Environmental Impact of Transportation Methods — Riding a bicycle or scooter,"In your community, is parking...?",Very cheap,14,10.0,20.0,13.0
18,6B,Environmental Impact of Transportation Methods — Riding a bicycle or scooter,"In your community, is parking...?",Not sure,100,101.0,100.0,101.0
19,6C,Environmental Impact of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,13,13.0,9.0,16.0
19,6C,Environmental Impact of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,46,37.0,45.0,55.0
19,6C,Environmental Impact of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,30,40.0,29.0,19.0
19,6C,Environmental Impact of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Not sure,12,10.0,17.0,10.0
19,6C,Environmental Impact of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Totals,101,100.0,100.0,100.0
20,6D,Environmental Impact of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,28,36.0,25.0,22.0
20,6D,Environmental Impact of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,43,42.0,40.0,47.0
20,6D,Environmental Impact of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,11,10.0,10.0,12.0
20,6D,Environmental Impact of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Not sure,19,12.0,25.0,19.0
20,6D,Environmental Impact of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Totals,101,100.0,100.0,100.0
21,6E,Environmental Impact of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,30,37.0,29.0,24.0
21,6E,Environmental Impact of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,36,34.0,32.0,43.0
21,6E,Environmental Impact of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",environmental impact,9,10.0,8.0,8.0
21,6E,Environmental Impact of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Not sure,25,19.0,31.0,25.0
21,6E,Environmental Impact of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the environmental impact of the following?",Totals,100,100.0,100.0,100.0
22,7A,Cost of Transportation Methods — Walking,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",High cost,2,5.0,1.0,1.0
22,7A,Cost of Transportation Methods — Walking,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Moderate cost,7,9.0,6.0,7.0
22,7A,Cost of Transportation Methods — Walking,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Low cost,84,80.0,84.0,88.0
22,7A,Cost of Transportation Methods — Walking,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Not sure,6,6.0,9.0,5.0
22,7A,Cost of Transportation Methods — Walking,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Totals,99,100.0,100.0,101.0
23,7B,Cost of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",High cost,3,4.0,1.0,5.0
23,7B,Cost of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Moderate cost,17,20.0,17.0,14.0
23,7B,Cost of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Low cost,66,68.0,64.0,68.0
23,7B,Cost of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Not sure,13,8.0,19.0,13.0
23,7B,Cost of Transportation Methods — Riding a bicycle or scooter,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Totals,99,100.0,101.0,100.0
24,7C,Cost of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",High cost,38,43.0,34.0,35.0
24,7C,Cost of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Moderate cost,50,46.0,50.0,53.0
24,7C,Cost of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Low cost,7,6.0,7.0,9.0
24,7C,Cost of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Not sure,6,5.0,9.0,3.0
24,7C,Cost of Transportation Methods — Driving a car,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Totals,101,100.0,100.0,100.0
25,7D,Cost of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",High cost,7,7.0,5.0,10.0
25,7D,Cost of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Moderate cost,40,41.0,37.0,42.0
25,7D,Cost of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Low cost,31,40.0,30.0,24.0
25,7D,Cost of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Not sure,22,12.0,29.0,24.0
25,7D,Cost of Transportation Methods — Riding on a bus,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",Totals,100,100.0,101.0,100.0
26,7E,Cost of Transportation Methods — Riding on a train,"Compared to other methods of transportation, how would you describe the financial cost of regularly using the following where you live?",High cost,16,18.0,12.0,18.0
