qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Personal gun ownership,Do you or does anyone in your household own a gun?,Personally own a gun,24,13,23,37
1,1,Personal gun ownership,Do you or does anyone in your household own a gun?,"Don’t personally own a gun, but someone in the household owns a gun",15,13,16,15
1,1,Personal gun ownership,Do you or does anyone in your household own a gun?,No one in the household owns a gun,57,70,55,44
1,1,Personal gun ownership,Do you or does anyone in your household own a gun?,Not sure,5,4,6,5
1,1,Personal gun ownership,Do you or does anyone in your household own a gun?,Totals,101,100,100,101
2,2,Strict gun laws,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",Make gun laws more strict,54,84,46,30
2,2,Strict gun laws,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",No change,25,10,25,42
2,2,Strict gun laws,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",Make gun laws less strict,14,1,16,25
2,2,Strict gun laws,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",Not sure,7,5,13,3
2,2,Strict gun laws,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",Totals,100,100,100,100
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,"Yes, me",1,2,2,1
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,"Yes, a family member",1,1,1,2
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,"Yes, a friend",3,4,0,3
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,"Yes, an acquaintance",3,3,1,4
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,No,83,84,83,82
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,Not sure,8,7,10,9
3,3,Know Someone in Militia,Do you personally know anyone who is a member of a militia group? Select all that apply.,Prefer not to say,2,1,2,3
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,Right-wing extremism,35,60,30,12
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,Left-wing extremism,19,16,21,19
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,Christian extremism,17,6,19,26
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,Muslim extremism,17,5,15,32
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,White-supremacist extremism,12,12,15,10
4,4A,Concern About Extremism — Right-wing extremism,How concerned are you about the following in the U.S.?,Racial-minority extremism,100,99,100,99
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,There will be a civil war,34,17,30,56
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,democracy,22,22,21,22
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,fascist dictatorship,20,28,21,9
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,communist dictatorship,15,22,16,7
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,global superpower,9,10,12,6
5,4B,Concern About Extremism — Left-wing extremism,How likely do you think it is that the following will occur in the U.S. in the next 10 years?,states,100,99,100,100
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",A good thing,28,47,25,10
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",Neither good nor bad,19,24,21,10
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",A bad thing,18,16,15,23
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",Not sure,27,7,28,47
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",Prefer not to say,9,6,10,10
6,4C,Concern About Extremism — Christian extremism,"If there were a civil war in this country within the next 10 years, do you think that would overall be ...?",Totals,101,100,99,100
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Very similar,28,21,25,37
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Somewhat similar,27,31,21,29
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Somewhat different,23,29,22,19
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Very different,14,14,18,9
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Not sure,8,5,13,6
7,4D,Concern About Extremism — Muslim extremism,"Iftherewereacivilwarinthiscountrywithinthenext10years,howsimilartoordifferentfromthefirstcivilwar",Totals,100,100,99,100
8,4E,Concern About Extremism — White-supremacist extremism,"Ifa largenumber ofcitizens wereto takeup armsagainst the government, howlikely doyou thinkit is thatlaw",Very likely,42,65,37,22
8,4E,Concern About Extremism — White-supremacist extremism,"Ifa largenumber ofcitizens wereto takeup armsagainst the government, howlikely doyou thinkit is thatlaw",Somewhat likely,21,20,22,23
8,4E,Concern About Extremism — White-supremacist extremism,"Ifa largenumber ofcitizens wereto takeup armsagainst the government, howlikely doyou thinkit is thatlaw",Not very likely,13,8,14,19
8,4E,Concern About Extremism — White-supremacist extremism,"Ifa largenumber ofcitizens wereto takeup armsagainst the government, howlikely doyou thinkit is thatlaw",Not likely at all,17,4,19,29
