qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,2,Wine and Health,How often do you drink wine?,Daily,40,34,39,49
1,2,Wine and Health,How often do you drink wine?,A few times a week,23,24,22,22
1,2,Wine and Health,How often do you drink wine?,Once a week,11,14,12,6
1,2,Wine and Health,How often do you drink wine?,Once every couple of weeks,27,28,28,24
1,2,Wine and Health,How often do you drink wine?,Once a month,101,100,101,101
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Is beneficial to a person’s health,31,39,26,28
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Has no effect on a person’s health,41,37,40,46
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Is detrimental to a person’s health,13,12,13,14
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Not sure,3,3,3,5
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Not sure,10,8,15,6
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",I’ve never had it,2,1,3,1
2,3A,Types of Wine — Red wine,"Generally speaking, do you think that drinking wine in moderation...?",Totals,100,100,100,100
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Red wine,20,19,19,24
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,White wine,53,60,47,51
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Sparkling wine,11,9,9,14
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Rosé,3,2,2,3
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Cabernet Sauvignon,8,4,13,7
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Merlot,5,6,9,1
3,3B,Types of Wine — White wine,What do you think of the following types of wine?,Pinot Noir,100,100,99,100
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,Red wine,21,25,18,21
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,White wine,42,39,42,46
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,Neither,15,18,11,16
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,Not sure,5,4,4,6
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,Not sure,10,7,15,8
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,I’ve never had it,7,7,10,4
4,3C,Types of Wine — Sparkling wine,Which of the following do you most prefer?,Totals,100,100,100,101
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$10 or less,19,21,13,21
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$11 - $20,47,49,41,52
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$21 - $30,16,14,17,17
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$31 - $40,3,3,3,2
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$41 - $50,9,6,13,6
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$51 - $60,7,6,12,2
5,3D,Types of Wine — Rosé,About how much do you typically pay for a bottle of wine?,$61 - $80,101,99,99,100
