,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Children in K-12 Schools,Are you the parent or guardian of one or more children in grades K-12?,Yes,18,22,15,17
1,1,1,Children in K-12 Schools,Are you the parent or guardian of one or more children in grades K-12?,No,82,78,85,83
2,1,1,Children in K-12 Schools,Are you the parent or guardian of one or more children in grades K-12?,Totals,100,100,100,100
3,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,The U.S. is a good country with a proud history,99,100,100,99
4,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,The U.S. has both good and bad aspects and a complicated history,22,13,13,41
5,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,The U.S. is a bad country with a shameful history,67,74,72,55
6,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,Not sure,6,9,8,1
7,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,Not sure,4,4,6,2
8,2,2,Views on U.S. History,Which of these is closest to your belief about the U.S. and its history?,Totals,99,100,99,99
9,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Very often,5,6,3,6
10,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Somewhat often,20,30,14,16
11,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Not very often,36,33,36,38
12,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Not at all,19,14,23,20
13,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Not sure,20,16,24,20
14,3,3,How Often Are K-12 Students Taught To Think Critically,How often do you think K-12 students are currently being taught to think critically and understand different,Totals,100,99,100,100
15,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Very often,58,63,61,51
16,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Somewhat often,21,19,17,25
17,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Not very often,5,5,4,7
18,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Not at all,3,4,1,5
19,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Not sure,12,8,16,12
20,4,4,How Often Should K-12 Students Be Taught To Think Critically,How often do you think K-12 students at public schools in the U.S. should be taught to think critically and,Totals,99,99,99,100
21,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Race,32,17,31,47
22,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Gender identity,23,26,21,24
23,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Sexuality,16,22,16,10
24,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Culture,11,17,10,7
25,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Politics,17,18,22,13
26,5,5A,How Often Are K-12 Students Taught What To Believe — Race,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints,Totals,99,100,100,101
27,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,besides heterosexuality,31,16,27,48
28,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,at birth,21,25,19,20
29,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,The U.S. is systematically racist,14,18,14,10
30,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,There is no longer racism in the U.S,18,24,18,11
31,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,Not sure,17,18,21,11
32,6,5B,How Often Are K-12 Students Taught What To Believe — Gender identity,How often do you think K-12 students are being taught in public schools to adopt the viewpoint that... ?,Totals,101,101,99,100
33,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,There are other sexual orientations than heterosexuality,29,17,26,44
34,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,The U.S. is systematically racist,21,20,23,21
35,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,were assigned at birth,16,24,12,12
36,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,There is no longer racism in the U.S,16,22,15,11
37,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,Not sure,18,16,24,13
38,7,5C,How Often Are K-12 Students Taught What To Believe — Sexuality,Do you think K-12 students should be taught in public schools that... ?,Totals,100,99,100,101
39,8,5D,How Often Are K-12 Students Taught What To Believe — Culture,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints about... ?,Very often,28,18,25,41
40,8,5D,How Often Are K-12 Students Taught What To Believe — Culture,How often do you think public schools in the U.S. are pushing K-12 students to adopt certain viewpoints about... ?,Somewhat often,28,28,23,32
