,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Rating of Overall Health,How would you describe your current overall health?,Excellent,9,9,8,10
1,1,1,Rating of Overall Health,How would you describe your current overall health?,Very good,25,27,23,26
2,1,1,Rating of Overall Health,How would you describe your current overall health?,Good,39,40,38,39
3,1,1,Rating of Overall Health,How would you describe your current overall health?,Fair,21,20,24,20
4,1,1,Rating of Overall Health,How would you describe your current overall health?,Poor,5,4,6,5
5,1,1,Rating of Overall Health,How would you describe your current overall health?,Prefer not to say,1,0,1,0
6,1,1,Rating of Overall Health,How would you describe your current overall health?,Totals,100,100,100,100
7,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Doctors and other medical providers,41,56,35,33
8,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Common sense,47,38,47,56
9,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Scientific research institutions,6,4,8,6
10,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Nutritionists and dietitians,3,1,3,4
11,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Friends and family,3,2,6,2
12,2,2A,Trust Sources for Health Information — Doctors and other medical providers,"As sources of health information, would you say the following are...?",Government health agencies,100,101,99,101
13,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,water a day,36,32,33,45
14,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,gain,48,51,48,45
15,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,Sugar makes children hyperactive,7,11,7,4
16,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,Stress causes gray hair,3,2,3,3
17,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,your vision,6,5,9,4
18,3,2B,Trust Sources for Health Information — Common sense,Do you think the following is...?,their menstrual cycles,100,101,100,101
19,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,gain,32,54,26,14
20,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,water a day,42,32,47,48
21,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,Sugar makes children hyperactive,11,6,10,19
22,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,Vitamin C prevents colds,7,3,7,12
23,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,Stress causes gray hair,7,5,9,7
24,4,2C,Trust Sources for Health Information — Scientific research institutions,People who say each is...,vision,99,100,99,100
25,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Very trustworthy,24,32,21,18
26,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Somewhat trustworthy,56,55,53,61
27,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Not very trustworthy,10,9,11,9
28,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Not at all trustworthy,4,2,5,5
29,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Not sure,6,3,10,7
30,5,2D,Trust Sources for Health Information — Nutritionists and dietitians,"As sources of health information, would you say the following are...?",Totals,100,101,100,100
31,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Very trustworthy,19,18,15,24
32,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Somewhat trustworthy,54,54,56,53
33,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Not very trustworthy,17,19,17,13
34,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Not at all trustworthy,4,5,2,5
35,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Not sure,7,5,10,5
36,6,2E,Trust Sources for Health Information — Friends and family,"As sources of health information, would you say the following are...?",Totals,101,101,100,100
37,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Very trustworthy,18,33,14,6
38,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Somewhat trustworthy,40,50,37,32
39,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Not very trustworthy,19,8,22,28
40,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Not at all trustworthy,17,3,19,30
41,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Not sure,6,5,8,5
42,7,2F,Trust Sources for Health Information — Government health agencies,"As sources of health information, would you say the following are...?",Totals,100,99,100,101
43,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Very trustworthy,7,7,5,11
44,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Somewhat trustworthy,25,19,19,36
45,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Not very trustworthy,26,25,29,23
46,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Not at all trustworthy,30,39,33,16
47,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Not sure,12,10,14,13
48,8,2G,Trust Sources for Health Information — Religious organizations,"As sources of health information, would you say the following are...?",Totals,100,100,100,99
49,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Very trustworthy,7,7,5,7
50,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Somewhat trustworthy,40,36,40,44
51,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Not very trustworthy,28,32,26,27
52,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Not at all trustworthy,13,13,13,12
53,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Not sure,12,11,16,10
54,9,2H,Trust Sources for Health Information — Alternative medicine practitioners,"As sources of health information, would you say the following are...?",Totals,100,99,100,100
55,10,2I,Trust Sources for Health Information — Pharmaceutical companies,"As sources of health information, would you say the following are...?",Very trustworthy,7,10,5,5
56,10,2I,Trust Sources for Health Information — Pharmaceutical companies,"As sources of health information, would you say the following are...?",Somewhat trustworthy,34,42,29,31
57,10,2I,Trust Sources for Health Information — Pharmaceutical companies,"As sources of health information, would you say the following are...?",Not very trustworthy,29,27,29,33
58,10,2I,Trust Sources for Health Information — Pharmaceutical companies,"As sources of health information, would you say the following are...?",Not at all trustworthy,24,16,27,28
