,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",A lot,19,16,21,19
1,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",A fair amount,30,32,31,28
2,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",Not very much,29,29,29,28
3,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",Not at all,19,19,15,23
4,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",Don’t know,3,3,5,2
5,1,1,Miss Being Child,"How much, if at all, do you miss being a child?",Totals,100,99,101,100
6,2,2,Happier Now or as Child,Do you think you are generally happier now or were you happier when you were a child?,Happier now,24,26,18,28
7,2,2,Happier Now or as Child,Do you think you are generally happier now or were you happier when you were a child?,Happier as a child,38,38,41,34
8,2,2,Happier Now or as Child,Do you think you are generally happier now or were you happier when you were a child?,About equal,29,27,29,31
9,2,2,Happier Now or as Child,Do you think you are generally happier now or were you happier when you were a child?,Don’t know,10,9,12,7
10,2,2,Happier Now or as Child,Do you think you are generally happier now or were you happier when you were a child?,Totals,101,100,100,100
11,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Trick-or-treating,3,3,3,4
12,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Dolls,100,101,99,101
13,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",bowling,57,54,63,53
14,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Stuffed animals,24,25,15,33
15,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Coloring books,14,19,15,10
16,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Lego,1,1,1,2
17,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Dressing up in costumes,1,0,0,1
18,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Harry Potter,3,2,6,1
19,3,3A,Child vs. Adult Activities — Trick-or-treating,"Do you see the following as more for children, more for adults, or equally for children and adults?",Disney films,100,101,100,100
20,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Don’t know,4,4,3,0
21,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Totals,101,100,99,98
22,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Entirely for children,41,35,35,53
23,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",also for adults,35,42,28,36
24,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",adults,18,17,28,8
25,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",for children,2,1,4,0
26,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Entirely for adults,1,0,1,2
27,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Don’t know,4,5,4,1
28,4,3B,Child vs. Adult Activities — Dolls,"Do you see the following as more for children, more for adults, or equally for children and adults?",Totals,101,100,100,100
