qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,Yes,63,69,60,60
1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,No,37,31,40,40
1,1,Read Any Books in 2024,Have you read any books or listened to any audiobooks in 2024?,Totals,100,100,100,100
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,0,2,3,1,1
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,1,5,5,1,7
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,2,5,6,3,3
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,3,17,19,12,18
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,4,72,66,81,70
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,5,1,1,1,0
2,3,Share of Books Read Aloud,About how many books have you read or listened to so far in 2024?,6,102,100,99,99
3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,All of them,49,52,48,46
3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,Most of them,26,33,21,26
3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,About half of them,26,32,24,23
3,4,Types of Books Read in 2024,You said you read [the number of books respondent said they have read in 2024] books in 2024. What share,Some of them,37,31,40,40
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Physical books,3,2,4,3
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Digital books,79,79,77,80
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Audiobooks,25,27,22,27
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Didn’t read or listen to any books,33,34,33,33
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,through a subscription,6,7,5,8
4,5,Source of Physical Books Read in 2024,Were any of the books that you read or listened to in 2024...? Select all that apply.,Other,3,3,3,2
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you own,10,11,9,18
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed from someone you know,61,56,67,63
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed through a library,10,13,8,7
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,A book you borrowed through a subscription,30,31,32,27
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,Other,30,28,26,36
5,6,Source of Digitial Books Read in 2024,Were any of the physical books you read in 2024...? Select all that apply.,Other,10,12,10,7
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you own,9,11,6,10
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed from someone you know,51,52,51,51
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed through a library,12,15,9,11
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,A book you borrowed through a subscription,26,27,25,25
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,Other,30,33,26,32
6,7,Source of Audiobooks Read in 2024,Were any of the digital books you read in 2024...? Select all that apply.,Other,9,6,9,12
7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you own,53,57,50,52
7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you borrowed from someone you know,44,38,46,46
7,9,Library Card,Were any of the audiobooks you listened to in 2024...? Select all that apply.,A book you borrowed through a library,4,4,4,2
