,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,How Much Are Groups Discriminated Against — Homeless people,How much discrimination do you think the following people face in America today?,Homeless people,65,83,65,47
1,1,1A,How Much Are Groups Discriminated Against — Homeless people,How much discrimination do you think the following people face in America today?,Poor people,25,13,25,36
2,1,1A,How Much Are Groups Discriminated Against — Homeless people,How much discrimination do you think the following people face in America today?,Middle-class people,7,1,7,13
3,1,1A,How Much Are Groups Discriminated Against — Homeless people,How much discrimination do you think the following people face in America today?,Wealthy people,3,3,3,5
4,1,1A,How Much Are Groups Discriminated Against — Homeless people,How much discrimination do you think the following people face in America today?,Totals,100,100,100,101
5,2,1B,How Much Are Groups Discriminated Against — Poor people,Do you personally know anyone who has ever had to live in any of the following places because they did not,With family or friends,47,66,46,29
6,2,1B,How Much Are Groups Discriminated Against — Poor people,Do you personally know anyone who has ever had to live in any of the following places because they did not,In a vehicle,39,31,41,45
7,2,1B,How Much Are Groups Discriminated Against — Poor people,Do you personally know anyone who has ever had to live in any of the following places because they did not,In a hotel or motel,11,2,10,23
8,2,1B,How Much Are Groups Discriminated Against — Poor people,Do you personally know anyone who has ever had to live in any of the following places because they did not,In a shelter,3,1,4,3
9,2,1B,How Much Are Groups Discriminated Against — Poor people,Do you personally know anyone who has ever had to live in any of the following places because they did not,Outside,100,100,101,100
10,3,1C,How Much Are Groups Discriminated Against — Middle-class people,"Do you personally know anyone who has ever been homeless, even for a short period of time? Select all that","Yes, me",8,8,11,6
11,3,1C,How Much Are Groups Discriminated Against — Middle-class people,"Do you personally know anyone who has ever been homeless, even for a short period of time? Select all that","Yes, a family member",39,39,37,42
12,3,1C,How Much Are Groups Discriminated Against — Middle-class people,"Do you personally know anyone who has ever been homeless, even for a short period of time? Select all that","Yes, a friend",45,45,46,46
13,3,1C,How Much Are Groups Discriminated Against — Middle-class people,"Do you personally know anyone who has ever been homeless, even for a short period of time? Select all that","Yes, an acquaintance",7,8,7,7
14,3,1C,How Much Are Groups Discriminated Against — Middle-class people,"Do you personally know anyone who has ever been homeless, even for a short period of time? Select all that",No,99,100,101,101
