,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Things in America,"Generally speaking, do you feel things in America today are going...",Very well,5,10,3,2
1,1,1,Things in America,"Generally speaking, do you feel things in America today are going...",Somewhat well,25,44,26,6
2,1,1,Things in America,"Generally speaking, do you feel things in America today are going...",Somewhat badly,33,36,32,31
3,1,1,Things in America,"Generally speaking, do you feel things in America today are going...",Very badly,37,10,39,61
4,1,1,Things in America,"Generally speaking, do you feel things in America today are going...",Totals,100,100,100,100
5,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Very good,10,21,9,2
6,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Fairly good,24,44,24,6
7,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Fairly bad,31,25,34,33
8,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Very bad,34,9,32,58
9,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Not sure,1,1,1,0
10,2,2,Condition of National Economy,How would you rate the condition of the national economy today?,Totals,100,100,100,99
11,3,3,Thinking about 2024 Presidential Race,How much are you thinking about the 2024 presidential race these days?,A lot,67,69,63,70
12,3,3,Thinking about 2024 Presidential Race,How much are you thinking about the 2024 presidential race these days?,Some,26,26,30,22
13,3,3,Thinking about 2024 Presidential Race,How much are you thinking about the 2024 presidential race these days?,Not much,6,5,5,7
14,3,3,Thinking about 2024 Presidential Race,How much are you thinking about the 2024 presidential race these days?,Not at all,1,0,2,1
15,3,3,Thinking about 2024 Presidential Race,How much are you thinking about the 2024 presidential race these days?,Totals,100,100,100,100
16,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Already voted by mail or absentee,100,100,98,100
17,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Already voted early in person,10,10,9,10
18,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Definitely will vote,2,2,1,2
19,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Probably will vote,78,79,80,79
20,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Maybe will vote,7,7,6,7
21,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Probably will not vote,2,1,2,1
22,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Definitely will not vote,0,0,0,0
23,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Don’t know,0,0,1,0
24,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Don’t know,1,1,1,0
25,4,4,Likely to Vote in 2024,How likely is it that you will vote in the 2024 presidential election this year?,Totals,100,100,100,99
26,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",Kamala Harris,48,98,50,4
27,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",Donald Trump,51,2,48,96
28,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",Someone else/third party,1,0,1,0
29,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",Not sure,0,0,0,0
30,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",I would not vote,0,0,0,0
31,5,5,2024 Presidential Vote Intention (with Leaners),"If the 2024 presidential election were being held today between Kamala Harris or Donald Trump, who would",Totals,100,100,99,100
32,10,17A,Factors in Vote for President — Crime,What is the main reason you [would vote/voted] for Donald Trump over Kamala Harris?,Mainly because I like Donald Trump,59,41,54,78
33,10,17A,Factors in Vote for President — Crime,What is the main reason you [would vote/voted] for Donald Trump over Kamala Harris?,Mainly because Donald Trump is the Republican nominee,30,41,33,19
34,10,17A,Factors in Vote for President — Crime,What is the main reason you [would vote/voted] for Donald Trump over Kamala Harris?,Mainly to oppose Kamala Harris,11,18,13,3
35,10,17A,Factors in Vote for President — Crime,What is the main reason you [would vote/voted] for Donald Trump over Kamala Harris?,Totals,100,100,100,100
36,11,17B,Factors in Vote for President — Gun policy,How much of a factor is each of these in your vote for president?,Major factor,52,66,44,46
