,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Memory of Kony 2012,"How much, if anything, do you remember hearing about a 2012 viral online video produced by Invisible Children about an African warlord named Joseph",A lot,10,12,10,7
1,1,1,Memory of Kony 2012,"How much, if anything, do you remember hearing about a 2012 viral online video produced by Invisible Children about an African warlord named Joseph",A little,25,27,23,23
2,1,1,Memory of Kony 2012,"How much, if anything, do you remember hearing about a 2012 viral online video produced by Invisible Children about an African warlord named Joseph",Nothing at all,66,61,67,69
3,1,1,Memory of Kony 2012,"How much, if anything, do you remember hearing about a 2012 viral online video produced by Invisible Children about an African warlord named Joseph",Totals,101,100,100,99
4,2,2,Watched Kony 2012,"Did you watch the video, or not?",Totals,100,99,99,99
5,2,2,Watched Kony 2012,"Did you watch the video, or not?",I watched the entire video,15,14,15,15
6,2,2,Watched Kony 2012,"Did you watch the video, or not?",clips of it,22,25,24,13
7,2,2,Watched Kony 2012,"Did you watch the video, or not?",stories about it,36,30,40,41
8,2,2,Watched Kony 2012,"Did you watch the video, or not?",anything about it,10,15,5,11
9,2,2,Watched Kony 2012,"Did you watch the video, or not?",I don’t remember,17,16,17,20
10,2,2,Watched Kony 2012,"Did you watch the video, or not?",Totals,100,100,101,100
11,3,3,Donated to Kony 2012,Did you donate any money to Invisible Children after the Kony 2012 video was released?,Yes,12,21,5,10
12,3,3,Donated to Kony 2012,Did you donate any money to Invisible Children after the Kony 2012 video was released?,No,75,62,85,80
13,3,3,Donated to Kony 2012,Did you donate any money to Invisible Children after the Kony 2012 video was released?,Not sure,13,17,10,10
14,3,3,Donated to Kony 2012,Did you donate any money to Invisible Children after the Kony 2012 video was released?,Totals,100,100,100,100
15,4,4,Was Kony 2012 Helpful,"In your opinion, was the Kony 2012 video helpful in solving the problem it highlighted, or not?",Yes it was helpful,24,38,11,25
16,4,4,Was Kony 2012 Helpful,"In your opinion, was the Kony 2012 video helpful in solving the problem it highlighted, or not?",No it wasn’t helpful,32,26,37,33
17,4,4,Was Kony 2012 Helpful,"In your opinion, was the Kony 2012 video helpful in solving the problem it highlighted, or not?",Not sure,44,36,51,42
18,4,4,Was Kony 2012 Helpful,"In your opinion, was the Kony 2012 video helpful in solving the problem it highlighted, or not?",Totals,100,100,99,100
19,5,5,Was Kony Ever Captured,"Since the 2012 video was released, has Joseph Kony been captured?",Yes,13,23,6,10
20,5,5,Was Kony Ever Captured,"Since the 2012 video was released, has Joseph Kony been captured?",No,28,25,27,32
21,5,5,Was Kony Ever Captured,"Since the 2012 video was released, has Joseph Kony been captured?",Not sure,59,52,67,58
22,5,5,Was Kony Ever Captured,"Since the 2012 video was released, has Joseph Kony been captured?",Totals,100,100,100,100
23,6,6A,Impact of Types of Activism — Liking a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,11,17,8,9
24,6,6A,Impact of Types of Activism — Liking a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,46,44,45,49
25,6,6A,Impact of Types of Activism — Liking a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,43,39,47,43
26,6,6A,Impact of Types of Activism — Liking a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,100,101
27,7,6B,Impact of Types of Activism — Sharing a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,15,20,13,13
28,7,6B,Impact of Types of Activism — Sharing a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,56,57,53,59
29,7,6B,Impact of Types of Activism — Sharing a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,29,23,34,28
30,7,6B,Impact of Types of Activism — Sharing a post on social media about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,100,100
31,8,6C,Impact of Types of Activism — Sharing specific hashtags associated with the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,12,19,8,10
32,8,6C,Impact of Types of Activism — Sharing specific hashtags associated with the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,49,49,48,49
33,8,6C,Impact of Types of Activism — Sharing specific hashtags associated with the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,39,32,44,41
34,8,6C,Impact of Types of Activism — Sharing specific hashtags associated with the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,100,100
35,9,6D,Impact of Types of Activism — Signing a petition about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,17,19,16,16
36,9,6D,Impact of Types of Activism — Signing a petition about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,58,62,54,59
37,9,6D,Impact of Types of Activism — Signing a petition about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,25,19,30,25
38,9,6D,Impact of Types of Activism — Signing a petition about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,100,100
39,10,6E,Impact of Types of Activism — Altering one’s profile photo or avatar in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,10,15,7,7
40,10,6E,Impact of Types of Activism — Altering one’s profile photo or avatar in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,37,36,37,37
41,10,6E,Impact of Types of Activism — Altering one’s profile photo or avatar in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,53,48,55,55
42,10,6E,Impact of Types of Activism — Altering one’s profile photo or avatar in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,99,99,99
43,11,6F,Impact of Types of Activism — Attending an in-person protest in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,24,32,21,20
44,11,6F,Impact of Types of Activism — Attending an in-person protest in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,55,54,53,59
45,11,6F,Impact of Types of Activism — Attending an in-person protest in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,21,14,26,22
46,11,6F,Impact of Types of Activism — Attending an in-person protest in support of the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,100,101
47,12,6G,Impact of Types of Activism — Personally reaching out to friends or family to inform them about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A large impact,23,28,23,19
48,12,6G,Impact of Types of Activism — Personally reaching out to friends or family to inform them about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,A little impact,55,53,54,58
49,12,6G,Impact of Types of Activism — Personally reaching out to friends or family to inform them about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,No impact,22,19,24,23
50,12,6G,Impact of Types of Activism — Personally reaching out to friends or family to inform them about the cause,How much of an impact do you think the following actions have in terms of advancing political or social causes?,Totals,100,100,101,100
