qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Direction of Country,Would you say things in this country today are...,Generally headed in the right direction,29,58,10,17
1,1,Direction of Country,Would you say things in this country today are...,Off on the wrong track,60,26,87,71
1,1,Direction of Country,Would you say things in this country today are...,Not sure,12,15,3,12
1,1,Direction of Country,Would you say things in this country today are...,Totals,101,99,100,100
1,1,Direction of Country,Would you say things in this country today are...,Generally headed in the right direc,29,61,7,10
1,1,Direction of Country,Would you say things in this country today are...,Off on the wrong track,60,25,91,78
1,1,Direction of Country,Would you say things in this country today are...,Not sure,12,15,2,12
1,1,Direction of Country,Would you say things in this country today are...,Totals,101,101,100,100
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Joe Biden,20,52,2,8
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Donald Trump,20,34,5,21
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Kamala Harris,40,86,8,29
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,JD Vance,13,9,10,19
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Tim Walz,43,5,81,49
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,"Robert F. Kennedy, Jr",56,14,92,67
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Don’t know,4,1,1,4
2,2A,Favorability of Politicians — Joe Biden,Do you have a favorable or an unfavorable opinion of the following people?,Totals,100,101,99,101
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,A lot,25,3,62,16
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Some,17,4,26,21
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Total a lot / some,42,6,89,37
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Only a little,9,6,6,15
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,None,45,86,5,44
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Total a lttle / none,55,92,11,59
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Don’t know,3,1,0,4
3,2B,Favorability of Politicians — Donald Trump,How much attention are you paying to the Presidential election?,Totals,99,100,99,100
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Definitely will vote,29,69,3,15
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Probably will vote,18,23,6,25
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Total definitely / probably will vote,47,92,9,40
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Maybe will vote,9,4,10,13
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Probably will not vote,38,2,79,41
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Definitely will not vote,47,5,89,54
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Don’t know,6,2,2,6
4,2C,Favorability of Politicians — Kamala Harris,How likely is it that you will vote in the 2024 Presidential election in November?,Totals,100,100,100,100
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?","Kamala Harris, the Democrat",15,1,40,8
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?","Donald Trump, the Republican",19,6,33,22
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?","Cornel West, an independent",34,8,73,30
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?","Jill Stein, the Green Party candidate",11,11,10,12
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?","Chase Oliver, the Libertarian Party candidate",35,69,7,29
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?",Someone else,46,80,17,42
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?",Not sure,20,12,10,29
5,2D,Favorability of Politicians — JD Vance,"If the 2024 election for president were held today, and these were the options, who would you vote for?",Totals,100,99,100,100
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,I will definitely vote for [candidate],23,58,3,12
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,I could change my mind between now and the election,14,20,7,17
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Favorable,38,78,9,29
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Somewhat unfavorable,10,6,17,8
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Very unfavorable,29,2,63,28
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Unfavorable,39,8,79,35
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Don’t know,23,14,12,35
6,2E,Favorability of Politicians — Tim Walz,Would you say that your mind is made up about how you will vote?,Totals,99,100,102,100
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?","Kamala Harris, the Democrat",8,5,12,10
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?","Donald Trump, the Republican",30,14,48,33
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",Not sure,38,19,60,43
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",I would not vote,16,15,20,15
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",Very unfavorable,28,51,8,23
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",Unfavorable,44,66,28,39
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",Don’t know,18,15,12,19
7,2F,"Favorability of Politicians — Robert F. Kennedy, Jr.","If the 2024 election for president were held today, and these were the options, who would you vote for?",Totals,100,100,100,100
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",The Democratic Party candidate,48,57,55,42
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",The Republican Party candidate,32,33,34,32
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",Other,80,90,89,74
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",Not sure,13,8,9,18
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",I would not vote,7,2,2,8
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",Total a lttle none,20,10,11,26
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",Totals,100,100,100,100
8,3,Attention to 2024 Election,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?",A lot,48,68,63,22
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Optimism,86,90,86,79
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Excitement,8,7,8,9
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Dread,93,97,94,88
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Exhaustion,3,1,3,7
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Depression,1,1,1,2
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Indifference,2,1,1,3
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,Delight,0,0,1,1
9,4,Likely Voter 2024,What feelings come to mind when thinking about the upcoming 2024 presidential election? Please select all,None of these,100,100,100,101
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Kamala Harris,46,96,2,35
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Donald Trump,45,2,92,44
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Not sure,1,0,0,2
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Jill Stein the Green Party candidat,1,0,0,2
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Chase Oliver the Libertarian Party,1,0,1,3
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Someone else,2,0,0,7
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Not sure,4,1,4,7
10,5,2024 Vote - Trump V. Harris,Who do you think has the best chance of winning the 2024 presidential election?,Totals,100,99,99,100
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Strongly approve,91,95,94,79
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Somewhat approve,9,5,6,21
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Total approve,100,100,100,100
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Somewhat disapprove,91,93,93,33
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Strongly disapprove,9,7,7,67
11,6,Mind Made Up About Vote,Do you approve or disapprove of the way Joe Biden is handling his job as President?,Total disapprove,100,100,100,100
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Strongly approve,47,97,2,37
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Somewhat approve,46,2,93,47
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Total approve,4,1,3,10
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Somewhat disapprove,2,0,1,6
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Strongly disapprove,99,100,99,100
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Total disapprove,47,100,0,16
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Not sure,46,0,100,13
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,Not sure,4,0,0,46
12,7,Trump vs Harris 2024,Do you approve or disapprove of the way Kamala Harris is handling her job as vice president?,I would not vote,2,0,0,25
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Strongly approve,45,95,3,32
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Somewhat approve,42,0,91,37
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Total approve,2,0,1,3
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Somewhat disapprove,10,4,5,24
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Strongly disapprove,1,0,1,4
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Total disapprove,100,99,101,100
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",Not sure,45,92,2,24
13,8,Generic Congressional Vote,"Looking back, do you approve or disapprove of the way Donald Trump handled his job as president?",The Republican Party candidate,42,1,88,21
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Democrats,42,60,44,28
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Republicans,32,52,32,16
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Not sure,32,25,35,38
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Exhaustion,28,25,24,38
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Depression,15,9,15,21
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Indifference,13,7,12,18
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,Delight,11,22,9,4
14,9,Feelings About 2024 Election,Which party has clearer plans to solve America’s problems?,None of these,10,5,6,13
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Cost of living,39,79,9,32
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Crime,36,6,74,33
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Immigration,25,15,17,35
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Abortion,100,100,100,100
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Guns,39,80,5,30
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Schools,36,2,78,18
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Healthcare,25,18,17,51
15,10,Best Chance of Winning 2024 Election,Which one of the following is the most important issue to you when thinking about this year’s election?,Climate change,100,100,100,99
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Cost of living,18,46,2,7
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Crime,21,38,5,21
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Immigration,39,84,8,28
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Abortion,16,11,12,25
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Strongly disapprove,40,3,79,42
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Total disapprove,55,14,91,67
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Not sure,5,2,1,5
16,11,President Biden Job Approval,"In thinking about this year’s election, which candidate would do a better job handling each of the following",Totals,100,100,99,100
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Focused,23,56,3,12
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Optimistic,19,30,7,20
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Honest,42,86,9,32
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Normal,9,5,9,14
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Dishonest,37,1,78,38
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Weak,46,7,88,52
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Tough,12,7,3,16
17,12,Approve of Harris Vice-Presidency,Which of the following words describe Kamala Harris? Select all that apply,Unifying,100,99,100,100
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,The only thing Kamala Harris cares about is herself,28,2,69,18
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Kamala Harris shares my values,19,7,24,26
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Kamala Harris has the mental ability a president needs,47,9,93,44
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Somewhat disapprove,10,9,4,14
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Strongly disapprove,40,80,3,35
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Total disapprove,49,89,7,50
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Not sure,4,2,0,6
18,13,Approve of Trump Presidency Retrospective,Here are some statements about Kamala Harris. Please tell us which you agree or disagree with.,Totals,101,100,100,99
