,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Already voted (absentee ballot),2,2,3,2
1,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Definitely will vote,52,48,77,44
2,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Probably will vote,12,16,11,15
3,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",May or may not vote,7,11,3,10
4,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Probably will not vote,4,3,3,4
5,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Definitely will not vote,21,17,2,23
6,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Don’t know,2,3,1,2
7,1,1,Likely to Vote in SC Republican Primary,"How likely is it that you will vote in the Republican presidential primary in South Carolina on February 24,",Totals,100,100,100,100
8,2,2,Republican Presidential Primary Vote,"If the 2024 Republican presidential primary in South Carolina were held today, which one of these candidates",Donald Trump,65,53,74,40
9,2,2,Republican Presidential Primary Vote,"If the 2024 Republican presidential primary in South Carolina were held today, which one of these candidates",Nikki Haley,30,42,24,55
10,2,2,Republican Presidential Primary Vote,"If the 2024 Republican presidential primary in South Carolina were held today, which one of these candidates",Someone else,4,5,2,5
11,2,2,Republican Presidential Primary Vote,"If the 2024 Republican presidential primary in South Carolina were held today, which one of these candidates",Totals,99,100,100,100
12,3,3,Decision on Trump,Which best describes your vote right now?,I’ve firmly decided on Trump,87,83,88,80
13,3,3,Decision on Trump,Which best describes your vote right now?,I could still change to Haley,13,17,12,20
14,3,3,Decision on Trump,Which best describes your vote right now?,Totals,100,100,100,100
15,4,4,Decision on Haley,Which best describes your vote right now?,I’ve firmly decided on Haley,78,89,67,89
16,4,4,Decision on Haley,Which best describes your vote right now?,I could still change to Trump,22,11,33,11
17,4,4,Decision on Haley,Which best describes your vote right now?,Totals,100,100,100,100
18,5,5A,Reasons to Consider Voting for Haley — Her record as governor,Are any of these reasons you might consider voting for Nikki Haley?,Her record as governor,34,31,35,32
19,5,5A,Reasons to Consider Voting for Haley — Her record as governor,Are any of these reasons you might consider voting for Nikki Haley?,Concern about Trump’s legal fights,66,69,65,68
20,5,5A,Reasons to Consider Voting for Haley — Her record as governor,Are any of these reasons you might consider voting for Nikki Haley?,The party needs someone new,100,100,100,100
21,6,5B,Reasons to Consider Voting for Haley — Concern about Trump’s legal fights,Are any of these reasons you might consider voting for Donald Trump?,His record as president,23,25,22,29
22,6,5B,Reasons to Consider Voting for Haley — Concern about Trump’s legal fights,Are any of these reasons you might consider voting for Donald Trump?,To show support during his legal fights,77,75,78,71
23,6,5B,Reasons to Consider Voting for Haley — Concern about Trump’s legal fights,Are any of these reasons you might consider voting for Donald Trump?,Know what to expect from him,100,100,100,100
24,7,5C,Reasons to Consider Voting for Haley — The party needs someone new,Please check the box if you think each word below describes Nikki Haley well... CHECK ALL THAT APPLY,Likable,23,22,23,24
25,7,5C,Reasons to Consider Voting for Haley — The party needs someone new,Please check the box if you think each word below describes Nikki Haley well... CHECK ALL THAT APPLY,Honest,77,78,77,76
26,7,5C,Reasons to Consider Voting for Haley — The party needs someone new,Please check the box if you think each word below describes Nikki Haley well... CHECK ALL THAT APPLY,Prepared,100,100,100,100
27,8,5D,Reasons to Consider Voting for Haley — Prefer a woman as president,Please check the box if you think each word below describes Donald Trump well... CHECK ALL THAT APPLY,Likable,5,5,5,12
28,8,5D,Reasons to Consider Voting for Haley — Prefer a woman as president,Please check the box if you think each word below describes Donald Trump well... CHECK ALL THAT APPLY,Honest,95,95,95,88
29,8,5D,Reasons to Consider Voting for Haley — Prefer a woman as president,Please check the box if you think each word below describes Donald Trump well... CHECK ALL THAT APPLY,Prepared,100,100,100,100
30,9,6A,Reasons to Consider Voting for Trump — His record as president,"Looking back, do you approve or disapprove of the way Nikki Haley handled her job as Governor of South",Approve,46,30,64,29
31,9,6A,Reasons to Consider Voting for Trump — His record as president,"Looking back, do you approve or disapprove of the way Nikki Haley handled her job as Governor of South",Disapprove,54,70,36,71
32,9,6A,Reasons to Consider Voting for Trump — His record as president,"Looking back, do you approve or disapprove of the way Nikki Haley handled her job as Governor of South",Not sure,100,100,100,100
33,10,6B,Reasons to Consider Voting for Trump — To show support during his legal fights,"Lookingback,doyouapproveordisapproveofthewayDonaldTrumphandledhisjobasU.S.presidentfrom",Approve,16,9,22,3
34,10,6B,Reasons to Consider Voting for Trump — To show support during his legal fights,"Lookingback,doyouapproveordisapproveofthewayDonaldTrumphandledhisjobasU.S.presidentfrom",Disapprove,84,91,78,97
35,10,6B,Reasons to Consider Voting for Trump — To show support during his legal fights,"Lookingback,doyouapproveordisapproveofthewayDonaldTrumphandledhisjobasU.S.presidentfrom",Not sure,100,100,100,100
36,11,6C,Reasons to Consider Voting for Trump — Know what to expect from him,"Whether or not you support her, do you consider Nikki Haley to be part of the MAGA movement, or not?","Yes, she is",40,24,56,28
37,11,6C,Reasons to Consider Voting for Trump — Know what to expect from him,"Whether or not you support her, do you consider Nikki Haley to be part of the MAGA movement, or not?","No, she is not",60,76,44,72
38,11,6C,Reasons to Consider Voting for Trump — Know what to expect from him,"Whether or not you support her, do you consider Nikki Haley to be part of the MAGA movement, or not?",Totals,100,100,100,100
39,12,6D,Reasons to Consider Voting for Trump — Prefer a man as president,"Whether or not you support her, do you consider Nikki Haley to be part of the Republican establishment or","Yes, she is",8,5,10,3
40,12,6D,Reasons to Consider Voting for Trump — Prefer a man as president,"Whether or not you support her, do you consider Nikki Haley to be part of the Republican establishment or","No, she is not",92,95,90,97
41,12,6D,Reasons to Consider Voting for Trump — Prefer a man as president,"Whether or not you support her, do you consider Nikki Haley to be part of the Republican establishment or",Totals,100,100,100,100
42,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment","Yes, he is",52,50,54,50
43,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment","No, he is not",34,34,35,36
44,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Prepared,42,47,41,49
45,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Reasonable,41,48,40,51
46,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Role model,31,34,31,37
47,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Conservative,49,45,51,48
48,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Strong leader,39,43,39,47
49,13,7,Describes Nikki Haley,"Whether or not you support him, do you consider Donald Trump to be part of the Republican establishment",Tough,35,39,35,40
50,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Positive,32,20,39,16
51,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Negative,41,28,48,18
52,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Neither,56,46,63,26
53,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Reasonable,36,26,42,18
54,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Role model,23,14,29,8
55,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Conservative,64,50,72,34
56,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Strong leader,75,62,84,53
57,14,8,Describes Donald Trump,"When you hear the term ""Republican establishment"", do you think of it as something positive or something",Tough,78,70,86,59
