,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I’m actively on the lookout to buy new technology devices and services,51,55,53,45
1,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I’m always keen to use new technology products as soon as they enter the market,45,42,42,51
2,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I like to get new technology products after they’ve been out for a while,4,3,5,4
3,1,2A,Heard About Technologies — Artificial intelligence (AI),Which one of the following best describes you?,I sometimes buy new technology products but only when I really like them,100,100,100,100
4,2,2B,Heard About Technologies — 3D printing,How much have you heard about the following technology?,Artificial intelligence (AI),38,42,39,33
5,2,2B,Heard About Technologies — 3D printing,How much have you heard about the following technology?,3D printing,51,50,47,57
6,2,2B,Heard About Technologies — 3D printing,How much have you heard about the following technology?,Cryptocurrency,10,8,13,10
7,2,2B,Heard About Technologies — 3D printing,How much have you heard about the following technology?,Self-driving cars,99,100,99,100
8,3,2C,Heard About Technologies — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Artificial intelligence (AI),37,39,37,37
9,3,2C,Heard About Technologies — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,3D printing,52,53,51,53
10,3,2C,Heard About Technologies — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Cryptocurrency,10,8,12,10
11,3,2C,Heard About Technologies — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Virtual reality (VR),99,100,100,100
12,4,2D,Heard About Technologies — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",3D printing,37,39,37,35
13,4,2D,Heard About Technologies — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Delivery drones,57,55,55,60
14,4,2D,Heard About Technologies — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Virtual reality (VR),7,7,8,5
15,4,2D,Heard About Technologies — Self-driving cars,"If it becomes widespread, do you think the following technology will be good for society or bad for society?",Artificial intelligence (AI),101,101,100,100
16,5,2E,Heard About Technologies — Virtual reality (VR),How important do you think it is for the U.S. government to invest in the following technology?,Artificial intelligence (AI),36,44,34,31
17,5,2E,Heard About Technologies — Virtual reality (VR),How important do you think it is for the U.S. government to invest in the following technology?,Artificial organs,55,49,56,60
18,5,2E,Heard About Technologies — Virtual reality (VR),How important do you think it is for the U.S. government to invest in the following technology?,3D printing,9,8,10,8
19,5,2E,Heard About Technologies — Virtual reality (VR),How important do you think it is for the U.S. government to invest in the following technology?,Quantum computing,100,101,100,99
20,6,2F,Heard About Technologies — Metaverse,"By when, if ever, would you expect computers to become more intelligent than people?",Computers are already more intelligent than people,24,25,21,25
21,6,2F,Heard About Technologies — Metaverse,"By when, if ever, would you expect computers to become more intelligent than people?",2025-2049,52,55,54,47
22,6,2F,Heard About Technologies — Metaverse,"By when, if ever, would you expect computers to become more intelligent than people?",2050-2099,24,19,25,28
23,6,2F,Heard About Technologies — Metaverse,"By when, if ever, would you expect computers to become more intelligent than people?",2100-2199,100,99,100,100
24,7,2G,Heard About Technologies — Delivery drones,How concerned are you about the possibility of computers that are more intelligent than people attacking,Very concerned,22,23,20,23
25,7,2G,Heard About Technologies — Delivery drones,How concerned are you about the possibility of computers that are more intelligent than people attacking,Somewhat concerned,61,59,63,62
26,7,2G,Heard About Technologies — Delivery drones,How concerned are you about the possibility of computers that are more intelligent than people attacking,Not very concerned,17,18,17,15
27,7,2G,Heard About Technologies — Delivery drones,How concerned are you about the possibility of computers that are more intelligent than people attacking,Not concerned at all,100,100,100,100
28,8,2H,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,A lot,16,20,14,16
29,8,2H,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,A little,48,50,52,43
30,8,2H,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,Nothing at all,35,30,35,41
31,8,2H,Heard About Technologies — Augmented reality (AR),How much have you heard about the following technology?,Totals,99,100,101,100
32,9,2I,Heard About Technologies — Blockchain,How much have you heard about the following technology?,A lot,16,19,16,14
33,9,2I,Heard About Technologies — Blockchain,How much have you heard about the following technology?,A little,30,27,33,30
34,9,2I,Heard About Technologies — Blockchain,How much have you heard about the following technology?,Nothing at all,54,53,51,56
35,9,2I,Heard About Technologies — Blockchain,How much have you heard about the following technology?,Totals,100,99,100,100
36,10,2J,Heard About Technologies — Non-fungible tokens (NFTs),How much have you heard about the following technology?,A lot,16,19,15,14
37,10,2J,Heard About Technologies — Non-fungible tokens (NFTs),How much have you heard about the following technology?,A little,37,36,42,32
38,10,2J,Heard About Technologies — Non-fungible tokens (NFTs),How much have you heard about the following technology?,Nothing at all,47,44,43,54
39,10,2J,Heard About Technologies — Non-fungible tokens (NFTs),How much have you heard about the following technology?,Totals,100,99,100,100
40,11,2K,Heard About Technologies — Humanoid robots,How much have you heard about the following technology?,A lot,14,14,12,16
41,11,2K,Heard About Technologies — Humanoid robots,How much have you heard about the following technology?,A little,53,54,54,50
42,11,2K,Heard About Technologies — Humanoid robots,How much have you heard about the following technology?,Nothing at all,33,32,34,34
43,11,2K,Heard About Technologies — Humanoid robots,How much have you heard about the following technology?,Totals,100,100,100,100
44,12,2L,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,A lot,12,11,12,14
45,12,2L,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,A little,54,57,51,56
46,12,2L,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,Nothing at all,34,32,37,30
47,12,2L,Heard About Technologies — Lab-grown meat,How much have you heard about the following technology?,Totals,100,100,100,100
48,13,2M,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,A lot,11,10,14,9
49,13,2M,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,A little,41,45,37,42
50,13,2M,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,Nothing at all,48,45,49,49
51,13,2M,Heard About Technologies — Gene editing technology,How much have you heard about the following technology?,Totals,100,100,100,100
52,14,2N,Heard About Technologies — Quantum computing,How much have you heard about the following technology?,A lot,11,10,10,12
53,14,2N,Heard About Technologies — Quantum computing,How much have you heard about the following technology?,A little,34,35,38,27
54,14,2N,Heard About Technologies — Quantum computing,How much have you heard about the following technology?,Nothing at all,56,54,52,61
55,14,2N,Heard About Technologies — Quantum computing,How much have you heard about the following technology?,Totals,101,99,100,100
56,15,2O,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,A lot,10,12,8,10
57,15,2O,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,A little,40,42,41,39
58,15,2O,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,Nothing at all,50,46,52,51
59,15,2O,Heard About Technologies — Personal space travel,How much have you heard about the following technology?,Totals,100,100,101,100
60,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,A lot,8,10,7,9
61,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,A little,48,49,52,43
62,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,Nothing at all,43,41,41,48
63,16,2P,Heard About Technologies — Artificial organs,How much have you heard about the following technology?,Totals,99,100,100,100
64,17,2Q,Heard About Technologies — Nanorobotics,How much have you heard about the following technology?,A lot,6,6,5,7
65,17,2Q,Heard About Technologies — Nanorobotics,How much have you heard about the following technology?,A little,36,37,39,31
66,17,2Q,Heard About Technologies — Nanorobotics,How much have you heard about the following technology?,Nothing at all,58,57,56,62
67,17,2Q,Heard About Technologies — Nanorobotics,How much have you heard about the following technology?,Totals,100,100,100,100
68,18,2R,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How much have you heard about the following technology?,A lot,5,4,6,6
69,18,2R,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How much have you heard about the following technology?,A little,26,27,27,24
70,18,2R,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How much have you heard about the following technology?,Nothing at all,69,69,67,70
71,18,2R,Heard About Technologies — Implantable brain-machine interfaces (BMIs),How much have you heard about the following technology?,Totals,100,100,100,100
72,19,2S,Heard About Technologies — Hyperloop transportation,How much have you heard about the following technology?,A lot,5,6,3,5
73,19,2S,Heard About Technologies — Hyperloop transportation,How much have you heard about the following technology?,A little,16,17,16,16
74,19,2S,Heard About Technologies — Hyperloop transportation,How much have you heard about the following technology?,Nothing at all,79,77,81,79
75,19,2S,Heard About Technologies — Hyperloop transportation,How much have you heard about the following technology?,Totals,100,100,100,100
76,20,2T,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,A lot,4,4,3,7
77,20,2T,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,A little,13,13,14,12
78,20,2T,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,Nothing at all,82,83,83,81
79,20,2T,Heard About Technologies — Decentralized autonomous organization (DAO),How much have you heard about the following technology?,Totals,99,100,100,100
80,21,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,56,59,61,48
81,21,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,35,36,30,41
82,21,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,3,2,3,3
83,21,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,6,4,6,7
84,21,3A,Likelihood of Technologies Becoming Widespread — Artificial intelligence (AI),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,101,100,99
85,22,3B,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,50,53,54,43
86,22,3B,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,40,37,39,45
87,22,3B,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,3,3,2,4
88,22,3B,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,6,6,5,8
89,22,3B,Likelihood of Technologies Becoming Widespread — 3D printing,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,99,100,100
90,23,3C,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,49,48,51,49
91,23,3C,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,28,30,20,36
92,23,3C,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,10,12,13,6
93,23,3C,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,12,10,16,10
94,23,3C,Likelihood of Technologies Becoming Widespread — Cryptocurrency,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,99,100,100,101
95,24,3D,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,43,43,44,40
96,24,3D,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,41,44,34,45
97,24,3D,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,7,7,9,5
98,24,3D,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,9,5,12,10
99,24,3D,Likelihood of Technologies Becoming Widespread — Virtual reality (VR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,99,99,100
100,25,3E,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,31,31,25,39
101,25,3E,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,39,42,38,37
102,25,3E,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,13,11,19,8
103,25,3E,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,17,16,19,16
104,25,3E,Likelihood of Technologies Becoming Widespread — Metaverse,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,101,100
105,26,3F,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,20,22,21,17
106,26,3F,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,58,55,55,63
107,26,3F,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,12,14,11,11
108,26,3F,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,10,9,13,8
109,26,3F,Likelihood of Technologies Becoming Widespread — Self-driving cars,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,100,99
110,27,3G,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,39,40,34,46
111,27,3G,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,34,32,34,35
112,27,3G,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,7,8,9,5
113,27,3G,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,20,20,24,14
114,27,3G,Likelihood of Technologies Becoming Widespread — Blockchain,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,101,100
115,28,3H,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,25,29,19,29
116,28,3H,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,50,47,53,50
117,28,3H,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,9,10,10,5
118,28,3H,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,16,14,19,15
119,28,3H,Likelihood of Technologies Becoming Widespread — Augmented reality (AR),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,101,99
120,29,3I,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,29,27,28,33
121,29,3I,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,27,29,21,34
122,29,3I,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,23,28,21,19
123,29,3I,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,21,16,29,14
124,29,3I,Likelihood of Technologies Becoming Widespread — Non-fungible tokens (NFTs),Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,100,99,100
125,30,3J,Likelihood of Technologies Becoming Widespread — Delivery drones,Do you think it is likely or unlikely that the following technology will eventually become widespread?,It is already widespread,15,20,13,13
126,30,3J,Likelihood of Technologies Becoming Widespread — Delivery drones,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Likely,69,68,71,67
127,30,3J,Likelihood of Technologies Becoming Widespread — Delivery drones,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Unlikely,8,6,8,10
128,30,3J,Likelihood of Technologies Becoming Widespread — Delivery drones,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Not sure,8,7,8,10
129,30,3J,Likelihood of Technologies Becoming Widespread — Delivery drones,Do you think it is likely or unlikely that the following technology will eventually become widespread?,Totals,100,101,100,100
