,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Driving,100,100,99,100
1,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,AARP,60,70,48,65
2,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Planned Parenthood,43,48,34,49
3,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Colored People (NAACP),23,26,21,23
4,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,All Lives Matter,15,11,19,16
5,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Everytown for Gun Safety,4,2,4,4
6,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,(PETA),2,2,2,2
7,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Blue Lives Matter,13,11,21,7
8,1,1A,Favorability of Groups — Mothers Against Drunk Driving,Do you have a favorable or an unfavorable opinion of the following groups or movements?,The Sierra Club,100,100,101,101
9,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,99,101,100,100
10,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Unfavorable,34,62,23,20
11,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,21,34,16,16
12,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat favorable,24,31,19,25
13,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,unfavorable,30,22,37,31
14,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat unfavorable,6,1,6,9
15,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very unfavorable,6,3,5,11
16,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,I’m not familiar with this,12,9,18,9
17,2,1B,Favorability of Groups — AARP,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,99,100,101,101
18,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,100,99,99,101
19,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Unfavorable,25,73,30,78
20,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very favorable,35,64,30,13
21,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat favorable,17,17,21,14
22,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,unfavorable,16,10,19,18
23,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Somewhat unfavorable,7,3,5,13
24,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Very unfavorable,20,5,15,41
25,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,I’m not familiar with this,5,2,9,2
26,3,1C,Favorability of Groups — Planned Parenthood,Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,100,101,99,101
27,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Totals,100,100,101,100
28,4,1D,Favorability of Groups — The National Association for the Advancement of Colored People (NAACP),Do you have a favorable or an unfavorable opinion of the following groups or movements?,Unfavorable,18,65,17,72
