,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Interventionist - prefer extensive involvement,9,11,8,9
1,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Isolationist - prefer minimal involvement,23,19,22,28
2,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Somewhere in between,49,55,44,50
3,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Not sure,19,15,26,13
4,1,1,Stance on U.S. Involvement in Foreign Affairs,How would you describe your stance on the United States’ involvement in foreign affairs?,Totals,100,100,100,100
5,2,2,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Improve,23,15,12,45
6,2,2,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Worsen,31,42,37,13
7,2,2,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Neither improve nor worsen,21,20,21,20
8,2,2,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Not sure,25,23,29,23
9,2,2,U.S. Foreign Military Interventions Help or Hurt,Do you think that U.S. foreign military interventions more often improve or worsen situations in the countries,Totals,100,100,99,101
10,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Ally,5,4,7,5
11,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Friendly,9,11,9,8
12,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Unfriendly,26,30,22,27
13,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Enemy,16,11,13,24
14,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Not sure,43,44,49,36
15,3,3,Venezuela Ally or Enemy,Do you consider Venezuela to be an ally or an enemy of the United States?,Totals,99,100,100,100
16,4,4,Favorability of Nicolás Maduro,Do you have a favorable or an unfavorable opinion of Nicolás Maduro?,Very favorable,1,1,1,2
17,4,4,Favorability of Nicolás Maduro,Do you have a favorable or an unfavorable opinion of Nicolás Maduro?,Somewhat favorable,3,4,2,2
18,4,4,Favorability of Nicolás Maduro,Do you have a favorable or an unfavorable opinion of Nicolás Maduro?,Somewhat unfavorable,13,16,12,11
