,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Parent/guardian to children younger or older than 18,Are you a parent or guardian? Please select all that apply,"Yes, of at least one child younger than 18",31,33,27,33
1,1,1,Parent/guardian to children younger or older than 18,Are you a parent or guardian? Please select all that apply,"Yes, of at least one child 18 years old or older",38,33,35,50
2,1,1,Parent/guardian to children younger or older than 18,Are you a parent or guardian? Please select all that apply,"No, I am neither a parent or guardian",32,35,36,20
3,1,1,Parent/guardian to children younger or older than 18,Are you a parent or guardian? Please select all that apply,Don’t know/Prefer not to say,2,2,4,1
4,2,2,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Too much,16,7,14,31
5,2,2,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,About the right amount,30,37,23,31
6,2,2,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Not enough,42,50,46,28
7,2,2,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Not sure,11,6,17,10
8,2,2,Government Help Raising Children,Do you think the government does too much or not enough to help families raising children in the U.S.?,Totals,99,100,100,100
9,3,3,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Easier,27,25,26,33
10,3,3,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",About the same,27,32,20,29
11,3,3,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Harder,32,35,34,26
12,3,3,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Not sure,14,8,20,12
13,3,3,Ease of Raising Children in U.S.,"Compared to other countries, do you think it is easier or harder to raise children in the U.S.?",Totals,100,100,100,100
14,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,parental leave for all working parents,45,56,40,36
15,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,low-income families,25,24,25,26
16,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,pre-kindergarten programs,14,12,14,17
17,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,programs,9,5,10,13
18,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,that offer family-friendly beneﬁts,7,3,11,8
19,4,4A,Support for Family-Friendly Policies — Requiring employers to offer paid parental leave for all working parents,Would you support or oppose Congress doing the following?,foster care services,100,100,100,100
20,5,4B,Support for Family-Friendly Policies — Providing child care subsidies for low-income families,"Toyourknowledge, underfederallaw, howmanyweeksofunpaidleavedoesaneligiblefull-timeworkerinthe",0 weeks,44,56,44,28
