,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Ever Worn a Bra,Have you ever worn a bra?,Yes,98,98,98,97
1,1,1,Ever Worn a Bra,Have you ever worn a bra?,No,1,1,1,2
2,1,1,Ever Worn a Bra,Have you ever worn a bra?,Prefer not to say,1,1,1,0
3,1,1,Ever Worn a Bra,Have you ever worn a bra?,Totals,100,100,100,99
4,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",Every day,61,62,57,65
5,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",Most days,19,15,21,21
6,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",Some days,13,16,13,10
7,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",No days,5,5,5,4
8,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",Prefer not to say,2,2,3,0
9,2,2,Frequency of Wearing a Bra,"During a typical week, how often do you wear a bra?",Totals,100,100,99,100
10,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",More often,9,10,11,5
11,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",About the same amount,68,65,67,72
12,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",Less often,21,23,19,21
13,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",Not sure,1,1,0,2
14,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",Prefer not to say,1,2,2,0
15,3,3,Change in Frequency of Wearing a Bra,"Compared to 5 years ago, do you currently wear a bra...?",Totals,100,101,99,100
16,4,4A,Frequency of Wearing Bra in Situations — At a restaurant,How often do you wear a bra when you are...?,At a restaurant,79,77,78,83
17,4,4A,Frequency of Wearing Bra in Situations — At a restaurant,How often do you wear a bra when you are...?,At work,10,11,9,9
18,4,4A,Frequency of Wearing Bra in Situations — At a restaurant,How often do you wear a bra when you are...?,At a store,5,5,7,3
19,4,4A,Frequency of Wearing Bra in Situations — At a restaurant,How often do you wear a bra when you are...?,Sleeping,3,3,3,4
20,4,4A,Frequency of Wearing Bra in Situations — At a restaurant,How often do you wear a bra when you are...?,At a formal event,1,2,2,0
